year,y,k,k_NR,k_ME,pi,s_ME,phi_ME,log_phi_ME,pi_kME,pi_kNR,K_NR,K_ME,K_total,GDP_real,omega,exploitation_rate,FBKF_ME,FBKF_NR,M_CIF,I_total
1860,13.225035775481487,,,,,,,,,,,,,554064.1623178844,,,1600.9074023080718,20325.148199491272,50736.02414400238,25735.944204880485
1861,13.237256529296952,,,,,,,,,,,,,560876.7869610664,,,1961.6610475727068,20729.523639349747,40065.23346703889,19624.05088866221
1862,13.246357899078985,,,,,,,,,,,,,566004.834732463,,,1254.5352777718824,21446.446062077892,42195.81452809532,22241.2381676008
1863,13.307180693554313,,,,,,,,,,,,,601499.3258135794,,,1376.6813209350803,22787.19936399807,48319.52042056702,26514.84702305722
1864,13.362614022827486,,,,,,,,,,,,,635783.9115189433,,,1624.2368355929907,24243.752295617436,46684.830835583685,22848.83844916465
1865,13.389693982274775,,,,,,,,,,,,,653236.1505229563,,,1659.200390879761,26916.75477745655,55058.420914334696,31881.37336091716
1866,13.394511680720557,,,,,,,,,,,,,656390.8383756957,,,2196.950150989535,30840.814131235256,48634.86941442565,27110.999797970908
1867,13.437691039440658,,,,,,,,,,,,,685354.1832391646,,,1917.8515618648237,30990.13558450678,66691.8871350838,36602.1051462242
1868,13.490950966084716,,,,,,,,,,,,,722845.6306365996,,,2227.0287619925684,30878.154102460863,73246.42433367913,34634.36118495732
1869,13.560465303583472,,,,,,,,,,,,,774881.4303882783,,,840.6442080136859,33048.59145876256,76743.31184627026,32247.73995623221
1870,13.562157880000697,,,,,,,,,,,,,776194.086995933,,,2877.6768252311085,35894.315735353455,81498.22141809962,41181.756841558345
1871,13.6076112653771,,,,,,,,,,,,,812288.8361001181,,,1864.765781124608,39474.26524893137,77516.30480503802,35226.36520885798
1872,13.658452908668373,,,,,,,,,,,,,854654.787150742,,,2061.356743457787,42365.69467496916,103412.4591357964,50926.48831122456
1873,13.745740882773026,,,,,,,,,,,,,932608.5980676188,,,1950.5776291017987,48618.73482717125,108322.04726580351,49893.71723063732
1874,13.742908292839168,,,,,,,,,,,,,929970.63823356,,,6811.3908999696905,57561.7881220369,106096.0484348197,63193.6300826658
1875,13.781374845267212,,,,,,,,,,,,,966440.3375124332,,,6040.538533425205,63841.21257274701,108451.33150450076,70985.20324829935
1876,13.788852425673083,,,,,,,,,,,,,973694.059188384,,,2016.282434514317,69042.27146165063,103608.9045621432,73953.29271338547
1877,13.759019929849565,,,,,,,,,,,,,945075.341591336,,,4445.951066027518,76112.99001084476,87107.69054848317,77070.3925870262
1878,13.76394820255918,,,,,,,,,,,,,949744.4264173184,,,1693.3317719419952,74447.85496001792,80952.92960241075,77238.25794163841
1879,13.78764194734533,,,,,,,,,,,,,972516.1367005272,,,863.6173565105117,83772.01039769019,76760.84410955558,82373.23887375444
1880,13.870480570341877,,,,,,,,,,,,,1056508.9320095417,,,1940.2876316439897,87730.44134923621,83797.8637804489,85748.78117954366
1881,13.972109560614106,,,,,,,,,,,,,1169526.5428144478,,,3394.709934363883,93473.590971461,110448.92597659607,95219.73790165008
1882,14.060873819312974,,,,,,,,,,,,,1278085.5079531504,,,4982.767587616614,102042.45446106396,147802.38992778986,111650.6915305889
1883,14.11531149491366,,,,,,,,,,,,,1349590.127306913,,,4404.769557965722,117403.7614976966,166917.1065415548,123921.30902342404
1884,14.138738111298368,,,,,,,,,,,,,1381579.6982055276,,,7501.80587707045,115924.4802650665,164616.7519091817,132864.84063053053
1885,14.120588804909639,,,,,,,,,,,,,1356731.1589218492,,,4774.719952197108,122848.13858205565,126150.23721100304,116931.76156511086
1886,14.157780712903831,,,,,,,,,,,,,1408140.6622885866,,,2836.32306934269,139803.65121762583,138755.65870612682,142798.83933327926
1887,14.211566145954958,,,,,,,,,,,,,1485951.9163368992,,,5735.067364096436,145153.08540281397,153212.78525727382,145212.75514472392
1888,14.23728364053888,,,,,,,,,,,,,1524662.5129346866,,,12899.861037014023,140616.86844492942,191784.0654701392,157445.27759523387
1889,14.286486006374298,,,,,,,,,,,,,1601555.6664536635,,,5609.479056729157,160406.1356519752,220222.35089744063,173393.50974200264
1890,14.374402398076137,,,,,,,,,,,,,1748733.5497860208,,,16490.891885016652,201163.68842138335,234007.66343998848,212476.62894544812
1891,14.316953153324233,,,,,,,,,,,,,1651101.424741921,,,12694.118605782192,193214.1089677061,221615.7657142952,197559.70736586925
