year,GVA,EC,GOS,omega,pi,e,KNC,KNR,KGC,KGR,IGC,Py,pK,GVA_real,EC_real,GOS_real,theta,mu,mu_ect,r,B,B_real,PyPK,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,tendency_label,CCA_NF,NVA_NF,NOS_NF,TPI_NF,NetInt_NF,Profits_IVA_CC_NF,CorpTax_NF,PBT_NF,PAT_NF,Dividends_NF,Retained_NF,Retained_IVA_CC_NF,chi,r_net,tax_rate,ret_rate,div_payout,cash_flow,int_share,cca_rate,g_K,g_Kn,g_Y,g_Yp
1929,50825,32147,15725,0.632503689129365,0.367496310870635,0.581018446511338,102600,2408448.64541875,37550.5906607121,881468.510833001,7769,6.998437350511848,4.26000364156245,726233.5497835497,459345.3994076099,224693.0166324903,0.7955583413674425,1.0546148073065502,1.5764193034464873,0.15326510721247563,0.3954544298527949,0.2407162094723472,1.6428242648039189,NA,NA,NA,NA,NA,Pre-Fordist,NA,5016,45809,10709,2953,1358,9041,1149,10679,9314,5077,3741,2815,0.49405405405405406,0.10437621832358675,0.1075943440397041,0.40165342495168566,0.5450934077732446,0.1420662768031189,0.08635930047694754,0.13357978960496272,NA,NA,NA,NA
1930,45259,28791,13477,0.636138668552111,0.363861331447889,0.571984300649508,97578,2450604.02445983,40798.7522910525,1024632.46384834,6446,6.742513633319515,3.9817938363791097,671248.1792597848,427006.9230223483,199880.94548894404,0.7488455843036768,0.8908486628477243,1.0997981960637206,0.1381151489065158,0.4260901347981098,0.2516276814179426,1.6933356950119993,NA,NA,NA,NA,NA,Pre-Fordist,NA,4872,40387,8605,2991,1606,6693,740,4422,3580,4957,-1751,996,0.4782963567559546,0.08818586156715653,0.16734509271822703,-0.4891061452513967,1.3846368715083799,0.13053147225809097,0.11916598649551087,0.1194154165608753,0.1504999764692112,0.017351710131499942,-0.07873272365188733,0.11270124281677607
1931,35431,23522,9113,0.663881911320595,0.336118088679405,0.506291981974322,87862,2442861.199738,40223.4511504233,1118348.18391257,4175,6.048888605415058,3.59668408542504,585743.9657308555,388864.8235139054,150655.77487808093,0.39231994581016494,0.7491208341847838,0.22421728700434393,0.10371946916755821,0.41192345786507484,0.24493070412806953,1.6817959158345783,NA,NA,NA,NA,NA,Pre-Fordist,NA,4560,30871,4553,2796,1778,2438,450,566,68,3757,-4002,-1769,0.4581367277515637,0.05181989938767613,0.7950530035335689,-58.85294117647059,55.25,0.09859780109717511,0.19510589268078568,0.11336670200045755,0.08751878444100569,-0.0031645596029612477,-0.13625615780498634,0.03433536476926686
1932,25721,17432,5395,0.677734147194899,0.322265852805101,0.475504818724185,82123,2407158.17463178,39819.2302004044,1167166.14693141,2552,5.341709985011321,3.41161627289251,481512.4758208955,326337.4471641791,100997.62089552238,0.21430624781307372,0.6009247870624917,0.09015009357977942,0.06569414171425789,0.33922842385669355,0.21665669126638679,1.5657417358026604,NA,NA,NA,NA,NA,Pre-Fordist,NA,4076,21645,1319,2894,1765,-798,345,-1312,-1695,2396,-4275,-3539,0.47303058387395736,0.01606127394274442,-0.2629573170731707,2.52212389380531,-1.4135693215339233,0.06149312616441192,0.32715477293790546,0.1023626016747708,0.04272595327486606,-0.014723104092059458,-0.19595063432598003,0.009156438730573254
1933,24976,16597,4974,0.664517937219731,0.335482062780269,0.50485027414593,82685,2368228.97255812,42105.4840902302,1205967.55549456,2380,5.193417737666231,3.49142760088291,480916.4458090267,319577.6045440589,95775.08013509364,0.38414644058295977,0.5811273108906049,0.16526837151698975,0.06015601378726492,0.3085591711785567,0.20743796497342415,1.4874768522632185,NA,NA,NA,NA,NA,Pre-Fordist,NA,3860,21116,1114,3405,1738,-955,488,1834,1313,1981,-727,-3424,0.4784881383192601,0.013472818528149,0.26608505997818976,-0.5536938309215537,1.5087585681645088,0.05425409687367721,0.34941696823482105,0.09167451897069251,0.03270348121941602,-0.016304464231728488,-0.0012385955464804255,0.012562925905110336
1934,31484,19585,7882,0.622061999745903,0.377938000254097,0.607556803676283,83912,2344140.18453465,44958.4354985846,1255945.21982602,2956,5.478043180151163,3.57964939783062,574730.7745597438,357518.1749381458,143883.49526997525,0.9297434474653752,0.6866543285572082,1.4557174027750146,0.09393173801124988,0.3619542123306742,0.23652043906963163,1.5303295298894437,NA,NA,NA,NA,NA,Pre-Fordist,NA,3944,27540,3938,4017,1684,1935,681,3155,2411,2677,-96,-1423,0.3750317178381122,0.04693011726570693,0.21584786053882726,-0.03981750311074243,1.1103276648693488,0.08581609304986176,0.2136513575234712,0.08772547256730423,0.040606256938533036,-0.010223731224275667,0.17820816731222955,0.03775340131469652
1935,34931,21537,9318,0.616558357905585,0.383441642094415,0.621906486511585,83436,2330160.08434244,47115.4706402907,1315817.98073989,3428,5.5904582708805055,3.58069819153842,624832.4968625214,385245.69823160296,166676.8545350827,1.0004701983911175,0.7269449296928732,1.997832288682596,0.11167841219617432,0.40065304064502805,0.2566189654870757,1.5612760338448426,NA,NA,NA,NA,NA,Pre-Fordist,NA,4020,30911,5298,4076,1670,3316,863,4212,3261,3170,576,-717,0.36789010517278387,0.06349777074644039,0.20489078822412155,0.1766329346826127,0.9720944495553511,0.10133515508893044,0.17922300922944837,0.0853222931951847,0.04657005852273244,-0.005981704671473409,0.08358189580463815,0.046591955689324074
1936,40184,24641,11261,0.61320426040215,0.38679573959785,0.630777971673227,91866,2340268.77217373,54534.9422243367,1389267.21833882,4422,5.658226233376918,3.9254465594851897,710187.227279132,435489.83345075377,199019.96731013103,1.0435733699980103,0.7182786323919516,2.309658831931484,0.12258071538980689,0.441212210170698,0.30609503420010215,1.4414223063882385,NA,NA,NA,NA,NA,Pre-Fordist,NA,4080,36104,7181,4282,1600,5263,1257,7003,5594,4298,1175,-292,0.3926827102388775,0.0781682015108963,0.1794945023561331,0.2100464783696818,0.7683232034322488,0.10889774236387782,0.1420832963324749,0.07481441867521157,0.05431791625321836,0.004328811733172344,0.1280450268689961,0.05668473091564078
1937,45751,28781,12441,0.629079145811021,0.370920854188979,0.58962509989229,95067,2371024.99259656,59714.1396997445,1489304.57087629,5723,5.901393628216986,4.00953175512039,775257.5557957309,487698.3609835179,210814.6106457714,0.8395668050971512,0.7527100083329595,1.1830273521138357,0.1308656000504907,0.46872331766557174,0.31846054422797615,1.4718410998193454,NA,NA,NA,NA,NA,Pre-Fordist,NA,4556,41195,7885,4529,1590,5969,1359,7357,5855,4424,1317,186,0.46001125311470137,0.08294150441267738,0.18472203343754248,0.22493595217762596,0.7555935098206661,0.11657041875729748,0.1278032312515071,0.0762968372802245,0.06953285296645895,0.013056565302425938,0.08766666853728466,0.05837747521433991
1938,40242,25513,10245,0.633989364345709,0.366010635654291,0.577313526437502,93989,2373175.77724151,61606.9520450536,1555545.07764739,4467,5.732372357049463,3.9604735941325497,702013.0147426982,445068.7849791377,178721.81641168287,0.7764660777297294,0.6504360547505367,0.8217600466817038,0.10900211726904212,0.45786413009322824,0.3163365329373097,1.4473956765024225,NA,NA,NA,NA,NA,Pre-Fordist,NA,4632,35610,5613,4484,1524,3792,912,4302,3273,2745,355,135,0.43601756954612003,0.059719754439349286,0.21199442119944212,0.10846318362358692,0.8386801099908341,0.09929885412122695,0.14875549048316253,0.07518631982657713,0.043516736409182855,9.067005789358262e-4,-0.09924336082948315,0.03378926963523672
