"variable","family","window_id","start_year","end_year","n_obs","level_stationarity_flag","first_difference_stationarity_flag","i2_risk_flag","unstable_classification_flag","notes"
"y_t","effective_output_proxy","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"y_t","effective_output_proxy","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"y_t","effective_output_proxy","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"y_t","effective_output_proxy","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"y_t","effective_output_proxy","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"y_t","effective_output_proxy","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"y_t","effective_output_proxy","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"K_ME","productive_capacity_capital","full_long_sample",1929,2024,96,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_ME","productive_capacity_capital","pre_1974_full",1929,1973,45,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_ME","productive_capacity_capital","post_1973_full",1974,2024,51,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_ME","productive_capacity_capital","fordist_core",1945,1973,29,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_ME","productive_capacity_capital","bridge_1940_1978",1940,1978,39,FALSE,FALSE,TRUE,TRUE,"window_classification=ambiguous_or_higher_order_risk"
"K_ME","productive_capacity_capital","pre_1974_alt_1940_1973",1940,1973,34,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_ME","productive_capacity_capital","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_NRC","productive_capacity_capital","full_long_sample",1929,2024,96,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_NRC","productive_capacity_capital","pre_1974_full",1929,1973,45,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_NRC","productive_capacity_capital","post_1973_full",1974,2024,51,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"K_NRC","productive_capacity_capital","fordist_core",1945,1973,29,FALSE,FALSE,TRUE,TRUE,"window_classification=ambiguous_or_higher_order_risk"
"K_NRC","productive_capacity_capital","bridge_1940_1978",1940,1978,39,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
