"model_id","estimator","attempted","succeeded","package_or_function","newey_west_bandwidth_rule","error_message","notes"
"S32C_CORP_boundary_baseline","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_CORP_boundary_baseline","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (7.0633)","",""
"S32C_CORP_boundary_baseline","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (7.0633)","",""
"S32C_CORP_boundary_baseline","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.553)","",""
"S32C_periodized__full_long_sample","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__full_long_sample","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (7.0633)","",""
"S32C_periodized__full_long_sample","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (7.0633)","",""
"S32C_periodized__full_long_sample","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.553)","",""
"S32C_periodized__pre_1974_full","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__pre_1974_full","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (5.1698)","",""
"S32C_periodized__pre_1974_full","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (5.1698)","",""
"S32C_periodized__pre_1974_full","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (4.4536)","",""
"S32C_periodized__post_1973_full","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__post_1973_full","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (5.5289)","",""
"S32C_periodized__post_1973_full","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (5.5289)","",""
"S32C_periodized__post_1973_full","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (4.4102)","",""
"S32C_periodized__fordist_core","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__fordist_core","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (4.595)","",""
"S32C_periodized__fordist_core","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (4.595)","",""
"S32C_periodized__fordist_core","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (2.9699)","",""
"S32C_periodized__bridge_1940_1978","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__bridge_1940_1978","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (5.2592)","",""
"S32C_periodized__bridge_1940_1978","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (5.2592)","",""
"S32C_periodized__bridge_1940_1978","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (3.2879)","",""
"S32C_periodized__pre_1974_alt_1940_1973","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__pre_1974_alt_1940_1973","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (4.9774)","",""
"S32C_periodized__pre_1974_alt_1940_1973","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (4.9774)","",""
"S32C_periodized__pre_1974_alt_1940_1973","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (3.9577)","",""
"S32C_periodized__pre_1974_alt_1947_1973","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_periodized__pre_1974_alt_1947_1973","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (3.6231)","",""
"S32C_periodized__pre_1974_alt_1947_1973","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (3.6231)","",""
"S32C_periodized__pre_1974_alt_1947_1973","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (1.5742)","",""
"S32C_ME_growth_extension","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_ME_growth_extension","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9962)","",""
"S32C_ME_growth_extension","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9962)","",""
"S32C_ME_growth_extension","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.4491)","",""
"S32C_NRC_growth_extension","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_NRC_growth_extension","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9883)","",""
"S32C_NRC_growth_extension","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9883)","",""
"S32C_NRC_growth_extension","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.5345)","",""
"S32C_ME_minus_NRC_growth_extension","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_ME_minus_NRC_growth_extension","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9772)","",""
"S32C_ME_minus_NRC_growth_extension","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9772)","",""
"S32C_ME_minus_NRC_growth_extension","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.4819)","",""
"S32C_ME_share_extension","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_ME_share_extension","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9603)","",""
"S32C_ME_share_extension","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9603)","",""
"S32C_ME_share_extension","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.5112)","",""
"S32C_NRC_share_extension","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_NRC_share_extension","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9442)","",""
"S32C_NRC_share_extension","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9442)","",""
"S32C_NRC_share_extension","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.5112)","",""
"S32C_ME_NRC_gap_extension","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_ME_NRC_gap_extension","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9772)","",""
"S32C_ME_NRC_gap_extension","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9772)","",""
"S32C_ME_NRC_gap_extension","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.4819)","",""
"S32C_modified_ME_NRC_split","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_modified_ME_NRC_split","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (7.0225)","",""
"S32C_modified_ME_NRC_split","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (7.0225)","",""
"S32C_modified_ME_NRC_split","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.5483)","",""
"S32C_modified_relative_mechanization","OLS_diagnostic",TRUE,TRUE,"stats::lm","none","",""
"S32C_modified_relative_mechanization","FM_OLS_Newey_West",TRUE,TRUE,"cointReg::cointRegFM","Newey-West (6.9772)","",""
"S32C_modified_relative_mechanization","IM_OLS",TRUE,TRUE,"cointReg::cointRegIM","Newey-West (6.9772)","",""
"S32C_modified_relative_mechanization","DOLS",TRUE,TRUE,"cointReg::cointRegD","Newey-West (6.4819)","",""
