year,K_ME,K_NR,pi,omega,exploitation_rate,GDP_real,X_FOB,M_CIF,X_net,FBKF_ME,FBKF_NR,inv_change,I_total,G,C_priv
1860,,,,,,554064.1623178844,67069.6677605293,50736.02414400238,16333.643616526912,1600.9074023080718,20325.148199491272,3809.8886030811414,25735.944204880485,28136.60167561205,483857.97282086493
1861,,,,,,560876.7869610664,54902.524069259955,40065.23346703889,14837.290602221066,1961.6610475727068,20729.523639349747,-3067.1337982602417,19624.050888662212,27565.33480644089,498850.11066374223
1862,,,,,,566004.834732463,59505.527691590156,42195.81452809532,17309.71316349484,1254.5352777718824,21446.446062077895,-459.743172248982,22241.238167600797,27823.715203991313,498630.1681973761
1863,,,,,,601499.3258135794,63914.234319368246,48319.52042056702,15594.713898801223,1376.6813209350803,22787.19936399807,2350.9663381240707,26514.84702305722,29160.194953678216,530229.5699380427
1864,,,,,,635783.9115189433,79927.2252024587,46684.830835583685,33242.39436687502,1624.2368355929907,24243.752295617433,-3019.1506820457685,22848.838449164654,35966.16603641219,543726.5126664914
1865,,,,,,653236.1505229563,78304.43068066418,55058.420914334696,23246.009766329487,1659.200390879761,26916.75477745655,3305.418192580852,31881.37336091716,44297.33564774196,553811.4317479676
1866,,,,,,656390.8383756957,84998.34188174039,48634.86941442565,36363.472467314736,2196.950150989535,30840.814131235256,-5926.764484253885,27110.999797970908,53733.64369261934,539182.7224177908
1867,,,,,,685354.1832391646,90383.91655766625,66691.8871350838,23692.029422582447,1917.8515618648235,30990.13558450678,3694.1179998525977,36602.1051462242,54031.35605123188,571028.692619126
1868,,,,,,722845.6306365996,97403.274317479,73246.42433367913,24156.849983799868,2227.0287619925684,30878.154102460863,1529.1783205038912,34634.36118495732,52066.25774672133,611988.161721121
1869,,,,,,774881.4303882783,111275.09247660867,76743.31184627026,34531.78063033841,840.6442080136859,33048.59145876256,-1641.4957105440378,32247.739956232206,49988.724885759584,658113.1849159481
1870,,,,,,776194.086995933,89634.85385846836,81498.22141809962,8136.632440368732,2877.6768252311085,35894.315735353455,2409.764280973781,41181.756841558345,52348.09925719388,674527.598456812
1871,,,,,,812288.8361001181,101219.9406645162,77516.30480503802,23703.635859478178,1864.7657811246077,39474.26524893137,-6112.665821198001,35226.36520885798,51080.65762422752,702278.1774075545
1872,,,,,,854654.787150742,118892.18641681508,103412.4591357964,15479.727281018684,2061.356743457787,42365.69467496916,6499.436892797611,50926.48831122456,46336.259833705386,741912.3117247934
1873,,,,,,932608.5980676189,116604.79694505634,108322.04726580351,8282.749679252825,1950.5776291017987,48618.734827171254,-675.5952256357328,49893.71723063732,58442.170939755546,815989.9602179732
1874,,,,,,929970.63823356,127176.19998722871,106096.0484348197,21080.151552409006,6811.3908999696905,57561.7881220369,-1179.5489393407902,63193.6300826658,70577.22138464078,775119.6352138445
1875,,,,,,966440.3375124333,110361.98167770085,108451.33150450075,1910.6501732001052,6040.538533425205,63841.21257274701,1103.4521421271359,70985.20324829935,70654.93290872467,822889.5511822092
1876,,,,,,973694.059188384,99822.67430841488,103608.90456214319,-3786.2302537283103,2016.282434514317,69042.27146165063,2894.738817220531,73953.29271338547,66125.97141173403,837401.0253169928
1877,,,,,,945075.341591336,89989.49684780052,87107.69054848317,2881.8062993173517,4445.951066027518,76112.99001084476,-3488.5484898460645,77070.3925870262,65775.35446416622,799347.7882408262
1878,,,,,,949744.4264173184,95701.90818633646,80952.92960241075,14748.97858392571,1693.3317719419952,74447.85496001792,1097.0712096784816,77238.25794163841,65185.89654563073,792571.2933461235
1879,,,,,,972516.1367005273,114740.97404435121,76760.84410955558,37980.12993479564,863.6173565105117,83772.01039769019,-2262.3888804462554,82373.23887375444,68891.3645606548,783271.4033313224
1880,,,,,,1056508.9320095417,139060.41356991619,83797.8637804489,55262.54978946729,1940.2876316439897,87730.44134923621,-3921.9478013365474,85748.78117954366,74739.43848111396,840758.1625594167
1881,,,,,,1169526.5428144478,169766.21297009708,110448.92597659609,59317.286993500995,3394.709934363883,93473.59097146099,-1648.5630041747806,95219.73790165009,90439.50807456906,924550.0098447276
1882,,,,,,1278085.5079531504,211935.9774415152,147802.38992778986,64133.58751372533,4982.767587616614,102042.45446106397,4625.469481908306,111650.6915305889,97721.9070137101,1004579.3218951261
1883,,,,,,1349590.127306913,237464.28414064273,166917.1065415548,70547.17759908794,4404.769557965722,117403.7614976966,2112.7779677617223,123921.30902342404,128300.8337484497,1026820.8069359513
1884,,,,,,1381579.6982055276,216475.23178542015,164616.7519091817,51858.479876238445,7501.80587707045,115924.4802650665,9438.55448839357,132864.84063053053,97649.1895550897,1099207.188143669
1885,,,,,,1356731.1589218492,197364.63052131416,126150.23721100304,71214.39331031112,4774.719952197108,122848.13858205563,-10691.096969141874,116931.76156511086,107390.92348456629,1061194.080561861
1886,,,,,,1408140.6622885866,213418.6959643125,138755.65870612682,74663.03725818568,2836.32306934269,139803.65121762583,158.86504631074686,142798.83933327926,117200.82842116832,1073477.9572759534
1887,,,,,,1485951.9163368992,258383.44073542661,153212.78525727382,105170.6554781528,5735.067364096436,145153.08540281397,-5675.397622186483,145212.75514472392,115412.97046263347,1120155.535251389
1888,,,,,,1524662.5129346866,260005.06874427767,191784.06547013918,68221.0032741385,12899.861037014023,140616.86844492942,3928.548113290423,157445.27759523387,116787.27647080214,1182208.9555945122
1889,,,,,,1601555.6664536635,267188.7631766322,220222.35089744063,46966.41227919154,5609.479056729157,160406.1356519752,7377.895033298283,173393.50974200264,130317.70305094516,1250878.0413815242
1890,,,,,,1748733.5497860208,292172.113763525,234007.66343998848,58164.4503235365,16490.891885016652,201163.68842138338,-5177.951360951865,212476.62894544814,173922.80618306898,1304169.664333967
1891,,,,,,1651101.424741921,293611.3769939739,221615.76571429518,71995.61127967873,12694.118605782192,193214.1089677061,-8348.520207619022,197559.70736586925,163573.68964483985,1217972.4164515333
1892,,,,,,1693398.6119113408,281307.587591564,270443.4668044055,10864.120787158492,5978.00082401914,207128.41161471914,19064.896268735032,232171.3087074733,156959.66556432462,1293403.5168523844
1893,,,,,,1740270.8990571147,323038.8777130612,248768.46299826118,74270.41471480005,12485.179238571101,212486.6041100278,-1085.9943332025664,223885.78901539635,143543.86104399155,1298570.8342829267
1894,,,,,,1768348.6486034663,335862.55482631776,213457.7278900346,122404.82693628315,10321.52421513385,229407.281776228,-18799.57616397645,220929.2298273854,133883.71585230864,1291130.8759874892
1895,,,,,,1881718.0203570977,367801.96588147874,271037.3200519125,96764.64582956623,8627.068600060189,244554.68560083187,10958.927441090766,264140.6816419828,186853.50623449308,1333959.1866510557
1896,,,,,,1984164.6927623716,413195.732568593,285974.9930269583,127220.73954163468,9764.165330037085,268819.1764045716,3455.4777898363063,282038.819524445,226952.29672313965,1347952.8369731524
1897,,,,,,1908292.9632570061,325697.33087030664,263296.0560085914,62401.27486171527,6764.358778784435,245849.34924506405,7270.118448127832,259883.8264719763,227750.49541585363,1358257.3665074608
1898,,,,,,1963520.866777998,413192.33689488727,237090.0239458395,176102.31294904777,7838.004263783141,249847.0540622429,-12167.762381088487,245517.29594493756,205930.26302572596,1335970.9948582866
1899,,,,,,1982523.7279349046,388938.8737117445,247001.31470479094,141937.55900695355,12023.899762839555,243065.0120588655,-15853.168398365047,239235.74342334,214786.84462118088,1386563.5808834303
1900,215216.7278144904,534904.9683985981,,,,2038666.995236581,376624.5930668296,308950.11347562517,67674.47959120444,12431.791590710221,259440.9041230236,1061.7021319250841,272934.3978456589,201046.12606637555,1497011.991733342
1901,438434.4959677383,1028650.9916269252,,,,2044650.0174701086,333193.20585314627,367730.22404628596,-34537.018193139695,18175.81502593396,264100.2977972391,24383.14469612302,306659.2575192961,220013.8834832111,1552513.894660741
1902,664075.6821648811,1529189.0761087262,,,,2110985.2894221153,377087.28274623415,358274.70477658795,18812.577969646198,29392.389531338937,257435.43399483248,-8114.130580035757,278713.69294613565,234270.08588236757,1579188.932623966
1903,888764.8024978759,2030522.1002704853,,,,2235648.054357602,382367.682421398,376344.58405069634,6023.098370701657,26194.231806096792,262460.0675643087,-7973.768824960341,280680.53054544516,244175.0388581369,1704769.386583318
1904,1108724.4828267489,2526040.9574383325,,,,2366883.4234038997,410827.8511781521,419250.4540710212,-8422.602892869094,24199.31913247146,263317.08356164244,-20007.929081259474,267508.47361285443,239298.92029828404,1868498.6323856302
1905,1466878.3844782864,3108889.852337701,,,,2474682.906958334,455999.26297303167,545396.9173533896,-89397.65438035788,21384.465631893992,291217.0737232709,14374.617907027572,326976.1572621925,250500.88816994525,1986603.5159065542
1906,1916059.067886404,3842186.1228791783,,,,2654811.142687558,394625.42039523256,659008.6718360531,-264383.2514408206,79545.39861751652,315746.2696456264,-16951.013485637963,378340.65477750497,257653.8586297804,2283199.880721093
1907,2445681.006986727,4710307.217200665,,,,2872281.966699408,416688.57506582094,854196.3211289748,-437507.74606315384,92590.95541239105,378395.12234852195,51668.96829201521,522655.0460529282,286698.79337093467,2500435.873338699
1908,3029776.047695366,5673254.929376615,,,,3013242.2739663576,535030.0509849582,802266.3527501153,-267236.30176515714,108621.19480784434,418542.713019667,14831.579701523095,541995.4875290344,283983.98524026765,2454499.1029622126
1909,3557667.541248564,6555222.369385326,,,,3018599.0876371036,525070.2871061137,683788.0678288724,-158717.78072275862,57606.60800786343,435205.76702722954,-32094.707356265488,460717.6676788275,280430.3598652696,2436168.840815765
1910,4124221.4884812655,7510613.260883849,,,,3208578.5925527643,569897.5320106255,732957.3230139344,-163059.79100330896,60068.42886290035,481212.4934589696,-12585.524858465793,528695.3974634041,320629.69178826985,2522313.2943043993
1911,4709031.79945924,8508643.142222578,,,,3320627.2850127798,523665.1025797658,830889.785529978,-307224.6829502122,74274.01070002069,501121.6805251719,12661.647020515287,588057.3382457079,364776.10722890357,2675018.522488381
1912,5362452.129546999,9632058.543950971,,,,3514863.100536471,570145.2863044419,868672.2809206757,-298526.99461623386,88479.59253714101,566212.2154536484,5704.723081529363,660396.5310723188,375130.9596792879,2777862.6044010986
1913,5970541.05937747,10699880.90478854,,,,3639054.956855598,606400.4908792004,859729.74612943,-253329.25525022962,83605.70311687728,557202.6216263324,14015.645945934122,654823.9706891438,355377.0302307701,2882183.2111859135
1914,6443630.631773463,11569948.287984544,,,,3069430.8951081703,460441.3550860019,683447.1439296916,-223005.78884368972,54906.61873635521,499171.1120519915,36461.18611100158,590538.9168993483,305673.3379406701,2396224.4291118416
1915,6690321.0139462855,12097029.348024402,,,,2705620.7977669975,506196.1613319854,413115.30413140124,93080.85720058414,25428.46426882135,367167.79362071614,-72867.24636441284,319729.01152512466,251909.4065108624,2040901.5225304263
1916,6736598.7780676745,12506445.715629991,,,,3000727.3504828736,653221.5176774292,576832.8808241093,76388.63685331994,47068.64506721267,334440.48681567307,632.5663473361433,382141.69823022187,238596.38939681964,2303600.626002512
1917,6791050.940276939,12976967.111467771,,,,3096270.297909822,698668.2854799278,736931.9652865544,-38263.679806626635,101832.2624137236,335844.7322952887,29345.54479891481,467022.53950792714,220738.04823253522,2446773.389975986
1918,6826977.690753123,13447714.62097177,,,,3183364.5031280313,883631.3401993029,765767.9754435751,117863.36475572782,110133.18398633217,348287.7294410884,33022.70967724683,491443.62310466735,216146.2394226659,2357911.2758449703
1919,6833232.655876078,13891036.31968069,,,,2862136.7727876273,325425.9929070419,566860.4764253743,-241434.48351833236,125315.08294915187,336914.4184435392,-13331.134570103233,448898.3668225878,226364.93775554595,2428307.951727826
1920,7024657.174780058,14404864.284193031,0.48307417944824305,0.516925820551757,0.9345135418707053,3014723.29825359,655511.228615644,514085.9664892925,141425.26212635153,107445.37954035672,366665.1181547726,-25586.406514010727,448524.0911811186,236310.70266699255,2188463.2422791272
1921,7354423.806226255,14911238.075608283,0.3441966764694292,0.6558033235305708,0.5248474109835526,2784015.250498198,417112.0160264071,515966.11397195933,-98854.09794555226,86371.15064178758,357058.25469868537,14301.139509413444,457730.5448498864,276766.89437602396,2148371.90921784
1922,7639438.027090732,15358389.064096268,0.3101630391690453,0.6898369608309547,0.44961789057436585,2795460.292540422,470848.87518727384,497893.3603897853,-27044.48520251148,90883.43180649236,335096.6329830216,-32152.695642220016,393827.3691472939,290201.5000566686,2138475.908538971
1923,7778486.269170758,15841393.04940322,0.3989826776920321,0.6010173223079679,0.66384555466704,3193418.3832870666,673243.161826417,703014.4277064471,-29771.265880030114,120764.3769554862,380961.73876507586,29509.113496659713,531235.2292172217,312969.2537168848,2378985.16623299
1924,7983914.775520829,16354471.44921255,0.47830080908431494,0.5216991909156851,0.9168134001603541,3508299.325508568,775951.4727236339,781280.6848892624,-5329.21216562856,146305.4193035313,368178.8946799255,-39449.85491388507,475034.45906957175,344701.7734415638,2693892.3051630612
1925,8031188.622218793,16955509.793146342,0.5282735486694295,0.47172645133057045,1.1198726447909801,3655890.473888711,724036.852736575,964051.1944416926,-240014.3417051176,153961.4282881939,474375.3789049454,-43722.092693262326,584614.7144998771,373527.2144547389,2937762.8866392127
1926,8066423.788936983,17532659.036593877,0.43820241487255573,0.5617975851274443,0.7800005312823641,3628822.054280333,693761.1767754243,1298301.151336656,-604539.9745612317,204320.12854258335,420952.05639271124,192592.83376514117,817865.0187004358,416132.8076713005,2999364.2024698285
1927,8083692.835770486,18103975.013907507,0.4124089248539785,0.5875910751460215,0.7018638340473284,3708732.2177632162,768244.4710199683,903249.351807356,-135004.88078738772,149941.9975488045,481058.5300965144,-101259.0431983696,529741.4844469493,443649.97322622495,2870345.6408774294
1928,8055584.977211746,18589983.18185073,0.563991315101409,0.436008684898591,1.2935322956527455,4166144.103727921,910865.3315663992,967197.9105889422,-56332.57902254304,88100.61808369208,503563.0596384043,-70170.12339187946,521493.55433021684,456099.4838971236,3244883.6445231233
1929,8190210.471255503,19530769.423828915,0.43853809436017643,0.5614619056398236,0.7810647346776498,4359248.177905941,949893.9073836951,1243141.7237774336,-293247.8163937385,276265.6756580944,513591.88236932945,70351.70813746602,860209.2661648899,446195.30594256,3346091.42219223
1930,8324162.579440497,20582991.933317017,0.33135094475776483,0.6686490552422352,0.49555284967496815,4174087.2904357333,622671.9633415396,1126463.166532588,-503791.20319104835,253801.37246469382,546251.2020164606,87949.07591929726,888001.6504004517,470168.1247622915,3319708.7184640383
1931,8344695.185735948,21406414.009942114,0.41885631529892176,0.5811436847010782,0.7207448455959184,3593283.4709406565,538885.3457342414,583620.6589026458,-44735.31316840439,125193.6888542667,559301.6471787543,293.81047919563736,684789.1465122167,402387.2868011304,2550842.3507957137
1932,7995133.194485517,21528542.32148009,0.5390783513016165,0.4609216486983835,1.1695661352074547,2938088.7446062607,258938.41533096787,211408.59151629556,47529.8238146723,16702.40296972916,466864.4445462296,-56843.80701319928,426723.0405027595,312180.4956175691,2151655.3846712597
1933,7615477.559655915,21656638.25375355,0.4810031729697303,0.5189968270302697,0.9267940532932708,3093509.657358266,398571.89072626317,210080.97914081762,188490.91158544554,12678.942576231204,506335.2234627458,-18778.442462123032,500235.7235768539,306839.12760398496,2097943.8945919815
1934,7314163.83015172,21574917.36913133,0.46321133937061554,0.5367886606293845,0.862930559724381,3535501.6524094115,637862.3922045012,312007.46211782325,325854.93008667795,22774.679703440157,501853.852534247,1415.8596744308454,526044.391912118,381070.3203036701,2302532.0101069454
1935,7122979.91064687,21744160.46746208,0.4281425211163158,0.5718574788836842,0.74868745609848,3847985.8221308007,649490.1512879689,420842.5492173743,228647.60207059456,40629.42573238251,531449.9080142967,8277.01072616327,580356.3444728424,457169.8188675874,2581812.0567197762
1936,6974285.56245463,22060062.61675576,0.4714613782878624,0.5285386217121376,0.8920093232933852,4049570.1486049797,674482.6257904076,472973.66571071005,201508.9600796976,54273.58366777421,535332.980579072,7865.346560141076,597471.9108069873,481134.1739073124,2769455.103810983
1937,6825401.389629302,22360515.92366125,0.46716886685142067,0.5328311331485793,0.876767211575738,4441881.758491351,886997.3194972686,530652.4534465295,356344.8660507392,57812.61056152852,546387.781888737,-10959.27802787768,593241.1144223878,508169.9358705164,2984125.842147708
1938,6725026.402131322,22878545.48925883,0.4468335925879001,0.5531664074120999,0.807774272986567,4547159.2057407275,817919.2757189097,603490.8097896136,214428.4659292961,101870.36565901758,576421.3749048365,37799.559026238836,716091.299590093,575150.5231148417,3041488.9171064966
1939,6611922.702430557,23163390.609680697,0.42146464468705436,0.5785353553129456,0.7285028318780493,4652165.373641137,746263.0498163522,518149.1108878412,228113.938928511,79565.56453480279,601327.0403772804,-33064.18051271514,647828.4243993681,593749.3442474755,3182473.6660657823
1940,6512977.92798287,23443910.374054376,0.3925292199125293,0.6074707800874707,0.6461697134733104,4894315.689626395,771963.9059361276,582012.7645909144,189951.14134521328,85435.38731761066,596470.0,8650.101646941945,690555.4889645526,652961.7734489533,3360847.2858676757
1941,6409346.273440642,23703474.566572443,0.3837399025721505,0.6162600974278495,0.6226914644868403,4902179.7360683745,859455.0208712626,578138.0746753257,281316.946195937,81536.57192469586,590749.0,8528.072429221822,680813.6443539177,750948.969234439,3189100.176284081
1942,6240896.930218607,23697061.46015685,0.4324351563139126,0.5675648436860874,0.7619132177134755,5063603.332230072,879238.9435260267,538340.2364646503,340898.7070613764,67028.2419176009,467716.0,6783.334072047321,541527.5759896482,707482.578990056,3473694.470188991
1943,6093246.01308522,23650312.31750648,0.39690080234265035,0.6030991976573497,0.6581020234885957,5208526.473803688,842325.7344371426,473842.0720374444,368483.6623996982,67266.70795273315,506838.0,7282.629191879416,581387.3371446126,783575.5930228153,3475079.8812365616
1944,5913729.000700173,23670131.62584511,0.3745632789412643,0.6254367210587357,0.5988827747549036,5307107.913129927,903555.6264630908,486883.67046351905,416671.9559995717,52088.1369046341,593541.0,8189.9303984399885,653819.067303074,787439.2721556494,3449177.6176716313
1945,5800332.645070968,23965005.655001078,0.3955444366604547,0.6044555633395453,0.6543813319793412,5765048.188974463,955760.7035231846,519109.13972343673,436651.5637997479,64565.38731761066,617340.0,8650.10164694197,690555.4889645526,960124.2645092597,3677716.8717009034
1946,5865094.5954950005,24388456.22607037,0.42805644981748625,0.5719435501825137,0.7484242976092458,6258938.391410903,919567.6847642914,541096.3116515432,378471.37311274814,97988.8837273088,846442.0,11980.288313732599,956411.1720410414,1012069.2839618064,3911986.562295307
1947,6171179.763731091,25299978.32029935,0.3181139436169278,0.6818860563830722,0.46652067546929965,5585719.844217188,832615.9424691773,582855.646741784,249760.29572739336,166934.85797132712,871124.0,13167.97726482572,1051226.8352361529,966993.027412076,3317739.6858415655
1948,6430245.861604895,25987572.481264614,0.4052710173753241,0.5947289826246759,0.6814381495026017,6512764.533265854,922501.7055220734,580107.239655693,342394.4658663805,159160.3024981656,762653.0,11693.379923978238,933506.6824221439,968924.8669784928,4267938.517998837
1949,6824745.17358655,27030498.693628725,0.40955841485925326,0.5904415851407467,0.6936476446888893,6372124.488415103,723684.7085203483,624738.0881728947,98946.62034745363,194642.2731350009,859572.0,13372.911828935845,1067587.1849639367,1005844.4675811293,4199746.215522584
1950,7159441.49775327,27793095.89656233,0.4359385034043879,0.5640614965956121,0.7728563393096154,6686124.62849127,825253.9703811486,596816.9958279894,228436.9745531592,177958.32990605346,795332.0,12346.375966893043,985636.7058729465,1016576.9096167794,4455474.038448385
1951,7644396.843989766,28897367.71327704,0.4732551168639584,0.5267448831360416,0.8984522337386075,6977024.132144125,811843.8741175963,722268.2972900824,89575.57682751387,223595.01058570322,884079.0,14051.058931991458,1121725.0695176946,1065624.1697197002,4700099.316079216
1952,8159119.350564993,30090084.807280608,0.36244067704357485,0.6375593229564251,0.5684814949656792,7426608.858644058,860422.5743024562,740648.9882724957,119773.58602996054,230257.73687772267,928673.0,14701.260412668344,1173631.997290391,1225537.5560508873,4907665.719272819
1953,8568687.089411363,31143230.50866421,0.5664285318081934,0.43357146819180653,1.3064248304217578,7986500.879432823,663539.4656232869,735366.9174923102,-71827.45186902327,187035.26231345176,983498.0,14848.440690529416,1185381.7030039812,1433210.3094407173,5439736.318857147
1954,8868648.241796251,31965691.46708138,0.5747734837359142,0.42522651626408575,1.3516877752255523,7727829.923252009,772167.5004948492,723020.8142910338,49146.68620381539,155607.7107846071,978429.0,14385.474879789399,1148422.1856643965,1348638.6661997938,5181622.385184003
1955,9340744.595703175,33032823.213870887,0.5815005590394793,0.41849944096052066,1.3894894523750043,8018659.212204488,864440.5839850277,845842.1178349766,18598.4661500511,204887.08428022778,1108181.0,16656.52245842875,1329724.6067386565,1440723.0188656722,5229613.120450108
1956,9949874.774817465,34358019.314789146,0.4882659560995566,0.5117340439004434,0.954140069278931,8153260.7928230055,800682.9209600316,823209.1245422151,-22526.203582183574,287848.73590008373,963021.0,15867.52438660455,1266737.2602866883,1387168.133107778,5521881.603010722
1957,10894614.316112695,36281251.289858736,0.4635676322725889,0.5364323677274111,0.8641678991826822,8989939.162489288,815897.1730719275,955705.0146012476,-139807.8415293201,463816.31385917775,966966.0,18149.750214195345,1448932.064073373,1475603.455481535,6205211.484463699
1958,11816480.6340745,38156076.230578974,0.5532199673134668,0.44678003268653316,1.2382378952499278,9483618.720824603,823985.4052797997,891160.8967501206,-67175.49147032085,477406.7326300344,930758.0,17862.841824440984,1426027.5744544754,1638843.8988437734,6485922.738996675
1959,12270402.223186186,39290366.9274163,0.42492238072368094,0.5750776192763191,0.7388957011723142,8946686.907058401,956690.7570569782,904427.2186796457,52263.5383773325,257997.31696066033,956229.0,15402.695534372702,1229629.012495033,1665353.0306718291,5999441.325514207
1960,12950191.296492476,41033175.2866967,0.3906873342548224,0.6093126657451776,0.6411935221747267,9688926.504720557,951180.4961334041,1217845.9497959046,-266665.4536625005,313580.96729950694,1259369.0,19953.174378365045,1592903.141677872,1777292.40110366,6585396.415601525
1961,13864198.235728389,42927834.96014376,0.3411037387456055,0.6588962612543945,0.5176895951666481,10152296.43718576,1010486.138369755,1448198.9616012543,-437712.8232314993,397303.11442934774,1195868.0,20209.683538350975,1613380.7979676987,1765723.3629770344,7210905.099472526
1962,14656733.31188608,44916460.44551279,0.4058094806227487,0.5941905193772513,0.6829618908225973,10633376.753748316,1054516.324016511,1277257.9262808259,-222741.6022643149,361904.58459850925,1426754.0,22689.479884173255,1811348.0644826824,1860851.855301441,7183918.436228508
1963,15227201.784688788,47276257.424464405,0.4423185577929475,0.5576814422070525,0.7931383838817541,11306060.64095473,1061466.4016463386,1201729.335228026,-140262.93358168728,302885.753904942,1749825.0,26039.032691757195,2078749.7865966992,1855358.7182119766,7512215.069727741
1964,15870842.068814576,49554196.0656108,0.3232257260268422,0.6767742739731578,0.4775975365157895,11557630.950735234,1191441.8793989513,1263576.2182765342,-72134.33887758292,339476.494051527,1596262.0,24555.21696537803,1960293.711016905,1925071.289165166,7744400.289430746
1965,16286933.464280952,51410237.15006076,0.3618911308274272,0.6381088691725728,0.5671307018451045,11651050.637611322,1231609.1982200935,1283471.1189187055,-51861.920698612,292369.8038919817,1526405.0,23071.50994722196,1841846.3138392037,2107463.5551581415,7753602.689312588
1966,16946582.86887736,53293382.970220126,0.44650434323893595,0.553495656761064,0.8066989104337007,12950278.200823154,1293972.1149192594,1649240.5779394894,-355268.46302022994,374517.24994306325,1502754.0,23813.548672443256,1901084.7986155066,2329421.333541879,9075040.531685999
1967,17624608.12969785,55291290.68187879,0.4208083749961733,0.5791916250038267,0.726544302144205,13370718.576514369,1269896.106950456,1514470.433940269,-244574.326989813,392800.3952703527,1524602.0,24322.6200080649,1941725.0152784176,2368926.5514860377,9304641.336739726
1968,18482185.68166382,57479307.91611951,0.46059209028789094,0.5394079097121091,0.8538845686073023,13849416.79463108,1296522.4669401261,1655307.5609911259,-358785.09405099973,453511.93419818196,1645258.0,26623.302296780515,2125393.2364949626,2473819.4493815796,9608989.202805538
