"release_id","stage_id","release_date","release_file","release_path","role","source_file","rows","columns","bytes","sha256"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","README.md","data/releases/chapter2_us_source_of_truth_v1/README.md","release readme","",12,1,656,"5afd1f8aee96a71a5419088df70a6ed51e0bd566e3d9d7f84c67c5334e472323"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_SOURCE_OF_TRUTH_LONG.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_LONG.csv","canonical long source-of-truth panel","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_canonical_long.csv",3637,22,1859667,"263e12f237384798fd3cc748d0d6968679b00a28eb37cd711cdf36c33858b485"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_SOURCE_OF_TRUTH_WIDE.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_WIDE.csv","wide consultation panel","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_canonical_wide.csv",125,38,66263,"b0f64a9e6b6a80c9180679f7fcc165b69e3faac4d8a658df1ccc654ad95e1cb8"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_VARIABLE_DICTIONARY.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_VARIABLE_DICTIONARY.csv","variable dictionary","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_variable_dictionary.csv",189,17,78737,"f955a0ab822d1ecfbee23d4c052aeed6dc496a876180655f21a054813a7551ac"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_PROVENANCE_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_PROVENANCE_LEDGER.csv","provenance ledger","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_provenance_ledger.csv",37,7,11360,"195ae08d433423488cf22fb556dbc39a86bbaae8d0de3ee043f7de0f014363de"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_ADMISSIBILITY_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_ADMISSIBILITY_LEDGER.csv","admissibility ledger","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_admissibility_ledger.csv",204,8,37259,"32a677f93b30afdb8d2cfc84e443bbb953fc58970d7d7e205396f6ac2d3444dd"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_SUPPORT_WINDOW_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SUPPORT_WINDOW_LEDGER.csv","support-window ledger","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_support_window_ledger.csv",52,8,4379,"c09745674b0d0ee4182aed0ee6e6de75fdc72ac4d4e55ae2530685bbd8784679"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_FAMILY_INTERFACE_REGISTRY.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_FAMILY_INTERFACE_REGISTRY.csv","family interface registry","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_family_interface_registry.csv",5,4,659,"7926f0901e0a5593b67f832d9a0dbcd2659d607c91823a7c333cdc31db7d9b20"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_DOWNSTREAM_CONSUMPTION_CONTRACT.md","data/releases/chapter2_us_source_of_truth_v1/CH2_US_DOWNSTREAM_CONSUMPTION_CONTRACT.md","downstream consumption contract","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/md/S30E_DOWNSTREAM_CONSUMPTION_CONTRACT.md",6,1,371,"1be9789bd6eae2aebb2b712213c575ddcbb5f47021690be452dd37dfdd1ce780"
"chapter2_us_source_of_truth_v1","S30F_DATASET_RELEASE_FREEZE","2026-06-23","CH2_US_VALIDATION_SUMMARY.md","data/releases/chapter2_us_source_of_truth_v1/CH2_US_VALIDATION_SUMMARY.md","release validation summary","",11,1,577,"525fff1026f3b26bb38f392bf884e4338201260b1375759fa16a4ab0065f8d87"
