"variable_id","family_id","canonical_inclusion_status","canonical_exclusion_reason","alias_status","metadata_status","blocked_status","observation_status"
"G_TOT_GPIM_2017","capital","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"I_TOT_REAL_2017","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"LOG_G_TOT_GPIM_2017","capital","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"LOG_I_TOT_REAL_2017","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"LOG_N_TOT_GPIM_2017","capital","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"N_TOT_GPIM_2017","capital","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"DELTA_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"DLOG_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"DLOG_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"GROWTH_ARITH_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"GROWTH_ARITH_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_LOG_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_LOG_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_DLOG_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_DLOG_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"CORP_COMPENSATION_SHARE_GVA","distribution","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"CORP_COMPENSATION_SHARE_NVA","distribution","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","CANONICAL_DIAGNOSTIC",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","CANONICAL_DIAGNOSTIC",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"NFC_COMPENSATION_SHARE_GVA","distribution","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"NFC_COMPENSATION_SHARE_NVA","distribution","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","CANONICAL_DIAGNOSTIC",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","CANONICAL_DIAGNOSTIC",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_baseline","output","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_BASELINE","output","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_proxy_gdp_implicit","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_proxy_nonfarm_business_output","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"G_TOT_GPIM_2017","capital","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"I_TOT_REAL_2017","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"LOG_G_TOT_GPIM_2017","capital","CANONICAL_BASELINE",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"LOG_I_TOT_REAL_2017","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"LOG_N_TOT_GPIM_2017","capital","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"N_TOT_GPIM_2017","capital","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"DELTA_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"DLOG_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"DLOG_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"GROWTH_ARITH_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"GROWTH_ARITH_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_LOG_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_LOG_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_DLOG_G_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"L1_DLOG_N_TOT","capital","CANONICAL_CONDITIONAL",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_proxy_business_output","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output","CANONICAL_ROBUSTNESS",,"not_alias","not_metadata_only","not_blocked","observation_bearing"
"ADD_PROFITS_TO_NOS","contextual","BLOCKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","blocked","blocked_no_observations"
"OLD_APPENDIX_6_7_LINE_REPLICATION","contextual","BLOCKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","blocked","blocked_no_observations"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","contextual","BLOCKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","blocked","blocked_no_observations"
"QWEN_HOUSING_PROXY_PATHS","contextual","BLOCKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","blocked","blocked_no_observations"
"INVENTORIES_MENU","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP_GOS_SHAIKH_RECONCILIATION","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"CORP_GVA_SHAIKH_RECONCILIATION","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"CORP_IMPUTED_INTEREST_ADJ","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_CFC","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_COMP","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_DIVIDENDS","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_GVA","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_NET_INT","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_NOS","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_NVA","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_PBT","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN_TRANSFERS","contextual","METADATA_REFERENCE_ONLY","not_authorized_as_value_bearing_canonical_object","not_alias","metadata_only","not_blocked","metadata_or_documentation_only"
"FIN__ME__cfc_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__ME__gross_investment_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__ME__net_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__ME__net_stock_quantity_index","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__NRC__cfc_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__NRC__gross_investment_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__NRC__net_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__NRC__net_stock_quantity_index","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"CORP__IPP__cfc_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"CORP__IPP__gross_investment_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"CORP__IPP__net_stock_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"CORP__IPP__net_stock_quantity_index","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__IPP__cfc_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__IPP__gross_investment_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__IPP__net_stock_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"FIN__IPP__net_stock_quantity_index","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"NFC__IPP__cfc_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"NFC__IPP__gross_investment_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"NFC__IPP__net_stock_current_cost","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"NFC__IPP__net_stock_quantity_index","contextual","CANONICAL_CONTEXTUAL","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","observation_bearing_source_input"
"CORP__IPP__gross_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__IPP__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__IPP__retirements","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__IPP__revaluation_holding_gains","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__IPP__gross_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__IPP__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"NFC__IPP__gross_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"NFC__IPP__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"NFC__IPP__retirements","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"NFC__IPP__revaluation_holding_gains","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__ME__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__NRC__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__ME__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__NRC__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"NFC__ME__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"NFC__NRC__official_price_index","contextual","CANONICAL_DIAGNOSTIC","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"ACCUMULATED_Q","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"ADJUSTED_SHAIKH_CORPORATE_GOS","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"ADJUSTED_SHAIKH_CORPORATE_GVA","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"ADJUSTED_SHAIKH_CORPORATE_NOS","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"BUSINESS_WIDE_SHAIKH_OBJECTS","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__current_transfer_payments","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__current_transfer_receipts","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__dividends_paid","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__dividends_received","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__ME__gross_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__ME__retirements","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__ME__revaluation_holding_gains","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__NRC__gross_stock_current_cost","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__NRC__retirements","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"CORP__NRC__revaluation_holding_gains","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__current_transfer_payments","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__current_transfer_receipts","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__dividends_paid","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
"FIN__dividends_received","contextual","PARKED_EXCLUDED","not_authorized_as_value_bearing_canonical_object","not_alias","not_metadata_only","not_blocked","excluded_or_deferred_no_observations"
