"variable_id","family_id","coverage_start","coverage_end","first_fully_supported_year","support_status","baseline_window_eligible","warmup_observation"
"G_TOT_GPIM_2017","capital",1901,2024,1931,"partial_vintage_warmup","no","yes"
"I_TOT_REAL_2017","capital",1901,2024,1931,"partial_vintage_warmup","no","yes"
"LOG_G_TOT_GPIM_2017","capital",1901,2024,1931,"partial_vintage_warmup","no","yes"
"LOG_I_TOT_REAL_2017","capital",1901,2024,1931,"partial_vintage_warmup","no","yes"
"LOG_N_TOT_GPIM_2017","capital",1901,2024,1931,"partial_vintage_warmup","no","yes"
"N_TOT_GPIM_2017","capital",1901,2024,1931,"partial_vintage_warmup","no","yes"
"DELTA_G_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"DLOG_G_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"DLOG_N_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"GROWTH_ARITH_G_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"GROWTH_ARITH_N_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"L1_LOG_G_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"L1_LOG_N_TOT","capital",1902,2024,1932,"partial_vintage_warmup","no","yes"
"L1_DLOG_G_TOT","capital",1903,2024,1933,"partial_vintage_warmup","no","yes"
"L1_DLOG_N_TOT","capital",1903,2024,1933,"partial_vintage_warmup","no","yes"
"CORP_COMPENSATION_SHARE_GVA","distribution",1929,2025,1929,"complete","yes","no"
"CORP_COMPENSATION_SHARE_NVA","distribution",1929,2025,1929,"complete","yes","no"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",1929,2025,1929,"complete","yes","no"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",1929,2025,1929,"complete","yes","no"
"NFC_COMPENSATION_SHARE_GVA","distribution",1929,2025,1929,"complete","yes","no"
"NFC_COMPENSATION_SHARE_NVA","distribution",1929,2025,1929,"complete","yes","no"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",1929,2025,1929,"complete","yes","no"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",1929,2025,1929,"complete","yes","no"
"y_real_nfc_gva_baseline","output",1929,2025,1929,"complete","yes","no"
"Y_REAL_NFC_GVA_BASELINE","output",1929,2025,1929,"complete","yes","no"
"y_real_nfc_gva_proxy_gdp_implicit","output",1929,2024,1929,"complete","yes","no"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output",1929,2024,1929,"complete","yes","no"
"y_real_nfc_gva_proxy_nonfarm_business_output","output",1929,2025,1929,"complete","yes","no"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output",1929,2025,1929,"complete","yes","no"
"G_TOT_GPIM_2017","capital",1901,2024,1931,"fully_supported","yes","no"
"I_TOT_REAL_2017","capital",1901,2024,1931,"fully_supported","no","no"
"LOG_G_TOT_GPIM_2017","capital",1901,2024,1931,"fully_supported","yes","no"
"LOG_I_TOT_REAL_2017","capital",1901,2024,1931,"fully_supported","no","no"
"LOG_N_TOT_GPIM_2017","capital",1901,2024,1931,"fully_supported","no","no"
"N_TOT_GPIM_2017","capital",1901,2024,1931,"fully_supported","no","no"
"DELTA_G_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"DLOG_G_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"DLOG_N_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"GROWTH_ARITH_G_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"GROWTH_ARITH_N_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"L1_LOG_G_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"L1_LOG_N_TOT","capital",1902,2024,1932,"fully_supported","no","no"
"L1_DLOG_G_TOT","capital",1903,2024,1933,"fully_supported","no","no"
"L1_DLOG_N_TOT","capital",1903,2024,1933,"fully_supported","no","no"
"y_real_nfc_gva_proxy_business_output","output",1947,2025,1947,"complete","yes","no"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output",1947,2025,1947,"complete","yes","no"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output",1947,2025,1947,"complete","yes","no"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output",1947,2025,1947,"complete","yes","no"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output",1997,2025,1997,"complete","yes","no"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output",1997,2025,1997,"complete","yes","no"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output",1997,2025,1997,"complete","yes","no"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output",1997,2025,1997,"complete","yes","no"
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","distribution",1929,2025,1929,"complete_annual_intersection","no","no"
"NFC_FINANCIAL_CLAIMS_BURDEN_NOS","distribution",1929,2025,1929,"complete_annual_intersection","no","no"
"NFC_FINANCIAL_CLAIMS_BURDEN_NVA","distribution",1929,2025,1929,"complete_annual_intersection","no","no"
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","distribution",1929,2025,1929,"complete_annual_intersection","no","no"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","distribution",1929,2025,1929,"complete_annual_intersection","no","no"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA","distribution",1929,2025,1929,"complete_annual_intersection","no","no"
