ws_id,relative_path,dimension_code,dimension_label,confidence,status,notes
WS_001,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_Ulianova2000_URSS_UP.pdf,D01,Cold War geopolitics,high,first_pass,primary
WS_003,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_inSpanish_UlianovaFediakova1998_URSS_PCCh_ColdWar.pdf,D01,Cold War geopolitics,high,first_pass,primary
WS_004,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Article_ReviewInternationalPoliticalEconomy_Ahumada2025.pdf,D03,Third World / Non-Aligned Movement / NIEO politics,high,first_pass,primary
WS_006,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",D03,Third World / Non-Aligned Movement / NIEO politics,high,first_pass,primary
WS_006,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[A New Press People's history] Vijay Prashad - The darker nations_ a people's history of the third world (2008, The New Press).pdf",D01,Cold War geopolitics,medium,first_pass,secondary
WS_007,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",D08,Inter-American order / hemispheric security doctrine,high,first_pass,primary
WS_007,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_[New Cold War history] Harmer, Tanya - Allende’s Chile and the Inter-American Cold War (2011, University of North Carolina Press).pdf",D02,U.S. interventionism,medium,first_pass,secondary
WS_008,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",D01,Cold War geopolitics,medium,first_pass,primary
WS_008,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Edited_Harmer, Tanya - Alfredo Riquelme Segovia - Chile y la Guerra Fría global-RIL Editores (2014).pdf",D08,Inter-American order / hemispheric security doctrine,low,first_pass,secondary
WS_009,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_inSpanish_UlianovaLoyolaAlvarez_Editors_1912-2012_El Siglo de los Comunistas Chilenos_InstitutoIDEA_2012.pdf,D01,Cold War geopolitics,medium,first_pass,primary
WS_010,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf",D03,Third World / Non-Aligned Movement / NIEO politics,high,first_pass,primary
WS_010,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Jovan Cavoški - Non-Aligned Movement Summits_ A History (2022, Bloomsbury Academic).pdf",D09,"Diplomatic isolation, blockade, recognition, and alliance structure",medium,first_pass,secondary
WS_011,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Odd Arne Westad - The Cold War_ A World History (2017, Basic Books).pdf",D01,Cold War geopolitics,medium,first_pass,primary
WS_011,"docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Odd Arne Westad - The Cold War_ A World History (2017, Basic Books).pdf",D03,Third World / Non-Aligned Movement / NIEO politics,low,first_pass,secondary
