year,lnY,lnK,lnYp_hat,u_hat
1925,1.7155405592245376,2.3333615134460852,0.6755448496108262,2.829204875943713
1926,1.8550325380431365,2.3755172288187443,0.6877495920982434,3.213250192591893
1927,1.9312658440427257,2.4378809137218074,0.7058048595294769,3.4057357123951855
1928,1.9979399773107185,2.481249654304321,0.718360791889635,3.5951265255482974
1929,2.0531356127786684,2.5003100708852384,0.7238790822096202,3.7782333421139054
1930,1.83815786909274,2.472253250558223,0.7157561915391644,3.0722238410424407
1931,1.5969770396190244,2.3104842012888285,0.6689215080018572,2.529585692987366
1932,1.1958375962789345,2.2048238500635184,0.638331174842161,1.7463124991400247
1933,1.143976105686098,2.197030251230067,0.636074805427678,1.661799913602482
1934,1.4016431438134447,2.2012109890171305,0.6372851947579851,2.1476150536317267
1935,1.5921172456418924,2.179200309488451,0.6309127569225492,2.6148441276401533
1936,1.8467395675937823,2.2437914085407815,0.6496128957754705,3.3105908295658963
1937,1.989129980042548,2.291963838215433,0.6635595716644926,3.7643319492056566
1938,1.8932157084449086,2.2688709907807305,0.6568738292034703,3.4429955064921645
1939,2.036943472591782,2.282871167849029,0.6609271006136773,3.959098595586126
1940,2.2183025368256533,2.3335654079464137,0.6756038802748562,4.677195398885203
1941,2.609659041926965,2.437518834024371,0.7057000317634654,6.712416432100366
1942,3.0325339798235844,2.4911955594909894,0.7212402878377996,10.087466291562597
1943,3.3914748495931515,2.48699911159151,0.7200253501829111,14.460915096501905
1944,3.567701612558446,2.4704675815951465,0.7152392122952004,17.330403733666998
1945,3.5738593697419385,2.509921977532931,0.7266618803287161,17.239400475247667
1946,3.448256432637539,2.757357196157837,0.7982982669714009,14.153446532983017
1947,3.5294514445907326,3.0044089970508563,0.8698236481515662,14.29096895911723
1948,3.6649232746362417,3.1809127438232925,0.9209242583150705,15.549041802695147
1949,3.651990449579508,3.227455610689058,0.934399150146493,15.143801395707941
1950,3.8308594349546246,3.4577688361580643,1.0010784505319106,16.941749911044916
1951,4.054119543038946,3.6188671666267815,1.047718950429553,20.214508569552745
1952,4.151280305846818,3.7290729074061293,1.079625245340144,21.577585347704368
1953,4.2550180031804326,3.8204951449631364,1.1060934207024444,23.310982057707438
1954,4.252576383737479,3.877827347090281,1.1226919947513663,22.87133521133411
1955,4.407338079246897,4.057108469532211,1.174596698844658,25.34905320443529
1956,4.483073031525113,4.247028675205738,1.2295815848301548,25.880542892065375
1957,4.5572010803718035,4.371282565969342,1.265555040064484,26.887084476081775
1958,4.564868167639135,4.414685238808265,1.278120796346448,26.75569562645255
1959,4.712702260481238,4.492439310126985,1.3006318226546083,30.327971479944214
1960,4.777034537988825,4.525840866932797,1.3103020985801872,32.03190506612798
1961,4.838171249277039,4.570339443966549,1.3231851363593463,33.61546110000627
1962,4.969211816602907,4.622393206325532,1.3382555190933716,37.74889853956682
1963,5.066032898225197,4.674579024716419,1.3533641341251776,40.962981315278476
1964,5.19317960439496,4.7594571032562145,1.3779376725468944,45.38773579355918
1965,5.337231056457921,4.857485514624906,1.406318439107944,50.95345746616584
1966,5.492565591157897,4.979970595101984,1.4417797959502685,57.442577417486895
1967,5.5753074935637095,5.107768140874452,1.4787791950326639,60.131167343857506
1968,5.7129723648691515,5.26354954647228,1.5238803615730023,65.96286969211278
1969,5.822324246999434,5.42167426600765,1.5696599543462264,70.29244272294639
1970,5.877461524993753,5.586136849437184,1.6172744583779781,70.82323087728108
1971,5.991734379813343,5.746946668148629,1.663831429585122,75.78519449067511
1972,6.1364919889106515,5.883685201755009,1.7034193852400104,84.18970148981997
1973,6.299711805303772,6.089207030991676,0.34274396826251174,386.4366072231595
1974,6.374970096380931,6.4540628079336315,0.4483754529439743,374.87575213787744
1975,6.459486463440728,6.646550373241959,1.9242808482305356,93.24268544788701
1976,6.6180105007232175,6.8190106298871145,1.9742108044194218,103.93853307639216
1977,6.768691504896372,7.007154430053952,2.0286813930772443,114.43535882395854
1978,6.94442558865358,7.22436316652521,2.0915667378333276,128.10610307501986
1979,7.08646829571691,7.468013738650213,1.8967054620057402,179.42599408813277
1980,7.16779776110985,7.710193381837492,1.9668202769167533,181.44951925503432
1981,7.308315577525681,7.923928109305818,2.0286998414386517,196.29443199111492
1982,7.331896034416603,8.031528792556083,2.05985193123076,194.81377518022853
1983,7.459943727281781,8.080473075177615,2.339424018481104,167.42235788768656
1984,7.635130365632464,8.168279179364463,2.3648452663700406,194.47139819485952
1985,7.747965912668557,8.246196521603904,2.3874035621771403,212.84460606988904
1986,7.835990655435089,8.318494620739237,2.408334998744548,227.61501172521145
1987,7.928373771328274,8.408596651010674,2.434420953337779,243.21670060630223
1988,8.044896461058872,8.51824581271333,2.466166109853615,264.7352714998118
1989,8.155484821444672,8.616762478664109,2.4946882337938483,287.3774727482174
1990,8.22959088909268,8.710340240229215,2.5217804672515154,301.21082108010387
1991,8.260675843791892,8.75484574972887,2.534665512088565,306.7430209378438
1992,8.352465350240282,8.817756840975948,2.5528792622642045,330.16287324038507
1993,8.430176556737965,8.897522645344079,2.575972716924119,348.69717070579077
1994,8.53029426926343,8.989192628463007,2.602512618522326,375.3209965957462
1995,8.604035215245759,9.07655516453913,2.627805446468221,393.9522735258272
1996,8.69623913966937,9.146061191796571,2.6479285343224164,423.3971406396514
1997,8.800373271832802,9.223447164326762,2.6703329902430455,459.45466787162513
1998,8.89925671028849,9.293605525763363,2.6906449390998834,497.01080742821705
1999,9.006849183071356,9.370088675900941,2.7127880137412173,541.347374227837
2000,9.109184470993059,9.464455874862141,2.7401088017387396,583.5182157117412
2001,9.150467205052204,9.537306074885624,2.7612000801949015,595.4200511921306
2002,9.1996145584689355,9.595992582372574,2.7781907469415663,614.8779614983775
2003,9.274315049289621,9.651064747262879,2.794135004671959,652.0883406987205
2004,9.376360494220078,9.80153060697741,2.8376972370935856,691.3617871284121
2005,9.475715483905423,9.95700261919311,2.882708829384672,729.9723483998889
2006,9.561018614852406,10.088745592794526,2.920850491864316,765.223633889878
2007,9.627427814621278,10.170460357079513,2.9445082010670185,798.6474533634157
2008,9.64878564405358,10.276490220005645,2.975205513674573,791.2232221165674
2009,9.6027243561327,10.224773637445255,2.9602327497943,767.0036854217219
2010,9.667996584826897,10.277991020866697,2.9756400191235284,806.2199254955968
2011,9.71945654532651,10.362482056562797,3.000101502555853,828.2831319801193
2012,9.783184397029931,10.449600584334954,3.025323686260786,860.7987271890278
2013,9.84196712772533,10.541791879518346,3.0520145158991445,888.8714388383358
2014,9.909088935042758,10.64257051627293,3.0811915159559478,923.2475675664122
2015,9.976379919288007,10.69065001901062,3.0951112880354694,973.8610470047562
2016,10.021899836656258,10.758875724013139,3.1148637024641492,999.2811137326112
2017,10.088211531897652,10.845723032566045,3.140007363940262,1041.2780875523085
2018,10.169333211612507,10.938920290276146,3.1669894355485866,1099.2064353905807
2019,10.236720315352105,11.032004833037075,3.1939388744067148,1144.5667280723007
2020,10.20618225818492,11.091083826972811,3.2110431721520447,1091.3154539146851
2021,10.368413482135972,11.311300857559456,3.27479946535913,1204.252133049586
2022,10.486902211187676,11.534240107318238,3.3393438838226976,1270.9988003996575
2023,10.579184054087095,11.60387355541833,3.359503862014498,1366.052116546751
