window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,5,2,TRUE,98,30,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,839.9263554360724,10,-1609.7773703487012,-1633.9015123707989,TRUE,computed,-1609.7773703487012,-1633.9015123707989,Q2,ortho
full,none,1,2,99,5,2,TRUE,98,30,TRUE,NA,856.0704098937109,20,-1571.9901387405343,-1620.2384227847301,TRUE,computed,-1571.9901387405343,-1620.2384227847301,Q2,ortho
full,none,1,3,99,5,2,TRUE,98,30,TRUE,NA,864.2705532893922,30,-1518.3150850084533,-1590.6875110747467,TRUE,computed,-1518.3150850084533,-1590.6875110747467,Q2,ortho
full,none,1,4,99,5,2,TRUE,98,30,TRUE,NA,866.9719549879117,40,-1453.6425478820486,-1550.1391159704397,TRUE,computed,-1453.6425478820486,-1550.1391159704397,Q2,ortho
full,none,2,0,99,5,3,TRUE,97,35,TRUE,NA,NA,25,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,2,1,99,5,3,TRUE,97,35,TRUE,NA,847.119318385645,35,-1448.974944939237,-1533.4094420165793,TRUE,computed,-1448.974944939237,-1533.4094420165793,Q2,ortho
full,none,2,2,99,5,3,TRUE,97,35,TRUE,NA,860.5752991141475,45,-1405.8115658727984,-1514.3702049722383,TRUE,computed,-1405.8115658727984,-1514.3702049722383,Q2,ortho
full,none,2,3,99,5,3,TRUE,97,35,TRUE,NA,869.4541492595013,55,-1353.4939256400623,-1486.1767067616001,TRUE,computed,-1353.4939256400623,-1486.1767067616001,Q2,ortho
full,none,2,4,99,5,3,TRUE,97,35,TRUE,NA,871.0679579898518,65,-1286.6462025773196,-1443.4531257209553,TRUE,computed,-1286.6462025773196,-1443.4531257209553,Q2,ortho
full,none,3,0,99,5,4,TRUE,96,40,TRUE,NA,NA,50,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,3,1,99,5,4,TRUE,96,40,TRUE,NA,862.1353958256128,60,-1303.8187485105636,-1448.5636006431503,TRUE,computed,-1303.8187485105636,-1448.5636006431503,Q2,ortho
full,none,3,2,99,5,4,TRUE,96,40,TRUE,NA,874.407886024799,70,-1258.2883883854925,-1427.1573825401767,TRUE,computed,-1258.2883883854925,-1427.1573825401767,Q2,ortho
full,none,3,3,99,5,4,TRUE,96,40,TRUE,NA,880.7126487784436,80,-1200.8225733693378,-1393.8157095461202,TRUE,computed,-1200.8225733693378,-1393.8157095461202,Q2,ortho
full,none,3,4,99,5,4,TRUE,96,40,TRUE,NA,883.5928424203858,90,-1136.5076201297784,-1353.6248983286584,TRUE,computed,-1136.5076201297784,-1353.6248983286584,Q2,ortho
full,none,4,0,99,5,5,TRUE,95,45,TRUE,NA,NA,75,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,4,1,99,5,5,TRUE,95,45,TRUE,NA,877.1493290482783,85,-1158.6582636472854,-1363.7134708351166,TRUE,computed,-1158.6582636472854,-1363.7134708351166,Q2,ortho
full,none,4,2,99,5,5,TRUE,95,45,TRUE,NA,888.5129037429043,95,-1111.3100725130935,-1340.4894217230226,TRUE,computed,-1111.3100725130935,-1340.4894217230226,Q2,ortho
full,none,4,3,99,5,5,TRUE,95,45,TRUE,NA,892.3116873531684,105,-1048.832299210178,-1302.1357904422048,TRUE,computed,-1048.832299210178,-1302.1357904422048,Q2,ortho
full,none,4,4,99,5,5,TRUE,95,45,TRUE,NA,894.2893037437785,115,-982.7121914679547,-1260.139824722079,TRUE,computed,-982.7121914679547,-1260.139824722079,Q2,ortho
full,none,5,0,99,5,6,TRUE,94,50,TRUE,NA,NA,100,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,5,1,99,5,6,TRUE,94,50,TRUE,NA,900.8889330778331,110,-1030.949120397786,-1296.3146826408615,TRUE,computed,-1030.949120397786,-1296.3146826408615,Q2,ortho
full,none,5,2,99,5,6,TRUE,94,50,TRUE,NA,911.4829482324002,120,-982.0618101834763,-1271.5515144486496,TRUE,computed,-982.0618101834763,-1271.5515144486496,Q2,ortho
