window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,5,2,TRUE,98,30,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,842.1893113113941,10,-1614.3032820993446,-1638.4274241214423,TRUE,computed,-1614.3032820993446,-1638.4274241214423,Q2,raw
full,none,1,2,99,5,2,TRUE,98,30,TRUE,NA,858.3333657690391,20,-1576.516050491191,-1624.7643345353865,TRUE,computed,-1576.516050491191,-1624.7643345353865,Q2,raw
full,none,1,3,99,5,2,TRUE,98,30,TRUE,NA,866.5335091647156,30,-1522.8409967591,-1595.2134228253935,TRUE,computed,-1522.8409967591,-1595.2134228253935,Q2,raw
full,none,1,4,99,5,2,TRUE,98,30,TRUE,NA,869.2349108632327,40,-1458.1684596326907,-1554.6650277210817,TRUE,computed,-1458.1684596326907,-1554.6650277210817,Q2,raw
full,none,2,0,99,5,3,TRUE,97,35,TRUE,NA,NA,25,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,2,1,99,5,3,TRUE,97,35,TRUE,NA,849.3589448189524,35,-1453.454197805852,-1537.8886948831941,TRUE,computed,-1453.454197805852,-1537.8886948831941,Q2,raw
full,none,2,2,99,5,3,TRUE,97,35,TRUE,NA,862.8149255474597,45,-1410.2908187394228,-1518.8494578388627,TRUE,computed,-1410.2908187394228,-1518.8494578388627,Q2,raw
full,none,2,3,99,5,3,TRUE,97,35,TRUE,NA,871.6937756928111,55,-1357.973178506682,-1490.6559596282198,TRUE,computed,-1357.973178506682,-1490.6559596282198,Q2,raw
full,none,2,4,99,5,3,TRUE,97,35,TRUE,NA,873.307584423165,65,-1291.125455443946,-1447.9323785875818,TRUE,computed,-1291.125455443946,-1447.9323785875818,Q2,raw
full,none,3,0,99,5,4,TRUE,96,40,TRUE,NA,NA,50,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,3,1,99,5,4,TRUE,96,40,TRUE,NA,864.3516928169042,60,-1308.2513424931465,-1452.996194625733,TRUE,computed,-1308.2513424931465,-1452.996194625733,Q2,raw
full,none,3,2,99,5,4,TRUE,96,40,TRUE,NA,876.6241830160961,70,-1262.7209823680864,-1431.589976522771,TRUE,computed,-1262.7209823680864,-1431.589976522771,Q2,raw
full,none,3,3,99,5,4,TRUE,96,40,TRUE,NA,882.9289457697402,80,-1205.2551673519308,-1398.2483035287132,TRUE,computed,-1205.2551673519308,-1398.2483035287132,Q2,raw
full,none,3,4,99,5,4,TRUE,96,40,TRUE,NA,885.8091394116802,90,-1140.9402141123674,-1358.0574923112474,TRUE,computed,-1140.9402141123674,-1358.0574923112474,Q2,raw
full,none,4,0,99,5,5,TRUE,95,45,TRUE,NA,NA,75,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,4,1,99,5,5,TRUE,95,45,TRUE,NA,879.3422965975609,85,-1163.0441987458505,-1368.0994059336817,TRUE,computed,-1163.0441987458505,-1368.0994059336817,Q2,raw
full,none,4,2,99,5,5,TRUE,95,45,TRUE,NA,890.7058712921905,95,-1115.6960076116661,-1344.875356821595,TRUE,computed,-1115.6960076116661,-1344.875356821595,Q2,raw
full,none,4,3,99,5,5,TRUE,95,45,TRUE,NA,894.5046549024479,105,-1053.218234308737,-1306.5217255407638,TRUE,computed,-1053.218234308737,-1306.5217255407638,Q2,raw
full,none,4,4,99,5,5,TRUE,95,45,TRUE,NA,896.4822712930627,115,-987.098126566523,-1264.5257598206476,TRUE,computed,-987.098126566523,-1264.5257598206476,Q2,raw
full,none,5,0,99,5,6,TRUE,94,50,TRUE,NA,NA,100,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,5,1,99,5,6,TRUE,94,50,TRUE,NA,903.0585711850997,110,-1035.288396612319,-1300.6539588553946,TRUE,computed,-1035.288396612319,-1300.6539588553946,Q2,raw
full,none,5,2,99,5,6,TRUE,94,50,TRUE,NA,913.6525863396671,120,-986.4010863980101,-1275.8907906631835,TRUE,computed,-986.4010863980101,-1275.8907906631835,Q2,raw
full,none,5,3,99,5,6,TRUE,94,50,TRUE,NA,919.70231377593,130,-928.4252007470919,-1242.0390470343632,TRUE,computed,-928.4252007470919,-1242.0390470343632,Q2,raw
full,none,5,4,99,5,6,TRUE,94,50,TRUE,NA,922.3632293818008,140,-863.6716914353901,-1201.4096797447592,TRUE,computed,-863.6716914353901,-1201.4096797447592,Q2,raw
full,none,6,0,99,5,7,TRUE,93,55,TRUE,NA,NA,125,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,6,1,99,5,7,TRUE,93,55,TRUE,NA,930.1841373402085,135,-914.3511776139273,-1240.0270949122473,TRUE,computed,-914.3511776139273,-1240.0270949122473,Q2,raw
full,none,6,2,99,5,7,TRUE,93,55,TRUE,NA,938.2714341088656,145,-860.4504306277978,-1210.2504899482155,TRUE,computed,-860.4504306277978,-1210.2504899482155,Q2,raw
full,none,6,3,99,5,7,TRUE,93,55,TRUE,NA,943.5554706487619,155,-800.9431631841467,-1174.8673645266624,TRUE,computed,-800.9431631841467,-1174.8673645266624,Q2,raw
full,none,6,4,99,5,7,TRUE,93,55,TRUE,NA,946.4023287708146,165,-736.5615389048085,-1134.609882269422,TRUE,computed,-736.5615389048085,-1134.609882269422,Q2,raw
full,none,7,0,99,5,8,TRUE,92,60,TRUE,NA,NA,150,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,7,1,99,5,8,TRUE,92,60,TRUE,NA,958.2734745920337,160,-795.3415008089685,-1181.327773162533,TRUE,computed,-795.3415008089685,-1181.327773162533,Q2,raw
full,none,7,2,99,5,8,TRUE,92,60,TRUE,NA,972.1030511933698,170,-752.9253134881969,-1163.0357278638594,TRUE,computed,-752.9253134881969,-1163.0357278638594,Q2,raw
full,none,7,3,99,5,8,TRUE,92,60,TRUE,NA,980.9001154177838,180,-700.4441014135814,-1134.6786578113415,TRUE,computed,-700.4441014135814,-1134.6786578113415,Q2,raw
full,none,7,4,99,5,8,TRUE,92,60,TRUE,NA,985.2387191686954,190,-639.0459683919607,-1097.4046668118187,TRUE,computed,-639.0459683919607,-1097.4046668118187,Q2,raw
full,const,1,0,99,5,2,TRUE,98,35,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,const,1,1,99,5,2,TRUE,98,35,TRUE,NA,834.3216499936094,11,-1591.5604254114307,-1618.0969816357383,TRUE,computed,-1591.5604254114307,-1618.0969816357383,Q2,raw
full,const,1,2,99,5,2,TRUE,98,35,TRUE,NA,850.4713409516144,22,-1546.7769327516526,-1599.8500452002677,TRUE,computed,-1546.7769327516526,-1599.8500452002677,Q2,raw
full,const,1,3,99,5,2,TRUE,98,35,TRUE,NA,862.997646112465,33,-1494.7466684975657,-1574.3563371704886,TRUE,computed,-1494.7466684975657,-1574.3563371704886,Q2,raw
full,const,1,4,99,5,2,TRUE,98,35,TRUE,NA,866.8133439020713,44,-1425.2951895009905,-1531.4414143982208,TRUE,computed,-1425.2951895009905,-1531.4414143982208,Q2,raw
