window,ecdet,T,m,p_max_feasible,file,run_tag
fordism,const,49,5,3,APPX_S1_feasible_pmax_by_window_ecdet_Q2_ortho.csv,Q2_ortho
fordism,none,49,5,3,APPX_S1_feasible_pmax_by_window_ecdet_Q2_ortho.csv,Q2_ortho
full,const,99,5,7,APPX_S1_feasible_pmax_by_window_ecdet_Q2_ortho.csv,Q2_ortho
full,none,99,5,7,APPX_S1_feasible_pmax_by_window_ecdet_Q2_ortho.csv,Q2_ortho
post_fordism,const,50,5,3,APPX_S1_feasible_pmax_by_window_ecdet_Q2_ortho.csv,Q2_ortho
post_fordism,none,50,5,4,APPX_S1_feasible_pmax_by_window_ecdet_Q2_ortho.csv,Q2_ortho
fordism,const,49,5,3,APPX_S1_feasible_pmax_by_window_ecdet_Q2_raw.csv,Q2_raw
fordism,none,49,5,3,APPX_S1_feasible_pmax_by_window_ecdet_Q2_raw.csv,Q2_raw
full,const,99,5,7,APPX_S1_feasible_pmax_by_window_ecdet_Q2_raw.csv,Q2_raw
full,none,99,5,7,APPX_S1_feasible_pmax_by_window_ecdet_Q2_raw.csv,Q2_raw
post_fordism,const,50,5,3,APPX_S1_feasible_pmax_by_window_ecdet_Q2_raw.csv,Q2_raw
post_fordism,none,50,5,4,APPX_S1_feasible_pmax_by_window_ecdet_Q2_raw.csv,Q2_raw
fordism,const,49,6,2,APPX_S1_feasible_pmax_by_window_ecdet_Q3_ortho.csv,Q3_ortho
fordism,none,49,6,3,APPX_S1_feasible_pmax_by_window_ecdet_Q3_ortho.csv,Q3_ortho
full,const,99,6,7,APPX_S1_feasible_pmax_by_window_ecdet_Q3_ortho.csv,Q3_ortho
full,none,99,6,7,APPX_S1_feasible_pmax_by_window_ecdet_Q3_ortho.csv,Q3_ortho
post_fordism,const,50,6,2,APPX_S1_feasible_pmax_by_window_ecdet_Q3_ortho.csv,Q3_ortho
post_fordism,none,50,6,3,APPX_S1_feasible_pmax_by_window_ecdet_Q3_ortho.csv,Q3_ortho
fordism,const,49,6,2,APPX_S1_feasible_pmax_by_window_ecdet_Q3_raw.csv,Q3_raw
fordism,none,49,6,3,APPX_S1_feasible_pmax_by_window_ecdet_Q3_raw.csv,Q3_raw
full,const,99,6,7,APPX_S1_feasible_pmax_by_window_ecdet_Q3_raw.csv,Q3_raw
full,none,99,6,7,APPX_S1_feasible_pmax_by_window_ecdet_Q3_raw.csv,Q3_raw
post_fordism,const,50,6,2,APPX_S1_feasible_pmax_by_window_ecdet_Q3_raw.csv,Q3_raw
post_fordism,none,50,6,3,APPX_S1_feasible_pmax_by_window_ecdet_Q3_raw.csv,Q3_raw
