run_tag,window,ecdet,spec,basis,total_cells,computed,gate_fail,runtime_fail,missing,computed_comparable
Q2_ortho,fordism,const,Q2,ortho,35,12,20,0,3,0
Q2_ortho,fordism,none,Q2,ortho,35,12,20,0,3,0
Q2_ortho,full,const,Q2,ortho,35,28,0,0,7,0
Q2_ortho,full,none,Q2,ortho,35,28,0,0,7,0
Q2_ortho,post_fordism,const,Q2,ortho,35,12,20,0,3,0
Q2_ortho,post_fordism,none,Q2,ortho,35,16,15,0,4,0
Q2_raw,fordism,const,Q2,raw,35,12,20,0,3,0
Q2_raw,fordism,none,Q2,raw,35,12,20,0,3,0
Q2_raw,full,const,Q2,raw,35,28,0,0,7,0
Q2_raw,full,none,Q2,raw,35,28,0,0,7,0
Q2_raw,post_fordism,const,Q2,raw,35,12,20,0,3,0
Q2_raw,post_fordism,none,Q2,raw,35,16,15,0,4,0
Q3_ortho,fordism,const,Q3,ortho,42,10,30,0,2,0
Q3_ortho,fordism,none,Q3,ortho,42,15,24,0,3,0
Q3_ortho,full,const,Q3,ortho,42,35,0,0,7,0
Q3_ortho,full,none,Q3,ortho,42,35,0,0,7,0
Q3_ortho,post_fordism,const,Q3,ortho,42,10,30,0,2,0
Q3_ortho,post_fordism,none,Q3,ortho,42,15,24,0,3,0
Q3_raw,fordism,const,Q3,raw,42,10,30,0,2,0
Q3_raw,fordism,none,Q3,raw,42,15,24,0,3,0
Q3_raw,full,const,Q3,raw,42,35,0,0,7,0
Q3_raw,full,none,Q3,raw,42,35,0,0,7,0
Q3_raw,post_fordism,const,Q3,raw,42,10,30,0,2,0
Q3_raw,post_fordism,none,Q3,raw,42,15,24,0,3,0
