"window","ecdet","p","r_trace_10","r_trace_05","r_trace_01","r_eigen_10","r_eigen_05","r_eigen_01","ecdet_label"
"full","none",1,4,4,4,0,0,0,"No Constant"
"full","none",2,4,4,4,0,0,0,"No Constant"
"full","none",3,4,4,0,0,0,0,"No Constant"
"full","none",4,4,4,0,0,0,0,"No Constant"
"full","none",5,4,4,0,0,0,0,"No Constant"
"full","none",6,4,0,0,0,0,0,"No Constant"
"full","none",7,4,4,4,0,0,0,"No Constant"
"full","const",1,4,4,4,0,0,0,"Constant"
"full","const",2,4,4,4,0,0,0,"Constant"
"full","const",3,4,4,4,0,0,0,"Constant"
"full","const",4,4,4,4,0,0,0,"Constant"
"full","const",5,4,4,4,0,0,0,"Constant"
"full","const",6,4,4,4,0,0,0,"Constant"
"full","const",7,4,4,4,0,0,0,"Constant"
"full","trend",1,4,4,4,0,0,0,"Trend"
"full","trend",2,4,4,4,0,0,0,"Trend"
"full","trend",3,4,4,4,0,0,0,"Trend"
"full","trend",4,4,4,4,0,0,0,"Trend"
"full","trend",5,4,4,4,0,0,0,"Trend"
"full","trend",6,4,4,4,0,0,0,"Trend"
"full","trend",7,4,4,4,0,0,0,"Trend"
"ford","none",1,4,4,4,0,0,0,"No Constant"
"ford","none",2,4,4,4,0,0,0,"No Constant"
"ford","none",3,4,4,4,0,0,0,"No Constant"
"ford","none",4,4,4,4,0,0,0,"No Constant"
"ford","none",5,4,4,4,0,0,0,"No Constant"
"ford","none",6,4,4,4,0,0,0,"No Constant"
"ford","none",7,4,4,4,0,0,0,"No Constant"
"ford","const",1,4,4,4,0,0,0,"Constant"
"ford","const",2,4,4,4,0,0,0,"Constant"
"ford","const",3,4,4,4,0,0,0,"Constant"
"ford","const",4,4,4,4,0,0,0,"Constant"
"ford","const",5,4,4,4,0,0,0,"Constant"
"ford","const",6,4,4,4,0,0,0,"Constant"
"ford","const",7,4,4,4,0,0,0,"Constant"
"ford","trend",1,4,4,4,0,0,0,"Trend"
"ford","trend",2,4,4,4,0,0,0,"Trend"
"ford","trend",3,4,4,4,0,0,0,"Trend"
"ford","trend",4,4,4,4,0,0,0,"Trend"
"ford","trend",5,4,4,4,0,0,0,"Trend"
"ford","trend",6,4,4,4,0,0,0,"Trend"
"ford","trend",7,4,4,4,0,0,0,"Trend"
"post","none",1,4,4,0,0,0,0,"No Constant"
"post","none",2,4,0,0,0,0,0,"No Constant"
"post","none",3,4,4,4,0,0,0,"No Constant"
"post","none",4,4,4,4,0,0,0,"No Constant"
"post","none",5,4,4,4,0,0,0,"No Constant"
"post","none",6,4,4,4,0,0,0,"No Constant"
"post","none",7,4,4,4,0,0,0,"No Constant"
"post","const",1,4,4,4,0,0,0,"Constant"
"post","const",2,4,4,0,0,0,0,"Constant"
"post","const",3,4,4,4,0,0,0,"Constant"
"post","const",4,4,4,4,0,0,0,"Constant"
"post","const",5,4,4,4,0,0,0,"Constant"
"post","const",6,4,4,4,0,0,0,"Constant"
"post","const",7,4,4,4,0,0,0,"Constant"
"post","trend",1,4,4,4,0,0,0,"Trend"
"post","trend",2,4,4,0,0,0,0,"Trend"
"post","trend",3,4,4,4,0,0,0,"Trend"
"post","trend",4,4,4,4,0,0,0,"Trend"
"post","trend",5,4,4,4,0,0,0,"Trend"
"post","trend",6,4,4,4,0,0,0,"Trend"
"post","trend",7,4,4,4,0,0,0,"Trend"
