"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","within_window_rank","criterion","ecdet_label"
"Q3","ford","none",1,0,49,5,-19.4467152506198,25,-17.4610926495429,77.8487922021459,1,"BIC","No Constant"
"Q3","ford","const",1,0,49,5,-19.4467152506198,25,-17.4610926495429,77.8487922021459,2,"BIC","Constant"
"Q3","ford","none",1,1,49,5,-20.5208846328349,34,-17.8204378953704,111.801005502926,3,"BIC","No Constant"
"Q3","ford","const",1,1,49,5,-20.4505247637072,34,-17.7500780262427,111.871365372054,4,"BIC","Constant"
"Q3","ford","none",1,2,49,5,-21.3088339535484,41,-18.0524128877824,138.255798268987,5,"BIC","No Constant"
"Q3","full","none",1,0,99,5,-16.8183503728144,25,-15.6579665722754,98.0596458805503,1,"BIC","No Constant"
"Q3","full","const",1,0,99,5,-16.8183503728144,25,-15.6579665722754,98.0596458805503,2,"BIC","Constant"
"Q3","full","none",1,1,99,5,-17.5742804254742,34,-15.9961584567411,138.659794479102,3,"BIC","No Constant"
"Q3","full","const",1,1,99,5,-17.4880042367461,34,-15.909882268013,138.74607066783,4,"BIC","Constant"
"Q3","full","none",1,2,99,5,-17.7944379072164,41,-15.8914084743324,170.605475948302,5,"BIC","No Constant"
"Q3","post","none",1,0,50,5,-18.5912921738793,25,-16.6352806711653,79.2092829618243,1,"BIC","No Constant"
"Q3","post","const",1,0,50,5,-18.5912921738793,25,-16.6352806711653,79.2092829618243,2,"BIC","Constant"
"Q3","post","none",1,1,50,5,-19.6018062850643,34,-16.9416306413732,113.406975899493,3,"BIC","No Constant"
"Q3","post","const",1,1,50,5,-19.4452372094617,34,-16.7850615657706,113.563544975095,4,"BIC","Constant"
"Q3","post","none",1,2,50,5,-20.1195810148512,41,-16.9117221504001,140.273362207703,5,"BIC","No Constant"
