file,window,ecdet,p,r,dBIC
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,1,1,0
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,1,1,0
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,1,2,0.29021421778304557
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,const,1,1,0
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,none,1,1,0
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,1,1,0
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,1,1,0
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,1,1,0
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,1,1,0
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,1,2,0.29021421779020784
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,const,1,1,0
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,none,1,1,0
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,1,1,0
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,1,1,0
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,1,2,0
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,1,2,0
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,const,1,1,0
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,none,1,1,0
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,1,1,0
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,1,1,0
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,1,2,0
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,1,2,0
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,const,1,1,0
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,none,1,1,0
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,1,1,0
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,1,1,0
