file,window,ecdet,p,r,PIC_obs
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,1,1,-898.9508746223386
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,1,1,-910.9581508437326
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,const,1,1,-1587.03451366079
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,none,1,1,-1609.7773703487012
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,1,1,-1032.343546085903
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,1,1,-1052.542958439677
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,1,1,-901.1438421716224
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,1,1,-913.1511183930204
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,const,1,1,-1591.5604254114307
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,none,1,1,-1614.3032820993446
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,1,1,-1034.5831725192147
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,1,1,-1054.7825848729804
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,1,1,-1055.8805596628304
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,1,1,-1069.176693337181
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,const,1,1,-1785.3099191711044
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,none,1,1,-1807.4997765297317
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,1,1,-1136.2365104723049
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,1,1,-1153.531621178607
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,1,1,-1441.7319583107462
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,1,1,-1455.028091984594
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,const,1,1,-2581.641529146627
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,none,1,1,-2603.8313865051164
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,1,1,-1530.2975133466975
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,1,1,-1547.5926240531142
