file,window,ecdet,status,n
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,computed,12
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,gate_fail,20
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,missing,3
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,computed,12
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,gate_fail,20
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,missing,3
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,const,computed,28
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,const,missing,7
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,none,computed,28
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,none,missing,7
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,computed,12
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,gate_fail,20
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,missing,3
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,computed,16
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,gate_fail,15
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,missing,4
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,computed,12
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,gate_fail,20
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,missing,3
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,computed,12
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,gate_fail,20
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,missing,3
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,const,computed,28
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,const,missing,7
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,none,computed,28
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,none,missing,7
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,computed,12
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,gate_fail,20
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,missing,3
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,computed,16
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,gate_fail,15
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,missing,4
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,computed,10
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,gate_fail,30
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,missing,2
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,computed,15
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,gate_fail,24
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,missing,3
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,const,computed,35
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,const,missing,7
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,none,computed,35
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,none,missing,7
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,computed,10
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,gate_fail,30
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,missing,2
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,computed,15
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,gate_fail,24
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,missing,3
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,computed,10
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,gate_fail,30
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,missing,2
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,computed,15
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,gate_fail,24
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,missing,3
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,const,computed,35
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,const,missing,7
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,none,computed,35
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,none,missing,7
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,computed,10
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,gate_fail,30
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,missing,2
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,computed,15
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,gate_fail,24
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,missing,3
