window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,4,2,TRUE,98,25,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,1,1,99,4,2,TRUE,98,25,TRUE,NA,193.92023709264316,8,-331.7802017665314,-351.07951538420963,TRUE,computed,-331.7802017665314,-351.07951538420963,Q2,ortho
full,none,1,2,99,4,2,TRUE,98,25,TRUE,NA,202.66488055672284,16,-293.2092162759358,-331.8078435112922,TRUE,computed,-293.2092162759358,-331.8078435112922,Q2,ortho
full,none,1,3,99,4,2,TRUE,98,25,TRUE,NA,205.25718688578246,24,-242.3335565153001,-300.2314973683348,TRUE,computed,-242.3335565153001,-300.2314973683348,Q2,ortho
full,none,2,0,99,4,3,TRUE,97,30,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,2,1,99,4,3,TRUE,97,30,TRUE,NA,201.16678103429172,24,-234.15274481231862,-292.0506856653533,TRUE,computed,-234.15274481231862,-292.0506856653533,Q2,ortho
full,none,2,2,99,4,3,TRUE,97,30,TRUE,NA,210.10977856116702,32,-195.97846744731424,-273.1757219180272,TRUE,computed,-195.97846744731424,-273.1757219180272,Q2,ortho
full,none,2,3,99,4,3,TRUE,97,30,TRUE,NA,211.61617149819904,40,-142.93098090262333,-239.42754899101448,TRUE,computed,-142.93098090262333,-239.42754899101448,Q2,ortho
full,none,3,0,99,4,4,TRUE,96,35,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,none,3,1,99,4,4,TRUE,96,35,TRUE,NA,209.05503093369458,40,-137.80869977361442,-234.30526786200556,TRUE,computed,-137.80869977361442,-234.30526786200556,Q2,ortho
full,none,3,2,99,4,4,TRUE,96,35,TRUE,NA,215.1303291921891,48,-93.89902387184856,-209.6949055779179,TRUE,computed,-93.89902387184856,-209.6949055779179,Q2,ortho
full,none,3,3,99,4,4,TRUE,96,35,TRUE,NA,217.00350841933684,56,-41.58510990738904,-176.68030523113663,TRUE,computed,-41.58510990738904,-176.68030523113663,Q2,ortho
full,none,4,0,99,4,5,TRUE,95,40,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,none,4,1,99,4,5,TRUE,95,40,TRUE,NA,215.5992301344278,56,-38.77655333757099,-173.87174866131858,FALSE,computed,-38.77655333757099,-173.87174866131858,Q2,ortho
full,none,4,2,99,4,5,TRUE,95,40,TRUE,NA,220.90352360913275,64,6.675132131774092,-147.71937680965175,FALSE,computed,6.675132131774092,-147.71937680965175,Q2,ortho
full,none,4,3,99,4,5,TRUE,95,40,TRUE,NA,222.6551119158065,72,59.232227937181506,-114.46159462192253,FALSE,computed,59.232227937181506,-114.46159462192253,Q2,ortho
full,none,5,0,99,4,6,TRUE,94,45,TRUE,NA,NA,64,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,none,5,1,99,4,6,TRUE,94,45,TRUE,NA,230.96972225859096,72,42.60300725161255,-131.09081530749148,FALSE,computed,42.60300725161255,-131.09081530749148,Q2,ortho
full,none,5,2,99,4,6,TRUE,94,45,TRUE,NA,237.42910882703686,80,85.74450653347577,-107.24862964330651,FALSE,computed,85.74450653347577,-107.24862964330651,Q2,ortho
full,none,5,3,99,4,6,TRUE,94,45,TRUE,NA,239.41976035311973,88,137.82347590006498,-74.46897389439556,FALSE,computed,137.82347590006498,-74.46897389439556,Q2,ortho
full,none,6,0,99,4,7,TRUE,93,50,TRUE,NA,NA,80,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,none,6,1,99,4,7,TRUE,93,50,TRUE,NA,250.18010444224566,88,116.3027877218131,-95.98966207264743,FALSE,computed,116.3027877218131,-95.98966207264743,Q2,ortho
full,none,6,2,99,4,7,TRUE,93,50,TRUE,NA,256.5391554294379,96,159.64495816618341,-71.94680524595526,FALSE,computed,159.64495816618341,-71.94680524595526,Q2,ortho
full,none,6,3,99,4,7,TRUE,93,50,TRUE,NA,258.6227059375477,104,211.5381295687189,-39.3529474610981,FALSE,computed,211.5381295687189,-39.3529474610981,Q2,ortho
full,none,7,0,99,4,8,TRUE,92,55,TRUE,NA,NA,96,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,none,7,1,99,4,8,TRUE,92,55,TRUE,NA,269.06426902982827,104,190.6550033841578,-60.23607364565919,FALSE,computed,190.6550033841578,-60.23607364565919,Q2,ortho
full,none,7,2,99,4,8,TRUE,92,55,TRUE,NA,279.85198271805876,112,225.13984842645175,-45.05054222104343,FALSE,computed,225.13984842645175,-45.05054222104343,Q2,ortho
full,none,7,3,99,4,8,TRUE,92,55,TRUE,NA,282.250913394197,120,276.40225949293006,-13.087444772243316,FALSE,computed,276.40225949293006,-13.087444772243316,Q2,ortho
full,const,1,0,99,4,2,TRUE,98,30,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,const,1,1,99,4,2,TRUE,98,30,TRUE,NA,187.8856356814081,9,-312.7034648917169,-334.4151927116049,TRUE,computed,-312.7034648917169,-334.4151927116049,Q2,ortho
