window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,5,2,TRUE,98,30,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,9.592458915610335,10,50.89042269222301,26.76628067012523,TRUE,computed,50.89042269222301,26.76628067012523,Q2,raw
full,none,1,2,99,5,2,TRUE,98,30,TRUE,NA,25.736513373247675,20,88.67765430039202,40.42937025619645,TRUE,computed,88.67765430039202,40.42937025619645,Q2,raw
full,none,1,3,99,5,2,TRUE,98,30,TRUE,NA,33.93665676892941,30,142.3527080324722,69.98028196617886,TRUE,computed,142.3527080324722,69.98028196617886,Q2,raw
full,none,1,4,99,5,2,TRUE,98,30,TRUE,NA,36.638058467449405,40,207.02524515887592,110.52867707048479,TRUE,computed,207.02524515887592,110.52867707048479,Q2,raw
full,none,2,0,99,5,3,TRUE,97,35,TRUE,NA,NA,25,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,2,1,99,5,3,TRUE,97,35,TRUE,NA,25.34556512828027,35,194.57256157549233,110.1380644981501,TRUE,computed,194.57256157549233,110.1380644981501,Q2,raw
full,none,2,2,99,5,3,TRUE,97,35,TRUE,NA,38.80154585678352,45,237.73594064192952,129.1773015424895,TRUE,computed,237.73594064192952,129.1773015424895,Q2,raw
full,none,2,3,99,5,3,TRUE,97,35,TRUE,NA,47.6803960021351,55,290.05358087467005,157.37079975313225,TRUE,computed,290.05358087467005,157.37079975313225,Q2,raw
full,none,2,4,99,5,3,TRUE,97,35,TRUE,NA,49.29420473248729,65,356.9013039374094,200.09438079377378,TRUE,computed,356.9013039374094,200.09438079377378,Q2,raw
full,none,3,0,99,5,4,TRUE,96,40,TRUE,NA,NA,50,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,3,1,99,5,4,TRUE,96,40,TRUE,NA,48.92178583134498,60,322.6084714779721,177.86361934538542,TRUE,computed,322.6084714779721,177.86361934538542,Q2,raw
full,none,3,2,99,5,4,TRUE,96,40,TRUE,NA,61.19427603053202,70,368.1388316030417,199.26983744835724,TRUE,computed,368.1388316030417,199.26983744835724,Q2,raw
full,none,3,3,99,5,4,TRUE,96,40,TRUE,NA,67.49903878417624,80,425.604646619197,232.61151044241473,TRUE,computed,425.604646619197,232.61151044241473,Q2,raw
full,none,3,4,99,5,4,TRUE,96,40,TRUE,NA,70.379232426119,90,489.9195998587551,272.802321659875,TRUE,computed,489.9195998587551,272.802321659875,Q2,raw
full,none,4,0,99,5,5,TRUE,95,45,TRUE,NA,NA,75,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,4,1,99,5,5,TRUE,95,45,TRUE,NA,72.49586231710913,85,450.64866981505304,245.59346262722187,TRUE,computed,450.64866981505304,245.59346262722187,Q2,raw
full,none,4,2,99,5,5,TRUE,95,45,TRUE,NA,83.85943701173373,95,497.99686094924755,268.81751173931855,TRUE,computed,497.99686094924755,268.81751173931855,Q2,raw
full,none,4,3,99,5,5,TRUE,95,45,TRUE,NA,87.65822062199757,105,560.4746342521635,307.1711430201368,TRUE,computed,560.4746342521635,307.1711430201368,Q2,raw
full,none,4,4,99,5,5,TRUE,95,45,TRUE,NA,89.63583701261041,115,626.5947419943816,349.16710874025705,TRUE,computed,626.5947419943816,349.16710874025705,Q2,raw
full,none,5,0,99,5,6,TRUE,94,50,TRUE,NA,NA,100,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,5,1,99,5,6,TRUE,94,50,TRUE,NA,104.7956096097617,110,561.2375265383571,295.8719642952815,TRUE,computed,561.2375265383571,295.8719642952815,Q2,raw
full,none,5,2,99,5,6,TRUE,94,50,TRUE,NA,115.38962476433,120,610.1248367526641,320.63513248749075,TRUE,computed,610.1248367526641,320.63513248749075,Q2,raw
full,none,5,3,99,5,6,TRUE,94,50,TRUE,NA,121.43935220058901,130,668.10072240359,354.4868761163187,TRUE,computed,668.10072240359,354.4868761163187,Q2,raw
full,none,5,4,99,5,6,TRUE,94,50,TRUE,NA,124.10026780646432,140,732.8542317152828,395.1162434059139,TRUE,computed,732.8542317152828,395.1162434059139,Q2,raw
full,none,6,0,99,5,7,TRUE,93,55,TRUE,NA,NA,125,NA,NA,TRUE,missing,NA,NA,Q2,raw
full,none,6,1,99,5,7,TRUE,93,55,TRUE,NA,140.5046484699812,135,665.0078001265273,339.3318828282072,TRUE,computed,665.0078001265273,339.3318828282072,Q2,raw
