"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC"
"Q3","full","none",1,0,99,5,-16.8183503728144,25,-15.6579665722754,98.0596458805503
"Q3","full","none",1,1,99,5,-17.5742804254742,34,-15.9961584567411,138.659794479102
"Q3","full","none",1,2,99,5,-17.7944379072164,41,-15.8914084743324,170.605475948302
"Q3","full","none",1,3,99,5,-17.9509638727115,46,-15.8158576797197,193.42454923348
"Q3","full","none",1,4,99,5,-18.0032448167237,49,-15.7288925676671,207.157627839871
"Q3","full","none",2,0,99,5,-17.2574081930455,50,-14.9366405919675,212.498584313684
"Q3","full","none",2,1,99,5,-17.8738981852922,59,-15.13539241602,253.238172972649
"Q3","full","none",2,2,99,5,-18.2289652654559,66,-15.1655520320329,285.048944843427
"Q3","full","none",2,3,99,5,-18.4118015821737,71,-15.1163115886428,307.841707777382
"Q3","full","none",2,4,99,5,-18.4433811889745,74,-15.0086451393789,321.595487720985
"Q3","full","none",3,0,99,5,-17.6928452002388,75,-14.2116937986217,326.941143559855
"Q3","full","none",3,1,99,5,-18.3029725467022,84,-14.4040829768911,367.687094864603
"Q3","full","none",3,2,99,5,-18.5884754561036,91,-14.3646784221415,399.567430906144
"Q3","full","none",3,3,99,5,-18.7216746870913,96,-14.2658008930214,422.409830925829
"Q3","full","none",3,4,99,5,-18.7584158501063,99,-14.1632959999717,436.158449313218
"Q3","full","none",4,0,99,5,-18.1051343141511,100,-13.4635991119949,441.406850699308
"Q3","full","none",4,1,99,5,-18.7258677008345,109,-13.6665943304843,482.142195963836
"Q3","full","none",4,2,99,5,-19.0413019960208,116,-13.6571211615197,513.992600619592
"Q3","full","none",4,3,99,5,-19.1777193710175,121,-13.5614617764086,536.831782495268
"Q3","full","none",4,4,99,5,-19.2220899941992,124,-13.4665863435256,550.57277142249
"Q3","full","none",5,0,99,5,-18.7771327089586,125,-12.9752137062634,555.612848557865
"Q3","full","none",5,1,99,5,-19.5394464836044,134,-13.3197893127151,596.206613434431
"Q3","full","none",5,2,99,5,-19.8030951626736,141,-13.2585305276335,628.108803706304
"Q3","full","none",5,3,99,5,-19.970929213607,146,-13.1942878184591,650.916568906043
"Q3","full","none",5,4,99,5,-20.0035065446943,149,-13.0876190934817,664.66935112536
"Q3","full","none",6,0,99,5,-19.75303186532,150,-12.7907290620857,669.514945654868
"Q3","full","none",6,1,99,5,-20.2992275374339,159,-12.9191865660056,710.324828633966
"Q3","full","none",6,2,99,5,-20.5479746602943,166,-12.8430262247151,742.241920462048
"Q3","full","none",6,3,99,5,-20.6518043651542,171,-12.7147791694671,765.113690007861
"Q3","full","none",6,4,99,5,-20.6947281676384,174,-12.6184569158867,778.85612575578
"Q3","full","none",7,0,99,5,-20.245578026263,175,-12.1228914224897,783.90039574729
"Q3","full","none",7,1,99,5,-21.0971250170347,184,-12.5567002450674,824.40492740773
"Q3","full","none",7,2,99,5,-21.4726157649805,191,-12.6072835288622,856.195275610726
"Q3","full","none",7,3,99,5,-21.7041877726059,196,-12.6067787763799,878.939302853774
"Q3","full","none",7,4,99,5,-21.7649751679146,199,-12.5283201156239,892.663875008869
"Q3","full","const",1,0,99,5,-16.8183503728144,25,-15.6579665722754,98.0596458805503
"Q3","full","const",1,1,99,5,-17.4880042367461,34,-15.909882268013,138.74607066783
"Q3","full","const",1,2,99,5,-17.725101481821,41,-15.8220720489369,170.674812373697
"Q3","full","const",1,3,99,5,-17.9027303598047,46,-15.7676241668128,193.472782746386
"Q3","full","const",1,4,99,5,-17.973001502847,49,-15.6986492537905,207.187871153748
"Q3","full","const",2,0,99,5,-17.2574081930455,50,-14.9366405919675,212.498584313684
"Q3","full","const",2,1,99,5,-17.7793115028996,59,-15.0408057336274,253.332759655041
"Q3","full","const",2,2,99,5,-18.1369442956002,66,-15.0735310621771,285.140965813283
"Q3","full","const",2,3,99,5,-18.3603257801134,71,-15.0648357865825,307.893183579443
"Q3","full","const",2,4,99,5,-18.4226534392917,74,-14.9879173896961,321.616215470668
"Q3","full","const",3,0,99,5,-17.6928452002388,75,-14.2116937986217,326.941143559855
"Q3","full","const",3,1,99,5,-18.1923875377925,84,-14.2934979679813,367.797679873513
"Q3","full","const",3,2,99,5,-18.5097805350781,91,-14.285983501116,399.64612582717
"Q3","full","const",3,3,99,5,-18.6687068593619,96,-14.212833065292,422.462798753559
"Q3","full","const",3,4,99,5,-18.7339169203278,99,-14.1387970701933,436.182948242997
"Q3","full","const",4,0,99,5,-18.1051343141511,100,-13.4635991119949,441.406850699308
"Q3","full","const",4,1,99,5,-18.647337777129,109,-13.5880644067788,482.220725887541
"Q3","full","const",4,2,99,5,-18.9648616003568,116,-13.5806807658557,514.069041015256
"Q3","full","const",4,3,99,5,-19.1348448279472,121,-13.5185872333383,536.874657038338
"Q3","full","const",4,4,99,5,-19.203154195584,124,-13.4476505449104,550.591707221105
"Q3","full","const",5,0,99,5,-18.7771327089586,125,-12.9752137062634,555.612848557865
"Q3","full","const",5,1,99,5,-19.4558830062349,134,-13.2362258353456,596.2901769118
"Q3","full","const",5,2,99,5,-19.7209649297752,141,-13.1764002947351,628.190933939202
"Q3","full","const",5,3,99,5,-19.8946479478463,146,-13.1180065526983,650.992850171804
"Q3","full","const",5,4,99,5,-19.9830133833828,149,-13.0671259321702,664.689844286671
"Q3","full","const",6,0,99,5,-19.75303186532,150,-12.7907290620857,669.514945654868
"Q3","full","const",6,1,99,5,-20.1465338070487,159,-12.7664928356205,710.477522364351
"Q3","full","const",6,2,99,5,-20.3954179672407,166,-12.6904695316615,742.394477155101
"Q3","full","const",6,3,99,5,-20.5681384711161,171,-12.631113275429,765.197355901899
"Q3","full","const",6,4,99,5,-20.6666659781887,174,-12.590394726437,778.88418794523
"Q3","full","const",7,0,99,5,-20.245578026263,175,-12.1228914224897,783.90039574729
"Q3","full","const",7,1,99,5,-20.8307776360256,184,-12.2903528640582,824.671274788739
"Q3","full","const",7,2,99,5,-21.306189559191,191,-12.4408573230727,856.361701816516
"Q3","full","const",7,3,99,5,-21.620757469544,196,-12.5233484733179,879.022733156836
"Q3","full","const",7,4,99,5,-21.7432497401915,199,-12.5065946879007,892.685600436592
"Q3","ford","none",1,0,49,5,-19.4467152506198,25,-17.4610926495429,77.8487922021459
"Q3","ford","none",1,1,49,5,-20.5208846328349,34,-17.8204378953704,111.801005502926
"Q3","ford","none",1,2,49,5,-21.3088339535484,41,-18.0524128877824,138.255798268987
"Q3","ford","none",1,3,49,5,-21.5983607659642,46,-17.9448151799827,157.425372947125
"Q3","ford","none",1,4,49,5,-21.7930950118822,49,-17.9012747137716,168.906099595538
"Q3","ford","none",2,0,49,5,-20.5894202444203,50,-16.6181750422666,174.001594661111
"Q3","ford","none",2,1,49,5,-21.7212859966239,59,-17.0352166580826,207.896111591903
"Q3","ford","none",2,2,49,5,-22.4563855904716,66,-17.2143419236287,234.40375408483
"Q3","ford","none",2,3,49,5,-22.9484598735091,71,-17.3092916864509,253.370781292345
"Q3","ford","none",2,4,49,5,-23.0593165979492,74,-17.1818736987617,264.935385462237
