"grid","window","ecdet","p","r0","trace_stat","eigen_stat","trace_cv_10","trace_cv_5","trace_cv_1","eigen_cv_10","eigen_cv_5","eigen_cv_1"
"unrestricted","full","none",1,0,57.1443233413825,34.1114057956098,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",1,1,23.0329175457727,17.4892869281549,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",1,2,5.54363061761785,5.18461265811943,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",1,3,0.359017959498427,0.359017959498427,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","none",2,0,56.783293930003,35.3675326986814,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",2,1,21.4157612313217,17.8859950537473,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",2,2,3.52976617757437,3.01278587406365,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",2,3,0.516980303510721,0.516980303510721,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","none",3,0,50.6445291436302,33.9088448789187,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",3,1,16.7356842647115,12.1505965169916,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",3,2,4.58508774771997,3.7463584542957,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",3,3,0.838729293424265,0.838729293424265,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","none",4,0,53.3488594192104,38.2048235070184,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",4,1,15.144035912192,10.6085869493932,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",4,2,4.53544896279875,3.50317661334641,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",4,3,1.03227234945234,1.03227234945234,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","none",5,0,50.5948862754907,33.0929998459287,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",5,1,17.501886429562,12.9187731368882,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",5,2,4.58311329267381,3.98130305216527,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",5,3,0.601810240508542,0.601810240508542,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","none",6,0,46.5317341324539,29.5510625499095,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",6,1,16.9806715825444,12.7181019743809,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",6,2,4.26256960816352,4.16710101622004,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",6,3,0.0954685919434861,0.0954685919434861,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","none",7,0,59.1920216169312,32.7637306076276,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","full","none",7,1,26.4282910093036,21.5754273764843,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","full","none",7,2,4.85286363281932,4.79786135228138,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","full","none",7,3,0.0550022805379423,0.0550022805379423,6.5,8.18,11.65,6.5,8.18,11.65
"unrestricted","full","const",1,0,70.0240876841981,34.9219673159568,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",1,1,35.1021203682412,23.6759532514762,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",1,2,11.4261671167651,7.20187577462513,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",1,3,4.22429134213994,4.22429134213994,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","full","const",2,0,69.6387218467837,35.3677923548157,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",2,1,34.270929491968,24.4033110943951,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",2,2,9.86761839757288,6.87889420596974,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",2,3,2.98872419160314,2.98872419160314,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","full","const",3,0,62.6172360417828,33.9224927984983,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",3,1,28.6947432432846,17.9864569318803,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",3,2,10.7082863114042,6.96476801907877,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",3,3,3.74351829232546,3.74351829232546,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","full","const",4,0,63.5535835576325,38.3926563853602,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",4,1,25.1609271722723,15.3291050079156,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",4,2,9.83182216435673,6.65197018601706,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",4,3,3.17985197833967,3.17985197833967,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","full","const",5,0,60.894907364444,34.0897170470534,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",5,1,26.8051903173906,13.2772136832523,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",5,2,13.5279766341383,10.0367712525452,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",5,3,3.49120538159308,3.49120538159307,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","full","const",6,0,63.7440978285112,30.1652207379066,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",6,1,33.5788770906047,17.348776117092,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",6,2,16.2301009735127,12.6485473205317,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",6,3,3.581553652981,3.581553652981,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","full","const",7,0,88.7091114999273,42.4313772238973,49.65,53.12,60.16,25.56,28.14,33.24
"unrestricted","full","const",7,1,46.27773427603,30.0541988963563,32,34.91,41.07,19.77,22,26.81
"unrestricted","full","const",7,2,16.2235353796737,13.0390776683473,17.85,19.96,24.6,13.75,15.67,20.2
"unrestricted","full","const",7,3,3.18445771132641,3.18445771132641,7.52,9.24,12.97,7.52,9.24,12.97
"unrestricted","fordism","none",1,0,67.6133285577375,41.9321307466428,45.23,48.28,55.43,24.78,27.14,32.14
"unrestricted","fordism","none",1,1,25.6811978110948,14.7475030978051,28.71,31.52,37.22,18.9,21.07,25.75
"unrestricted","fordism","none",1,2,10.9336947132896,10.7458238345223,15.66,17.95,23.52,12.91,14.9,19.19
"unrestricted","fordism","none",1,3,0.187870878767363,0.187870878767363,6.5,8.18,11.65,6.5,8.18,11.65
