window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis,source_file,PIC_min,dPIC,in_ambiguity
full,none,1,0,99,4,2,TRUE,98,25,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,1,1,99,4,2,TRUE,98,25,TRUE,NA,-288.0214656114361,8,632.1032036416271,612.803890023949,TRUE,computed,632.1032036416271,612.803890023949,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,0,TRUE
full,none,1,2,99,4,2,TRUE,98,25,TRUE,NA,-279.27682214735665,16,670.6741891322232,632.0755618968667,TRUE,computed,670.6741891322232,632.0755618968667,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,38.57098549059606,FALSE
full,none,1,3,99,4,2,TRUE,98,25,TRUE,NA,-276.6845158182969,24,721.5498488928587,663.651908039824,TRUE,computed,721.5498488928587,663.651908039824,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,89.44664525123153,FALSE
full,none,2,0,99,4,3,TRUE,97,30,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,2,1,99,4,3,TRUE,97,30,TRUE,NA,-275.8064505078898,24,719.7937182720444,661.8957774190097,TRUE,computed,719.7937182720444,661.8957774190097,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,87.69051463041728,FALSE
full,none,2,2,99,4,3,TRUE,97,30,TRUE,NA,-266.86345298101435,32,757.9679956370485,680.7707411663356,TRUE,computed,757.9679956370485,680.7707411663356,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,125.86479199542134,FALSE
full,none,2,3,99,4,3,TRUE,97,30,TRUE,NA,-265.35706004398264,40,811.01548218174,714.5189140933489,TRUE,computed,811.01548218174,714.5189140933489,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,178.91227854011288,FALSE
full,none,3,0,99,4,4,TRUE,96,35,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,3,1,99,4,4,TRUE,96,35,TRUE,NA,-262.9497294465891,40,806.200820986953,709.7042528985619,TRUE,computed,806.200820986953,709.7042528985619,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,174.09761734532583,FALSE
full,none,3,2,99,4,4,TRUE,96,35,TRUE,NA,-256.8744311880947,48,850.1104968887191,734.3146151826497,TRUE,computed,850.1104968887191,734.3146151826497,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,218.00729324709198,FALSE
full,none,3,3,99,4,4,TRUE,96,35,TRUE,NA,-255.00125196094697,56,902.4244108531784,767.3292155294309,TRUE,computed,902.4244108531784,767.3292155294309,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,270.32120721155127,FALSE
full,none,4,0,99,4,5,TRUE,95,40,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,4,1,99,4,5,TRUE,95,40,TRUE,NA,-251.43705908395827,56,895.2960250992012,760.2008297754536,FALSE,computed,895.2960250992012,760.2008297754536,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,4,2,99,4,5,TRUE,95,40,TRUE,NA,-246.1327656092527,64,940.747710568545,786.3532016271191,FALSE,computed,940.747710568545,786.3532016271191,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,4,3,99,4,5,TRUE,95,40,TRUE,NA,-244.38117730257943,72,993.3048063739534,819.6109838148493,FALSE,computed,993.3048063739534,819.6109838148493,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,5,0,99,4,6,TRUE,94,45,TRUE,NA,NA,64,NA,NA,FALSE,missing,NA,NA,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,5,1,99,4,6,TRUE,94,45,TRUE,NA,-231.09809579789732,72,966.738643364589,793.0448208054851,FALSE,computed,966.738643364589,793.0448208054851,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,5,2,99,4,6,TRUE,94,45,TRUE,NA,-224.6387092294516,80,1009.8801426464528,816.8870064696705,FALSE,computed,1009.8801426464528,816.8870064696705,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,5,3,99,4,6,TRUE,94,45,TRUE,NA,-222.64805770336875,88,1061.959112013042,849.6666622185815,FALSE,computed,1061.959112013042,849.6666622185815,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,6,0,99,4,7,TRUE,93,50,TRUE,NA,NA,80,NA,NA,FALSE,missing,NA,NA,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,6,1,99,4,7,TRUE,93,50,TRUE,NA,-206.9192424523449,88,1030.5014815109942,818.2090317165337,FALSE,computed,1030.5014815109942,818.2090317165337,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,6,2,99,4,7,TRUE,93,50,TRUE,NA,-200.5601914651527,96,1073.8436519553647,842.251888543226,FALSE,computed,1073.8436519553647,842.251888543226,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
full,none,6,3,99,4,7,TRUE,93,50,TRUE,NA,-198.4766409570429,104,1125.7368233579,874.8457463280831,FALSE,computed,1125.7368233579,874.8457463280831,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,NA,FALSE
