"year","ECT","series","window_tag","window_start","window_end"
1947,0.653607654857143,"p=1","shaikh_window",1947,2011
1948,0.680950843725397,"p=1","shaikh_window",1947,2011
1949,0.619985592597923,"p=1","shaikh_window",1947,2011
1950,0.619038583714356,"p=1","shaikh_window",1947,2011
1951,0.654297556597159,"p=1","shaikh_window",1947,2011
1952,0.627769231368855,"p=1","shaikh_window",1947,2011
1953,0.631207561783729,"p=1","shaikh_window",1947,2011
1954,0.574848729926273,"p=1","shaikh_window",1947,2011
1955,0.591751698197163,"p=1","shaikh_window",1947,2011
1956,0.549058711173664,"p=1","shaikh_window",1947,2011
1957,0.515105986161093,"p=1","shaikh_window",1947,2011
1958,0.460999833970217,"p=1","shaikh_window",1947,2011
1959,0.520965860673101,"p=1","shaikh_window",1947,2011
1960,0.532833679836049,"p=1","shaikh_window",1947,2011
1961,0.525164227542832,"p=1","shaikh_window",1947,2011
1962,0.570177211795525,"p=1","shaikh_window",1947,2011
1963,0.591877397274112,"p=1","shaikh_window",1947,2011
1964,0.609453378687041,"p=1","shaikh_window",1947,2011
1965,0.633060591525079,"p=1","shaikh_window",1947,2011
1966,0.639276340124302,"p=1","shaikh_window",1947,2011
1967,0.609352163084868,"p=1","shaikh_window",1947,2011
1968,0.612272239998821,"p=1","shaikh_window",1947,2011
1969,0.597308716679479,"p=1","shaikh_window",1947,2011
1970,0.533081334615406,"p=1","shaikh_window",1947,2011
1971,0.51137851383667,"p=1","shaikh_window",1947,2011
1972,0.528105235204918,"p=1","shaikh_window",1947,2011
1973,0.520869887611746,"p=1","shaikh_window",1947,2011
1974,0.401109466822079,"p=1","shaikh_window",1947,2011
1975,0.365031030699555,"p=1","shaikh_window",1947,2011
1976,0.38360190616832,"p=1","shaikh_window",1947,2011
1977,0.395200056517553,"p=1","shaikh_window",1947,2011
1978,0.399756015526875,"p=1","shaikh_window",1947,2011
1979,0.365940865358094,"p=1","shaikh_window",1947,2011
1980,0.305188012470272,"p=1","shaikh_window",1947,2011
1981,0.302703988458659,"p=1","shaikh_window",1947,2011
1982,0.273439667401942,"p=1","shaikh_window",1947,2011
1983,0.305936193884254,"p=1","shaikh_window",1947,2011
1984,0.359345719438301,"p=1","shaikh_window",1947,2011
1985,0.368533425792813,"p=1","shaikh_window",1947,2011
1986,0.363473461853961,"p=1","shaikh_window",1947,2011
1987,0.378419589462184,"p=1","shaikh_window",1947,2011
1988,0.396229295483432,"p=1","shaikh_window",1947,2011
1989,0.387683900730942,"p=1","shaikh_window",1947,2011
1990,0.374233800589473,"p=1","shaikh_window",1947,2011
1991,0.370304263650484,"p=1","shaikh_window",1947,2011
1992,0.37564871943628,"p=1","shaikh_window",1947,2011
1993,0.371828336468364,"p=1","shaikh_window",1947,2011
1994,0.38761669462849,"p=1","shaikh_window",1947,2011
1995,0.395254036855744,"p=1","shaikh_window",1947,2011
1996,0.402162682306419,"p=1","shaikh_window",1947,2011
1997,0.418991561890254,"p=1","shaikh_window",1947,2011
1998,0.423156575888218,"p=1","shaikh_window",1947,2011
1999,0.430644476327349,"p=1","shaikh_window",1947,2011
2000,0.4326135755241,"p=1","shaikh_window",1947,2011
2001,0.382837131116386,"p=1","shaikh_window",1947,2011
2002,0.353537585053043,"p=1","shaikh_window",1947,2011
2003,0.352135079712943,"p=1","shaikh_window",1947,2011
2004,0.341057173332431,"p=1","shaikh_window",1947,2011
2005,0.330687573565856,"p=1","shaikh_window",1947,2011
2006,0.315457652692843,"p=1","shaikh_window",1947,2011
2007,0.283463747260923,"p=1","shaikh_window",1947,2011
2008,0.205967569936171,"p=1","shaikh_window",1947,2011
2009,0.199000244546989,"p=1","shaikh_window",1947,2011
2010,0.223851340505706,"p=1","shaikh_window",1947,2011
2011,0.232516949555655,"p=1","shaikh_window",1947,2011
