"p","q_tag","r","best_BIC","best_AIC"
1,"E_only",0,-883.722963831174,-908.239579045189
1,"E_only",1,-844.374803954255,-879.106675507443
1,"E_only",2,-837.791762693707,-878.652788050398
1,"E_short",0,-859.464656224167,-896.239579045189
1,"E_short",1,-856.769038971802,-903.759218131997
1,"E_short",2,-850.031631722892,-903.15096468659
1,"K_only",0,-883.722963831174,-908.239579045189
1,"K_only",1,-848.83226304782,-883.564134601007
1,"K_only",2,-842.331756082646,-883.192781439337
1,"K_short",0,-859.464656224167,-896.239579045189
1,"K_short",1,-856.769038971802,-903.759218131997
1,"K_short",2,-850.031631722892,-903.15096468659
1,"Y_only",0,-883.722963831174,-908.239579045189
1,"Y_only",1,-853.64059429484,-888.372465848027
1,"Y_only",2,-843.244807859749,-884.10583321644
1,"Y_short",0,-859.464656224167,-896.239579045189
1,"Y_short",1,-856.769038971802,-903.759218131997
1,"Y_short",2,-850.031631722892,-903.15096468659
1,"sym",0,-859.464656224167,-896.239579045189
1,"sym",1,-856.769038971802,-903.759218131997
1,"sym",2,-850.031631722892,-903.15096468659
2,"E_only",0,-881.426858695914,-912.072627713432
2,"E_only",1,-832.023463239295,-872.884488595986
2,"E_only",2,-824.107952430713,-871.098131590907
2,"E_short",0,-845.039397285403,-894.072627713432
2,"E_short",1,-844.517186045051,-903.765672812253
2,"E_short",2,-837.65308502532,-903.030725596026
2,"K_only",0,-881.426858695914,-912.072627713432
2,"K_only",1,-821.272072666613,-862.133098023304
2,"K_only",2,-817.797399323431,-864.787578483626
2,"K_short",0,-845.039397285403,-894.072627713432
2,"K_short",1,-839.622105208476,-898.870591975677
2,"K_short",2,-832.218412332909,-897.596052903614
2,"Y_only",0,-881.426858695914,-912.072627713432
2,"Y_only",1,-836.237014058373,-877.098039415064
2,"Y_only",2,-827.672082928433,-874.662262088628
2,"Y_short",0,-845.039397285403,-894.072627713432
2,"Y_short",1,-847.975228235387,-907.223715002589
2,"Y_short",2,-842.730160846272,-908.107801416977
2,"sym",0,-832.910243481899,-888.072627713432
2,"sym",1,-837.3640084384,-902.741649009105
2,"sym",2,-831.220940945458,-902.727735319667
3,"E_only",0,-891.451938449432,-928.226861270454
3,"E_only",1,-822.63628885022,-869.626468010414
3,"E_only",2,-815.466706909217,-868.586039872915
3,"E_short",0,-842.935323235418,-904.226861270454
3,"E_short",1,-830.32587053785,-901.83266491206
3,"E_short",2,-828.959603568074,-906.595551745787
3,"K_only",0,-891.451938449432,-928.226861270454
3,"K_only",1,-805.485359272461,-852.475538432655
3,"K_only",2,-803.617524561248,-856.736857524946
3,"K_short",0,-842.935323235418,-904.226861270454
3,"K_short",1,-818.679759365927,-890.186553740136
3,"K_short",2,-812.599762682757,-890.23571086047
3,"Y_only",0,-891.451938449432,-928.226861270454
3,"Y_only",1,-825.762539017555,-872.75271817775
3,"Y_only",2,-817.16327047918,-870.282603442878
3,"Y_short",0,-842.935323235418,-904.226861270454
3,"Y_short",1,-827.026780717731,-898.53357509194
3,"Y_short",2,-825.266038843913,-902.901987021626
3,"sym",0,-818.67701562841,-892.226861270454
3,"sym",1,-812.941181354977,-896.706283336193
3,"sym",2,-810.410360596156,-900.304616380877
4,"E_only",0,-873.094716784241,-915.998793408767
4,"E_only",1,-793.669708646604,-846.789041610302
4,"E_only",2,-787.811627672231,-847.060114439433
4,"E_short",0,-812.448947766723,-885.998793408767
4,"E_short",1,-797.987757835018,-881.752859816235
4,"E_short",2,-796.530810766349,-886.425066551069
4,"K_only",0,-873.094716784241,-915.998793408767
4,"K_only",1,-786.130466808842,-839.249799772541
4,"K_only",2,-784.861738224016,-844.110224991218
4,"K_short",0,-812.448947766723,-885.998793408767
4,"K_short",1,-787.034426578954,-870.799528560171
4,"K_short",2,-780.089251288777,-869.983507073497
4,"Y_only",0,-873.094716784241,-915.998793408767
4,"Y_only",1,-798.055189390456,-851.174522354154
4,"Y_only",2,-788.90055100007,-848.149037767271
4,"Y_short",0,-812.448947766723,-885.998793408767
4,"Y_short",1,-798.350740664257,-882.115842645473
4,"Y_short",2,-795.553604712473,-885.447860497193
4,"sym",0,-776.061486356212,-867.998793408767
4,"sym",1,-771.828943843477,-873.981507235205
4,"sym",2,-769.4038454872,-877.685562682431
5,"E_only",0,-848.280410846793,-897.313641274822
5,"E_only",1,-777.530437495837,-836.778924263039
5,"E_only",2,-771.932172266413,-837.309812837119
5,"E_short",0,-775.505488025771,-861.313641274822
5,"E_short",1,-758.281607214248,-854.305016802472
5,"E_short",2,-756.053118240316,-858.205681632043
5,"K_only",0,-848.280410846793,-897.313641274822
5,"K_only",1,-762.36589563553,-821.614382402732
5,"K_only",2,-762.453089072502,-827.830729643208
5,"K_short",0,-775.505488025771,-861.313641274822
5,"K_short",1,-755.500158468699,-851.523568056922
5,"K_short",2,-750.111953204465,-852.264516596193
5,"Y_only",0,-848.280410846793,-897.313641274822
5,"Y_only",1,-773.978789365868,-833.22727613307
5,"Y_only",2,-763.71798797348,-829.095628544185
5,"Y_short",0,-775.505488025771,-861.313641274822
5,"Y_short",1,-764.601830375428,-860.625239963652
5,"Y_short",2,-762.485694028208,-864.638257419935
5,"sym",0,-726.988872811756,-837.313641274822
5,"sym",1,-725.131037595969,-845.671062398208
5,"sym",2,-723.388313169066,-850.057491774808
6,"E_only",0,-826.783552660906,-881.945936892438
6,"E_only",1,-744.874597808806,-810.252238379511
6,"E_only",2,-743.005287241793,-814.512081616002
6,"E_short",0,-741.87947603638,-839.945936892438
6,"E_short",1,-722.091738485095,-830.373455680326
6,"E_short",2,-727.89767333374,-842.308544332475
6,"K_only",0,-826.783552660906,-881.945936892438
6,"K_only",1,-738.610459783851,-803.988100354556
6,"K_only",2,-742.678295174543,-814.185089548752
6,"K_short",0,-741.87947603638,-839.945936892438
6,"K_short",1,-710.303279716665,-818.584996911896
6,"K_short",2,-713.136358756722,-827.547229755457
6,"Y_only",0,-826.783552660906,-881.945936892438
6,"Y_only",1,-746.416410846624,-811.794051417329
6,"Y_only",2,-736.763982672861,-808.27077704707
6,"Y_short",0,-741.87947603638,-839.945936892438
6,"Y_short",1,-729.228966151176,-837.510683346407
6,"Y_short",2,-733.320770122399,-847.731641121134
6,"sym",0,-681.233707018862,-809.945936892438
6,"sym",1,-681.410102761499,-820.337588974248
6,"sym",2,-686.621836093251,-831.678476109504
7,"E_only",0,-821.739959063412,-883.031497098449
7,"E_only",1,-720.575539545764,-792.082333919973
7,"E_only",2,-721.942975192781,-799.578923370494
7,"E_short",0,-724.706728635383,-835.031497098449
7,"E_short",1,-703.42237867048,-823.962403472719
7,"E_short",2,-708.794939737168,-835.46411834291
7,"K_only",0,-821.739959063412,-883.031497098449
7,"K_only",1,-714.327014921011,-785.833809295221
7,"K_only",2,-719.064797778884,-796.700745956597
7,"K_short",0,-724.706728635383,-835.031497098449
7,"K_short",1,-680.398185794133,-800.938210596371
