"run_id","det_tag","cell_id","p","r","q_tag","relation","alpha_lnY","alpha_lnK","alpha_e","beta_lnY","beta_lnK","beta_e"
1772630511,"SR_none__LR_both","p01_sym_r1_none_both",1,1,"sym",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_sym_r2_none_both",1,2,"sym",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_sym_r2_none_both",1,2,"sym",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p01_Y_only_r1_none_both",1,1,"Y_only",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_Y_only_r2_none_both",1,2,"Y_only",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_Y_only_r2_none_both",1,2,"Y_only",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p01_K_only_r1_none_both",1,1,"K_only",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_K_only_r2_none_both",1,2,"K_only",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_K_only_r2_none_both",1,2,"K_only",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p01_E_only_r1_none_both",1,1,"E_only",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_E_only_r2_none_both",1,2,"E_only",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_E_only_r2_none_both",1,2,"E_only",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p01_Y_short_r1_none_both",1,1,"Y_short",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_Y_short_r2_none_both",1,2,"Y_short",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_Y_short_r2_none_both",1,2,"Y_short",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p01_K_short_r1_none_both",1,1,"K_short",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_K_short_r2_none_both",1,2,"K_short",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_K_short_r2_none_both",1,2,"K_short",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p01_E_short_r1_none_both",1,1,"E_short",1,0.232675753294026,0.180761782776861,0.0414428971787489,1,-0.424548961657509,0.856947133664757
1772630511,"SR_none__LR_both","p01_E_short_r2_none_both",1,2,"E_short",1,0.194691807547794,0.184215684489733,-0.055411083183389,1,-5.55111512312578e-17,2.45289047462599
1772630511,"SR_none__LR_both","p01_E_short_r2_none_both",1,2,"E_short",2,-0.123802866567075,-0.0744670882924602,-0.0813937654530984,0,1,3.75915026321207
1772630511,"SR_none__LR_both","p02_sym_r1_none_both",2,1,"sym",1,0.0477087109963014,0.0244101815554592,0.0232108461159751,1,-3.58442926348156,-12.078564222582
1772630511,"SR_none__LR_both","p02_sym_r2_none_both",2,2,"sym",1,0.205653480992186,0.12118672426874,-0.0649067307962397,1,0,2.3422767356959
1772630511,"SR_none__LR_both","p02_sym_r2_none_both",2,2,"sym",2,-0.162794603897591,-0.0824637183742715,-0.0877801784492962,0,1,4.02319027611969
