"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","spec_idx"
1,2,2,"s0",-273.307891670712,5,63,136.653945835356,-263.307891670712,-252.592218038754,-259.093364854625,-262.255260091765,-256.569163449084,-254.537764820064,3.52652052807363,0.0975595482452619,NA,NA,0.664031437437075,0.129885501225002,2.64435225510905,0.0748710880441702,0.666666666666667,TRUE,FALSE,"",31
2,2,2,"s0",-273.980050178366,6,63,136.990025089183,-261.980050178366,-249.121241820017,-256.922617999062,-260.480050178366,-256.544767759215,-254.488972422849,3.54101151236135,0.0960908786084935,NA,NA,0.69597933284284,0.0901171127249405,2.27147832238612,0.0951396309307231,0.5,TRUE,FALSE,"",32
3,2,2,"s0",-277.489248260976,7,62,138.744624130488,-263.489248260976,-248.59930756566,-257.643081883943,-261.415174186902,-259.588908874988,-257.302865015138,4.85074550794584,0.022202937530738,NA,NA,0.457802510989195,0.633804044654608,4.91463415830629,0.039788301311819,0.4,TRUE,FALSE,"",33
1,3,2,"s0",-279.418416068802,6,62,139.709208034401,-267.418416068802,-254.655609758532,-262.40741631706,-265.891143341529,-261.363642524714,-258.853582463627,6.75381572075761,0.00239621620471499,NA,NA,0.592152999229195,0.175834713261784,3.45995603609705,0.075454006429941,0.75,TRUE,FALSE,"",36
2,3,2,"s0",-279.419823680792,7,62,139.709911840396,-265.419823680792,-250.529882985477,-259.573657303759,-263.345749606718,-259.989993219771,-257.930343212141,6.36956900840289,0.00368886478984449,NA,NA,0.594777620194915,0.188380472285543,3.42918568032268,0.0762877894710412,0.6,TRUE,FALSE,"",37
3,3,2,"s0",-281.1898071261,8,62,140.59490356305,-265.1898071261,-248.172732045739,-258.508474123776,-262.472825994024,-260.863501153022,-259.034143077095,6.14082494209717,0.00476628719750611,NA,NA,0.450577344196386,0.554146215363445,5.07985730406429,0.0454935694792776,0.5,TRUE,FALSE,"",38
1,3,3,"s0",-279.418416068802,6,62,139.709208034401,-267.418416068802,-254.655609758532,-262.40741631706,-265.891143341529,-261.363642524714,-258.853582463627,4.94270124018744,0.0897610483102321,-1.19840751746192,0.759795108416929,0.592152999229195,0.175834713261784,3.45995603609705,0.075454006429941,0.75,TRUE,FALSE,"",61
2,3,3,"s0",-279.419823680792,7,62,139.709911840396,-265.419823680792,-250.529882985477,-259.573657303759,-263.345749606718,-259.989993219771,-257.930343212141,4.8385817182754,0.0963704855452877,-1.12566893389548,0.782439321699068,0.594777620194915,0.188380472285543,3.42918568032268,0.0762877894710412,0.6,TRUE,FALSE,"",62
1,2,2,"s1",-274.123629057126,6,63,137.061814528563,-262.123629057126,-249.264820698777,-257.066196877822,-260.623629057126,-253.817033690996,-251.354971663127,3.66923957318534,0.0836654133376524,NA,NA,0.787048858233066,0.105153366019557,1.5084743204831,0.112867839726624,0.666666666666667,TRUE,FALSE,"",156
1,3,2,"s1",-279.589186903877,7,62,139.794593451938,-265.589186903877,-250.699246208561,-259.743020526844,-263.515112829803,-257.835117387066,-255.112172394764,6.62168087181582,0.00280313029089016,NA,NA,0.672421544145291,0.193741985005843,2.68822870928241,0.0924166882016522,0.75,TRUE,FALSE,"",161
2,3,2,"s1",-279.61218182887,8,62,139.806090914435,-263.61218182887,-246.595106748509,-256.930848826547,-260.895200696795,-256.514207133304,-254.266434965512,6.26004133107174,0.00413077413483123,NA,NA,0.684335092410788,0.194447344492699,2.55558593719965,0.0975992968907522,0.6,TRUE,FALSE,"",162
3,3,2,"s1",-281.190613871058,9,62,140.595306935529,-263.190613871058,-244.046404405653,-255.674114243444,-259.72907540952,-257.278747944423,-255.295410360666,5.98630948500871,0.00577935987539915,NA,NA,0.43016627165602,1.01443092844711,5.29044994975711,0.0437938904016146,0.5,TRUE,FALSE,"",163
1,3,2,"s2",-279.59032594433,8,62,139.795162972165,-263.59032594433,-246.573250863969,-256.908992942007,-260.873344812255,-254.024776085214,-250.610278872658,6.09115748310626,0.0050410203023273,NA,NA,0.673343605584234,0.197849872655544,2.68511071294213,0.0920536396266444,0.75,TRUE,FALSE,"",286
1,3,2,"s3",-279.866742689917,9,62,139.933371344958,-261.866742689917,-242.722533224511,-254.350243062303,-258.405204228378,-250.539536265924,-246.54506335288,4.93350732875541,0.0203734396614479,NA,NA,0.710420493995886,0.191105255507138,2.47083376228081,0.0921028068018109,0.75,TRUE,FALSE,"",411
