"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","alpha_e","s_K","m","r","d","h","failed","error_msg","spec_idx","spec_id"
1,"d0","d0","h0",-718.580896081092,3,64,359.290448040546,-712.580896081092,-706.104246831013,-710.029416789214,-712.180896081092,-716.223637974232,NA,FALSE,TRUE,FALSE,TRUE,23.9604806316327,31.52,1.00000000000001,0.839659246179954,0.0566004636391381,0.0741873818934529,0.000905928356449871,NA,3,1,"d0","h0",FALSE,"",1,"p1_d0_h0_r1"
1,"d0","d0","h0",-726.439222278698,6,64,363.219611139349,-714.439222278698,-701.48592377854,-709.336263694942,-712.965538068172,-694.566141992679,NA,FALSE,TRUE,FALSE,TRUE,7.7380787712346,17.95,0.999999999999993,0,0.0259431868414835,0.0795948719481061,-0.185812251689834,NA,3,2,"d0","h0",FALSE,"",2,"p1_d0_h0_r2"
1,"d0","d0","h1",-727.224314325902,6,64,363.612157162951,-715.224314325902,-702.271015825744,-710.121355742146,-713.750630115376,-717.978701778837,NA,TRUE,TRUE,TRUE,TRUE,34.0886441508556,31.52,1,0.893427315723299,0.122518630603693,0.175720559282159,-0.0539702206897544,NA,3,1,"d0","h1",FALSE,"",3,"p1_d0_h1_r1"
1,"d0","d0","h1",-737.612112578097,9,64,368.806056289048,-719.612112578097,-700.18216482786,-711.957674702462,-716.278779244763,-684.318175399892,NA,FALSE,TRUE,FALSE,TRUE,9.92838517322576,17.95,1,0,-0.0184596994960518,0.158403539454872,-0.441095370237886,NA,3,2,"d0","h1",FALSE,"",4,"p1_d0_h1_r2"
1,"d0","d0","h2",-734.05271286476,12,64,367.02635643238,-710.05271286476,-684.146115864444,-699.846795697247,-703.935065805937,-709.787798571991,NA,TRUE,TRUE,TRUE,TRUE,37.4614315839455,31.52,1,0.897379525095759,0.0905392394186034,0.189731282084963,-0.104809066372899,NA,3,1,"d0","h2",FALSE,"",5,"p1_d0_h2_r1"
1,"d0","d0","h2",-750.076758693389,15,64,375.038379346695,-720.076758693389,-687.693512442994,-707.319362233997,-710.076758693389,-683.197380937493,NA,FALSE,TRUE,FALSE,TRUE,14.3906718226608,17.95,1,0,-0.0185130528379759,0.169515028733482,-0.55811213104391,NA,3,2,"d0","h2",FALSE,"",6,"p1_d0_h2_r2"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h0",TRUE,"non-conformable arguments",7,"p1_d1_h0_r1"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h0",TRUE,"non-conformable arguments",8,"p1_d1_h0_r2"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h1",TRUE,"non-conformable arguments",9,"p1_d1_h1_r1"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h1",TRUE,"non-conformable arguments",10,"p1_d1_h1_r2"
1,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h2",TRUE,"non-conformable arguments",11,"p1_d1_h2_r1"
1,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h2",TRUE,"non-conformable arguments",12,"p1_d1_h2_r2"
1,"d2","d2","h0",-728.337315473916,6,64,364.168657736958,-716.337315473916,-703.384016973758,-711.234356890159,-714.863631263389,-706.123549376823,NA,FALSE,TRUE,FALSE,TRUE,23.9604806316327,31.52,1,0.818781237015335,-0.0385327147760219,0.140863552001541,-0.226029867675476,NA,3,1,"d2","h0",FALSE,"",13,"p1_d2_h0_r1"
1,"d2","d2","h0",-736.197252231573,9,64,368.098626115786,-718.197252231573,-698.767304481336,-710.542814355938,-714.863918898239,-682.057172649273,NA,FALSE,TRUE,FALSE,TRUE,7.7380787712346,17.95,1,0,-0.0386626392832063,0.139914479338934,-0.202435433254923,NA,3,2,"d2","h0",FALSE,"",14,"p1_d2_h0_r2"
1,"d2","d2","h1",-736.465584929468,9,64,368.232792464734,-718.465584929468,-699.035637179231,-710.811147053833,-715.132251596135,-707.355480306139,NA,TRUE,TRUE,TRUE,TRUE,34.0886441508556,31.52,1,0.874664427764822,-0.0700592324188102,0.168264214205877,-0.435258513250872,NA,3,1,"d2","h1",FALSE,"",15,"p1_d2_h1_r1"
1,"d2","d2","h1",-744.720520721496,12,64,372.360260360748,-720.720520721496,-694.81392372118,-710.514603553983,-714.602873662672,-688.201066278793,NA,FALSE,TRUE,FALSE,TRUE,9.92838517322576,17.95,1,-4.44089209850063e-16,-0.0675035520388351,0.171627807446313,-0.35169237153608,NA,3,2,"d2","h1",FALSE,"",16,"p1_d2_h1_r2"
1,"d2","d2","h2",-745.676219197919,15,64,372.838109598959,-715.676219197919,-683.292972947524,-702.918822738527,-705.676219197919,-708.973048895484,NA,TRUE,TRUE,TRUE,TRUE,37.4614315839455,31.52,1,0.911121881887159,-0.041956491540577,0.148157240745385,-0.59624020595328,NA,3,1,"d2","h2",FALSE,"",17,"p1_d2_h2_r1"
1,"d2","d2","h2",-764.661793211164,18,64,382.330896605582,-728.661793211164,-689.80189771069,-713.352917459894,-713.461793211164,-694.497966482961,NA,FALSE,TRUE,FALSE,TRUE,14.3906718226608,17.95,1,0,-0.059582777820916,0.175652974694936,-0.468017234459194,NA,3,2,"d2","h2",FALSE,"",18,"p1_d2_h2_r2"
1,"d3","d3","h0",-736.157712444583,9,64,368.078856222292,-718.157712444583,-698.727764694346,-710.503274568948,-714.82437911125,-648.22276509625,NA,FALSE,TRUE,FALSE,TRUE,23.9604806316327,31.52,1,-0.85222051431561,-0.189509096509384,0.018412021695252,-0.181346910130555,NA,3,1,"d3","h0",FALSE,"",19,"p1_d3_h0_r1"
1,"d3","d3","h0",-749.647802573181,12,64,374.823901286591,-725.647802573181,-699.741205572865,-715.441885405668,-719.530155514358,-653.447858476279,NA,FALSE,TRUE,FALSE,TRUE,7.7380787712346,17.95,1,0,-0.0728214625845465,0.131772935655112,-0.271293905168708,NA,3,2,"d3","h0",FALSE,"",20,"p1_d3_h0_r2"
1,"d3","d3","h1",-738.008555768738,12,64,369.004277884369,-714.008555768738,-688.101958768422,-703.802638601224,-707.890908709914,-647.943321318303,NA,TRUE,TRUE,TRUE,TRUE,34.0886441508556,31.52,1,0.196122904229336,-0.184016375753085,0.099389966886042,-0.377783505891445,NA,3,1,"d3","h1",FALSE,"",21,"p1_d3_h1_r1"
1,"d3","d3","h1",-757.464409423883,15,64,378.732204711942,-727.464409423883,-695.081163173488,-714.707012964492,-717.464409423883,-643.272798625871,NA,FALSE,TRUE,FALSE,TRUE,9.92838517322576,17.95,1,2.77555756156289e-17,-0.0744732333391348,0.164823601846305,-0.443124413129819,NA,3,2,"d3","h1",FALSE,"",22,"p1_d3_h1_r2"
1,"d3","d3","h2",-752.151724748519,18,64,376.075862374259,-716.151724748519,-677.291829248045,-700.842848997249,-700.951724748519,-634.538605177756,NA,TRUE,TRUE,TRUE,TRUE,37.4614315839455,31.52,1,-0.0329718502999822,-0.190345103863332,0.0739201230199824,-0.63684253254678,NA,3,1,"d3","h2",FALSE,"",23,"p1_d3_h2_r1"
1,"d3","d3","h2",-770.99842408559,21,64,385.499212042795,-728.99842408559,-683.661879335037,-711.138069042442,-706.99842408559,-623.502060741428,NA,FALSE,TRUE,FALSE,TRUE,14.3906718226608,17.95,1,0,-0.125153792049489,0.104589925650088,-0.656480953401303,NA,3,2,"d3","h2",FALSE,"",24,"p1_d3_h2_r2"
2,"d0","d0","h0",-743.572857609372,12,63,371.786428804686,-719.572857609372,-693.855240892674,-709.457993250765,-713.332857609372,-710.918893581756,NA,FALSE,TRUE,FALSE,TRUE,23.9604806316327,31.52,0.999999999999999,0.849301714179911,0.0826527448837325,0.0769136914913757,0.0296338624004857,NA,3,1,"d0","h0",FALSE,"",25,"p2_d0_h0_r1"
2,"d0","d0","h0",-750.173836134695,15,63,375.086918067347,-720.173836134695,-688.026815238822,-707.530255686435,-709.961070177248,-691.510159070713,NA,FALSE,TRUE,FALSE,TRUE,7.7380787712346,17.95,1.00000000000003,-1.77635683940025e-15,0.0249202129295599,0.0803664342950867,-0.133475669022591,NA,3,2,"d0","h0",FALSE,"",26,"p2_d0_h0_r2"
2,"d0","d0","h1",-752.675746469766,15,63,376.337873234883,-722.675746469766,-690.528725573893,-710.032166021507,-712.46298051232,-708.383305718823,NA,TRUE,TRUE,TRUE,TRUE,34.0886441508556,31.52,0.999999999999999,0.894324846943041,0.17651781483812,0.21261168304169,-0.0186872108179166,NA,3,1,"d0","h1",FALSE,"",27,"p2_d0_h1_r1"
2,"d0","d0","h1",-764.071385221802,18,63,382.035692610901,-728.071385221802,-689.494960146755,-712.899088683891,-712.525930676348,-682.791253764926,NA,FALSE,TRUE,FALSE,FALSE,9.92838517322576,17.95,1.00179467962639,0,-0.030489699358353,0.184582160716988,-0.349315799983808,NA,3,2,"d0","h1",FALSE,"",28,"p2_d0_h1_r2"
2,"d0","d0","h2",-760.52409592131,21,63,380.262047960655,-718.52409592131,-673.518266667088,-700.823083293746,-695.987510555456,-691.380199999665,NA,TRUE,TRUE,TRUE,TRUE,37.4614315839455,31.52,1,0.894429589922778,0.140215990486785,0.235702777836565,-0.101421329100274,NA,3,1,"d0","h2",FALSE,"",29,"p2_d0_h2_r1"
2,"d0","d0","h2",-769.35285246207,24,63,384.676426231035,-721.35285246207,-669.917619028673,-701.123123744854,-689.773905093649,-672.518042171205,NA,FALSE,TRUE,FALSE,TRUE,14.3906718226608,17.95,1,3.5527136788005e-15,0.00161406156564784,0.204962128921009,-0.377869468407681,NA,3,2,"d0","h2",FALSE,"",30,"p2_d0_h2_r2"
2,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h0",TRUE,"non-conformable arguments",31,"p2_d1_h0_r1"
2,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h0",TRUE,"non-conformable arguments",32,"p2_d1_h0_r2"
2,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"d1","h1",TRUE,"non-conformable arguments",33,"p2_d1_h1_r1"
2,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"d1","h1",TRUE,"non-conformable arguments",34,"p2_d1_h1_r2"
