"year","ECT"
1925,-2.56566186488057
1926,-2.82044695632869
1927,-3.41752186624063
1928,-3.30441228521915
1929,-3.10245094007398
1930,-3.90614503776418
1931,-4.91676788064337
1932,-5.7162664339109
1933,-5.40114936253176
1934,-3.70554319253285
1935,-3.14418047166632
1936,-2.62366125275321
1937,-2.98122884592987
1938,-3.37949761621157
1939,-2.95276219689206
1940,-2.09015626085606
1941,-1.19732529162105
1942,-1.01203074841264
1943,-0.954806055320162
1944,-0.925734587984768
1945,-1.41364378146612
1946,-2.96145073421033
1947,-2.92255521139708
1948,-2.450649812277
1949,-2.66507219320449
1950,-2.28444302316796
1951,-2.68058032934196
1952,-3.45809087130432
1953,-3.97950208722675
1954,-4.22931265892973
1955,-3.41378568402393
1956,-4.47195492800221
1957,-5.04543635009852
1958,-5.5672747624627
1959,-4.76627950969901
1960,-5.18479384522573
1961,-5.12246887287951
1962,-4.66448333612432
1963,-4.3662655442995
1964,-4.14246892622547
1965,-3.75308588356769
1966,-4.26377553632133
1967,-5.05618364922254
1968,-5.24265970470216
1969,-6.2846087962101
1970,-7.58135805162297
1971,-7.13764954421256
1972,-7.25504541128476
1973,-7.72953741849035
