"window","ecdet","K","r_PIC","PIC_min","r_BIC","BIC_min"
"ford","const",2,1,-22.8433233124843,1,-23.0890774147211
"ford","const",3,0,-22.1798098903824,2,-22.32222446427
"ford","const",4,0,-21.230890270084,2,-21.4728474845295
"ford","const",5,1,-20.9652526198515,2,-21.3058488260246
"ford","none",2,1,-22.9095460354018,1,-23.1553001376386
"ford","none",3,1,-22.1221422381197,2,-22.3746041570169
"ford","none",4,1,-21.2725538137676,2,-21.5325901235645
"ford","none",5,1,-20.9998266224748,2,-21.3374893859654
"full","const",2,0,-21.432160129011,0,-21.432160129011
"full","const",3,0,-20.8407395613756,0,-20.8407395613756
"full","const",4,0,-20.282500032549,0,-20.282500032549
"full","const",5,0,-19.6262064796031,0,-19.6262064796031
"full","none",2,0,-21.3466726788098,1,-21.4536903243315
"full","none",3,0,-20.7488752521888,1,-20.8763343046925
"full","none",4,0,-20.1914062269762,1,-20.3038864182091
"full","none",5,1,-19.5493115400747,1,-19.6943103097216
"post","const",2,0,-22.7964722762019,0,-22.7964722762019
"post","const",3,0,-22.0616515637071,0,-22.0616515637071
"post","const",4,0,-20.9950305579495,2,-21.0518671820277
"post","const",5,0,-20.116893043037,2,-20.2685420208673
"post","none",2,0,-22.5301104106149,1,-22.7432982702816
"post","none",3,0,-21.8642526040792,1,-22.0026046044436
"post","none",4,1,-20.8292253899126,2,-21.1161640641482
"post","none",5,2,-20.03870106652,2,-20.3770710656107
