"window","ecdet","K","p","r","T","m","logdet","PIC","BIC"
"ford","const",2,1,0,47,4,-24.1472419268448,-22.8365533815818,-22.8365533815818
"ford","const",2,1,1,47,4,-24.9731921985367,-22.8433233124843,-23.0890774147211
"ford","const",2,1,2,47,4,-25.2990751770824,-22.6776980865564,-23.0053702228721
"ford","const",2,1,3,47,4,-25.5354412973004,-22.7502281386166,-22.9959822408534
"ford","const",3,2,0,46,4,-24.8432126009835,-22.1798098903824,-22.1798098903824
"ford","const",3,2,1,46,4,-25.5405327933147,-22.0448167356508,-22.2945107397696
"ford","const",3,2,2,46,4,-25.9844031913466,-21.9892991254449,-22.32222446427
"ford","const",3,2,3,46,4,-26.1529981322429,-21.9914313969286,-22.2411254010475
"ford","const",4,3,0,45,4,-25.2913302591724,-21.230890270084,-21.230890270084
"ford","const",4,3,1,45,4,-26.1048802195639,-21.1985152327488,-21.4522927320668
"ford","const",4,3,2,45,4,-26.5483974708899,-21.1344774854388,-21.4728474845295
"ford","const",4,3,3,45,4,-26.7047998646623,-21.1216948796658,-21.3754723789839
"ford","const",5,4,0,44,4,-26.3293903466156,-20.8251145154618,-20.8251145154618
"ford","const",5,4,1,44,4,-27.3295715496231,-20.9652526198515,-21.2232655494368
"ford","const",5,4,2,44,4,-27.8421763755198,-20.9618315865775,-21.3058488260246
"ford","const",5,4,3,44,4,-27.9411299171602,-20.8887765084943,-21.1467894380797
"ford","none",2,1,0,47,4,-24.0752721042036,-22.7645835589406,-22.7645835589406
"ford","none",2,1,1,47,4,-25.0394149214542,-22.9095460354018,-23.1553001376386
"ford","none",2,1,2,47,4,-25.3531915831096,-22.7318144925836,-23.0594866288994
"ford","none",2,1,3,47,4,-25.5818261327803,-22.7966129740964,-23.0423670763332
"ford","none",3,2,0,46,4,-24.7619916079678,-22.0985888973666,-22.0985888973666
"ford","none",3,2,1,46,4,-25.6178582957836,-22.1221422381197,-22.3718362422385
"ford","none",3,2,2,46,4,-26.0367828840934,-22.0416788181917,-22.3746041570169
"ford","none",3,2,3,46,4,-26.2053014188847,-22.0437346835705,-22.2934286876893
"ford","none",4,3,0,45,4,-25.2152112868076,-21.1547712977193,-21.1547712977193
"ford","none",4,3,1,45,4,-26.1789188005827,-21.2725538137676,-21.5263313130856
"ford","none",4,3,2,45,4,-26.6081401099249,-21.1942201244738,-21.5325901235645
"ford","none",4,3,3,45,4,-26.7645012452925,-21.181396260296,-21.435173759614
"ford","none",5,4,0,44,4,-26.2887610920142,-20.7844852608604,-20.7844852608604
"ford","none",5,4,1,44,4,-27.3641455522464,-20.9998266224748,-21.2578395520601
"ford","none",5,4,2,44,4,-27.8738169354606,-20.9934721465183,-21.3374893859654
"ford","none",5,4,3,44,4,-27.9709757775823,-20.9186223689165,-21.1766352985018
"full","const",2,1,0,97,4,-22.1867516306198,-21.432160129011,-21.432160129011
"full","const",2,1,1,97,4,-22.4555846408581,-21.2293734507437,-21.3708593572954
"full","const",2,1,2,97,4,-22.671185604416,-21.1620026011984,-21.3506504766006
"full","const",2,1,3,97,4,-22.7352864137166,-21.1317794727979,-21.2732653793496
"full","const",3,2,0,96,4,-22.3621889585316,-20.8407395613756,-20.8407395613756
"full","const",3,2,1,96,4,-22.6387374593221,-20.6418351255549,-20.7844710065383
"full","const",3,2,2,96,4,-22.8637111240024,-20.5815370282685,-20.771718202913
"full","const",3,2,3,96,4,-22.9225830615616,-20.5453183785054,-20.6879542594888
"full","const",4,3,0,95,4,-22.5834062514629,-20.282500032549,-20.282500032549
"full","const",4,3,1,95,4,-22.8493232373088,-20.0690615561211,-20.2128681948032
"full","const",4,3,2,95,4,-23.0120723192921,-19.9441973607402,-20.1359395456497
"full","const",4,3,3,95,4,-23.0771054299193,-19.9133593789126,-20.0571660175947
"full","const",5,4,0,94,4,-22.719513565404,-19.6262064796031,-19.6262064796031
"full","const",5,4,1,94,4,-23.045571381346,-19.4689350633887,-19.6139338330357
"full","const",5,4,2,94,4,-23.1887993079123,-19.3221654506613,-19.5154971435238
"full","const",5,4,3,94,4,-23.2535423932595,-19.2902426895771,-19.4352414592241
"full","none",2,1,0,97,4,-22.1012641804186,-21.3466726788098,-21.3466726788098
"full","none",2,1,1,97,4,-22.5384156078941,-21.3122044177798,-21.4536903243315
"full","none",2,1,2,97,4,-22.7187175349885,-21.2095345317709,-21.3981824071731
"full","none",2,1,3,97,4,-22.7721671500208,-21.168660209102,-21.3101461156537
"full","none",3,2,0,96,4,-22.2703246493448,-20.7488752521888,-20.7488752521888
"full","none",3,2,1,96,4,-22.7306007574763,-20.7336984237091,-20.8763343046925
"full","none",3,2,2,96,4,-22.9169132059528,-20.6347391102189,-20.8249202848634
"full","none",3,2,3,96,4,-22.948296392141,-20.5710317090848,-20.7136675900682
"full","none",4,3,0,95,4,-22.4923124458901,-20.1914062269762,-20.1914062269762
"full","none",4,3,1,95,4,-22.9403414607147,-20.160079779527,-20.3038864182091
"full","none",4,3,2,95,4,-23.068242476683,-20.0003675181311,-20.1921097030406
"full","none",4,3,3,95,4,-23.1076778288335,-19.9439317778268,-20.0877384165089
"full","none",5,4,0,94,4,-22.6378451584521,-19.5445380726512,-19.5445380726512
"full","none",5,4,1,94,4,-23.125947858032,-19.5493115400747,-19.6943103097216
"full","none",5,4,2,94,4,-23.2388051660044,-19.3721713087533,-19.5655030016159
"full","none",5,4,3,94,4,-23.2760730023166,-19.3127732986343,-19.4577720682812
"post","const",2,1,0,48,4,-24.0868726131712,-22.7964722762019,-22.7964722762019
"post","const",2,1,1,48,4,-24.4574841602141,-22.360583612639,-22.6025336758208
"post","const",2,1,2,48,4,-24.8554231116136,-22.274622437675,-22.5972225219173
"post","const",2,1,3,48,4,-25.1265903344524,-22.3844896183927,-22.6264396815744
"post","const",3,2,0,47,4,-24.6830286542331,-22.0616515637071,-22.0616515637071
"post","const",3,2,1,47,4,-25.0468455251192,-21.6062880938038,-21.8520421960406
"post","const",3,2,2,47,4,-25.3742472802883,-21.4421816444993,-21.7698537808151
"post","const",3,2,3,47,4,-25.5637472128057,-21.4678455088588,-21.7135996110956
"post","const",4,3,0,46,4,-24.9901346238512,-20.9950305579495,-20.9950305579495
"post","const",4,3,1,46,4,-25.5550160042596,-20.7275985912951,-20.977292595414
"post","const",4,3,2,46,4,-26.0457472644048,-20.7189418432026,-21.0518671820277
"post","const",4,3,3,46,4,-26.2030759761838,-20.7098078855691,-20.9595018896879
"post","const",5,4,0,45,4,-25.5308130284881,-20.116893043037,-20.116893043037
"post","const",5,4,1,45,4,-26.120876443139,-19.8610314599611,-20.1148089592791
"post","const",5,4,2,45,4,-26.6975720035905,-19.9301720217766,-20.2685420208673
"post","const",5,4,3,45,4,-26.8458538696089,-19.9092688882497,-20.1630463875677
"post","none",2,1,0,48,4,-23.8205107475842,-22.5301104106149,-22.5301104106149
"post","none",2,1,1,48,4,-24.5982487546749,-22.5013482070998,-22.7432982702816
"post","none",2,1,2,48,4,-24.9020329071375,-22.3212322331989,-22.6438323174412
"post","none",2,1,3,48,4,-25.1707739857981,-22.4286732697384,-22.6706233329201
"post","none",3,2,0,47,4,-24.4856296946051,-21.8642526040792,-21.8642526040792
