"window","ecdet","K","p","r_base","T","m.x","logdet_base","PIC_base","BIC_base","rank_in_pic.x","r_alt","logdet_alt","PIC_alt","BIC_alt","rank_in_pic.y","n","m.y","r_trace_10","r_trace_05","r_trace_01","r_eigen_10","r_eigen_05","r_eigen_01","pic_gap","alt_pic_close","johansen_suggested","reject_H0_r_le_base","r_selected"
"full","none",2,1,0,97,4,-22.1012641804186,-21.3466726788098,-21.3466726788098,1,1,-22.5384156078941,-21.3122044177798,-21.4536903243315,2,99,4,0,0,0,0,0,0,0.0344682610299394,TRUE,0,FALSE,0
"full","none",3,2,0,96,4,-22.2703246493448,-20.7488752521888,-20.7488752521888,1,1,-22.7306007574763,-20.7336984237091,-20.8763343046925,2,99,4,0,0,0,0,0,0,0.015176828479742,TRUE,0,FALSE,0
"full","none",4,3,0,95,4,-22.4923124458901,-20.1914062269762,-20.1914062269762,1,1,-22.9403414607147,-20.160079779527,-20.3038864182091,2,99,4,0,0,0,0,0,0,0.0313264474491817,TRUE,0,FALSE,0
"full","none",5,4,1,94,4,-23.125947858032,-19.5493115400747,-19.6943103097216,1,0,-22.6378451584521,-19.5445380726512,-19.5445380726512,2,99,4,0,0,0,0,0,0,0.00477346742351514,TRUE,0,FALSE,0
"full","const",2,1,0,97,4,-22.1867516306198,-21.432160129011,-21.432160129011,1,1,-22.4555846408581,-21.2293734507437,-21.3708593572954,2,99,4,0,0,0,0,0,0,0.202786678267273,FALSE,0,FALSE,0
"full","const",3,2,0,96,4,-22.3621889585316,-20.8407395613756,-20.8407395613756,1,1,-22.6387374593221,-20.6418351255549,-20.7844710065383,2,99,4,0,0,0,0,0,0,0.198904435820737,FALSE,0,FALSE,0
"full","const",4,3,0,95,4,-22.5834062514629,-20.282500032549,-20.282500032549,1,1,-22.8493232373088,-20.0690615561211,-20.2128681948032,2,99,4,0,0,0,0,0,0,0.213438476427907,FALSE,0,FALSE,0
"full","const",5,4,0,94,4,-22.719513565404,-19.6262064796031,-19.6262064796031,1,1,-23.045571381346,-19.4689350633887,-19.6139338330357,2,99,4,0,0,0,0,0,0,0.15727141621436,FALSE,0,FALSE,0
"ford","none",2,1,1,47,4,-25.0394149214542,-22.9095460354018,-23.1553001376386,1,3,-25.5818261327803,-22.7966129740964,-23.0423670763332,2,49,4,0,0,0,0,0,0,0.112933061305377,FALSE,0,FALSE,1
"ford","none",3,2,1,46,4,-25.6178582957836,-22.1221422381197,-22.3718362422385,1,0,-24.7619916079678,-22.0985888973666,-22.0985888973666,2,49,4,0,0,0,0,0,0,0.0235533407530504,TRUE,0,FALSE,0
"ford","none",4,3,1,45,4,-26.1789188005827,-21.2725538137676,-21.5263313130856,1,2,-26.6081401099249,-21.1942201244738,-21.5325901235645,2,49,4,0,0,0,0,0,0,0.0783336892937854,FALSE,0,FALSE,1
"ford","none",5,4,1,44,4,-27.3641455522464,-20.9998266224748,-21.2578395520601,1,2,-27.8738169354606,-20.9934721465183,-21.3374893859654,2,49,4,0,0,0,0,0,0,0.00635447595648131,TRUE,0,FALSE,1
"ford","const",2,1,1,47,4,-24.9731921985367,-22.8433233124843,-23.0890774147211,1,0,-24.1472419268448,-22.8365533815818,-22.8365533815818,2,49,4,0,0,0,0,0,0,0.00676993090255351,TRUE,0,FALSE,0
"ford","const",3,2,0,46,4,-24.8432126009835,-22.1798098903824,-22.1798098903824,1,1,-25.5405327933147,-22.0448167356508,-22.2945107397696,2,49,4,0,0,0,0,0,0,0.13499315473161,FALSE,0,FALSE,0
"ford","const",4,3,0,45,4,-25.2913302591724,-21.230890270084,-21.230890270084,1,1,-26.1048802195639,-21.1985152327488,-21.4522927320668,2,49,4,0,0,0,0,0,0,0.0323750373352709,TRUE,0,FALSE,0
"ford","const",5,4,1,44,4,-27.3295715496231,-20.9652526198515,-21.2232655494368,1,2,-27.8421763755198,-20.9618315865775,-21.3058488260246,2,49,4,0,0,0,0,0,0,0.0034210332739768,TRUE,0,FALSE,1
"post","none",2,1,0,48,4,-23.8205107475842,-22.5301104106149,-22.5301104106149,1,1,-24.5982487546749,-22.5013482070998,-22.7432982702816,2,50,4,0,0,0,0,0,0,0.0287622035150648,TRUE,0,FALSE,0
"post","none",3,2,0,47,4,-24.4856296946051,-21.8642526040792,-21.8642526040792,1,1,-25.1974079335221,-21.7568505022067,-22.0026046044436,2,50,4,0,0,0,0,0,0,0.107402101872403,FALSE,0,FALSE,0
"post","none",4,3,1,46,4,-25.6566428028771,-20.8292253899126,-21.0789193940315,1,2,-26.1100441465253,-20.7832387253231,-21.1161640641482,2,50,4,0,0,0,0,0,0,0.0459866645895488,TRUE,0,FALSE,1
"post","none",5,4,2,45,4,-26.8061010483339,-20.03870106652,-20.3770710656107,1,3,-26.9427313574842,-20.0061463761249,-20.2599238754429,2,50,4,0,0,0,0,0,0,0.0325546903950702,TRUE,0,FALSE,2
"post","const",2,1,0,48,4,-24.0868726131712,-22.7964722762019,-22.7964722762019,1,3,-25.1265903344524,-22.3844896183927,-22.6264396815744,2,50,4,0,0,0,0,0,0,0.411982657809194,FALSE,0,FALSE,0
"post","const",3,2,0,47,4,-24.6830286542331,-22.0616515637071,-22.0616515637071,1,1,-25.0468455251192,-21.6062880938038,-21.8520421960406,2,50,4,0,0,0,0,0,0,0.45536346990334,FALSE,0,FALSE,0
"post","const",4,3,0,46,4,-24.9901346238512,-20.9950305579495,-20.9950305579495,1,1,-25.5550160042596,-20.7275985912951,-20.977292595414,2,50,4,0,0,0,0,0,0,0.26743196665441,FALSE,0,FALSE,0
"post","const",5,4,0,45,4,-25.5308130284881,-20.116893043037,-20.116893043037,1,2,-26.6975720035905,-19.9301720217766,-20.2685420208673,2,50,4,0,0,0,0,0,0,0.186721021260411,FALSE,0,FALSE,0
