variable_name,n_obs,sample_start,sample_end,adf_level_p,adf_diff_p,kpss_level_p,kpss_diff_p,pp_level_p_if_available,pp_diff_p_if_available,adf_second_diff_p,kpss_second_diff_p,classification,notes
ME_share_repaired,94,1931,2024,0.585998881924786,1.0,0.01,0.01,,,0.3552915102955885,0.1,BOUNDED_PERSISTENT,PP unavailable: Python arch package not installed.
ME_NRC_ratio_repaired,94,1931,2024,0.9985794655253889,1.0,0.01,0.01,,,0.9990692487263003,0.01689947251645929,AMBIGUOUS,PP unavailable: Python arch package not installed.
log_ME_NRC_ratio_repaired,94,1931,2024,0.8840228633343328,7.62659744141915e-13,0.01,0.0936482232493905,,,0.0,0.08305923137793311,I1,PP unavailable: Python arch package not installed.
Q_MEshare_Kcap,93,1932,2024,0.7334489935961668,0.055059936059246,0.01,0.1,,,0.4871232454506917,0.1,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_MEshare_NRC,93,1932,2024,0.3749933876543663,0.2287448429285054,0.04252727590748676,0.01,,,0.9977863955602375,0.01,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_ME_NRC_ratio_Kcap,93,1932,2024,0.6626960912113492,0.04697704650109341,0.01,0.08406513288010581,,,0.5087430896570421,0.1,I1,PP unavailable: Python arch package not installed.
Q_ME_NRC_ratio_NRC,93,1932,2024,0.6258854515536532,0.5778296167733039,0.03085481818764655,0.01,,,1.0,0.01,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_log_ME_NRC_ratio_Kcap,93,1932,2024,2.186910973752286e-10,0.3585751199347543,0.01,0.01,,,0.0006227360622471423,0.1,I2_RISK,PP unavailable: Python arch package not installed.
Q_log_ME_NRC_ratio_NRC,93,1932,2024,6.320368249640087e-09,0.358562877625084,0.01,0.01,,,0.0007405920441635333,0.1,I2_RISK,PP unavailable: Python arch package not installed.
Q_omega_MEshare_Kcap,93,1932,2024,0.7391384684160509,0.07021158808401805,0.01,0.1,,,0.45789533600547316,0.1,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_omega_MEshare_NRC,93,1932,2024,0.4603830075053962,0.1263500915221123,0.04720426222993646,0.01,,,0.998031248055786,0.01,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_omega_ME_NRC_ratio_Kcap,93,1932,2024,0.6696308579763731,0.06289848724613421,0.01,0.08970105849032912,,,0.4862523361067085,0.1,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_omega_ME_NRC_ratio_NRC,93,1932,2024,0.6768997964941758,0.5109858266619435,0.03431645772848434,0.01,,,1.0,0.01,AMBIGUOUS,PP unavailable: Python arch package not installed.
Q_omega_log_ME_NRC_ratio_Kcap,93,1932,2024,7.300775277087888e-10,0.39555323717300306,0.01,0.01,,,2.1858054018515712e-06,0.1,I2_RISK,PP unavailable: Python arch package not installed.
Q_omega_log_ME_NRC_ratio_NRC,93,1932,2024,1.3721872413645318e-08,0.393913540525202,0.01,0.01,,,3.051373264758183e-06,0.1,I2_RISK,PP unavailable: Python arch package not installed.
omega_NFC,97,1929,2025,0.9077045009975093,2.956864729966848e-09,0.01,0.1,,,2.954910798913024e-09,0.1,BOUNDED_PERSISTENT,PP unavailable: Python arch package not installed.
k_Kcap,94,1931,2024,0.007623936496244897,0.8565302864150748,0.01,0.01,,,9.0087629531824e-08,0.07661397556213169,I2_RISK,PP unavailable: Python arch package not installed.
k_NRC,94,1931,2024,0.1349666263538819,0.9676436370699842,0.01,0.01,,,5.151271366265013e-08,0.08925197875884007,I2_RISK,PP unavailable: Python arch package not installed.
k_ME,94,1931,2024,0.04122488131727113,0.9286433861258383,0.01,0.01,,,0.00016066132850776929,0.1,I2_RISK,PP unavailable: Python arch package not installed.
y_t,97,1929,2025,0.00028076443437682826,1.5603166994302856e-09,0.01,0.1,,,2.886476970946032e-09,0.1,I1,PP unavailable: Python arch package not installed.
