variable_name,source_file,construction_rule,theoretical_role,n_obs,sample_start,sample_end,adf_level_p,adf_diff_p,kpss_level_p,kpss_diff_p,pp_level_p_if_available,pp_diff_p_if_available,adf_second_diff_p,kpss_second_diff_p,classification,notes
y_t,D07:Y_REAL_NFC_GVA_BASELINE,log real NFC GVA baseline,effective_output_proxy,97,1929,2025,0.00028076443437682826,1.5603166994302856e-09,0.01,0.1,,,2.886476970946032e-09,0.1,I1, PP unavailable: Python arch package not installed.
K_ME_repaired,D07:K_real_ME_refrozen,repaired ME capacity stock,capacity_capital_component,94,1931,2024,0.9363774075094399,0.9990116075694577,0.01,0.01,,,0.33905681298389534,0.1,AMBIGUOUS, PP unavailable: Python arch package not installed.
K_NRC_repaired,D07:K_real_NRC_refrozen,repaired NRC capacity stock,capacity_capital_component,94,1931,2024,0.19263312024959894,0.767866313679838,0.01,0.01,,,2.0419298902578028e-10,0.1,I2_RISK, PP unavailable: Python arch package not installed.
K_cap_repaired,D07:K_real_capacity_refrozen,ME + NRC repaired capacity stock,capacity_capital_scale,94,1931,2024,0.4699391951786904,0.2024094027865745,0.01,0.07723064315954635,,,5.79202213519124e-10,0.1,I2_RISK, PP unavailable: Python arch package not installed.
k_ME,S34R,log K_ME_repaired,log_capacity_component,94,1931,2024,0.04122488131726985,0.9286433861258342,0.01,0.01,,,0.00016066132850780848,0.1,I2_RISK, PP unavailable: Python arch package not installed.
k_NRC,S34R,log K_NRC_repaired,log_capacity_component,94,1931,2024,0.13496662635391027,0.967643637069984,0.01,0.01,,,5.151271366262339e-08,0.0892519787588401,I2_RISK, PP unavailable: Python arch package not installed.
k_Kcap,S34R,log K_cap_repaired,log_capacity_capital,94,1931,2024,0.007623936496247275,0.8565302864150774,0.01,0.01,,,9.008762953201308e-08,0.07661397556213176,I2_RISK, PP unavailable: Python arch package not installed.
g_K_ME,S34R,annual first difference of k_ME,capital_growth,93,1932,2024,0.9286433861258385,0.0001606613285077647,0.01,0.1,,,2.7902391883210913e-09,0.1,I1, PP unavailable: Python arch package not installed.
g_K_NRC,S34R,annual first difference of k_NRC,capital_growth,93,1932,2024,0.9676436370699828,5.151271366264048e-08,0.01,0.08925197875884021,,,1.4433162429876545e-22,0.1,I1, PP unavailable: Python arch package not installed.
g_Kcap,S34R,annual first difference of k_Kcap,capital_growth,93,1932,2024,0.8565302864150731,9.008762953183691e-08,0.01,0.07661397556213145,,,3.2475820670548627e-22,0.1,I1, PP unavailable: Python arch package not installed.
ME_share,S34R,K_ME_repaired/(K_ME_repaired+K_NRC_repaired),bounded_composition_state,94,1931,2024,0.585998881924804,1.0,0.01,0.01,,,0.35529151029552236,0.1,BOUNDED_PERSISTENT, PP unavailable: Python arch package not installed.
NRC_share,S34R,K_NRC_repaired/(K_ME_repaired+K_NRC_repaired),bounded_composition_state,94,1931,2024,0.5859988819247566,1.0,0.01,0.01,,,0.35529151029559514,0.1,BOUNDED_PERSISTENT, PP unavailable: Python arch package not installed.
omega_NFC,D07:NFC_COMPENSATION_SHARE_GVA,NFC wage share,bounded_distribution_state,97,1929,2025,0.9077045009975093,2.956864729966848e-09,0.01,0.1,,,2.954910798913024e-09,0.1,BOUNDED_PERSISTENT,"Bounded-persistent OVB-control candidate, not direct theta recovery. PP unavailable: Python arch package not installed."
omega_CORP,D07:CORP_COMPENSATION_SHARE_GVA,corporate wage share robustness,bounded_distribution_state,97,1929,2025,0.9630724504247231,1.210760921842553e-09,0.01,0.1,,,1.836584054178044e-07,0.1,BOUNDED_PERSISTENT, PP unavailable: Python arch package not installed.
Q_omega,S34R,"cumsum(lag(omega_NFC,1) * g_Kcap)",distribution_weighted_accumulation_path,93,1932,2024,0.0005899710425211664,0.8860335577705956,0.01,0.01,,,0.0020195864351560287,0.1,I2_RISK,Reduced-form distribution-conditioned path; not direct mechanization composition. PP unavailable: Python arch package not installed.
Q_MEshare,S34R,"cumsum(lag(ME_share,1) * g_Kcap)",composition_weighted_accumulation_path,93,1932,2024,0.7334489935959096,0.05505993605927491,0.01,0.1,,,0.4871232454507906,0.1,BOUNDED_PERSISTENT,Mechanization-composition accumulated path; preferred theta-recovery candidate if design gates pass. PP unavailable: Python arch package not installed.
q_proxy_if_retained,S34R,annual first difference of ME_share,diagnostic_observed_q_proxy,93,1932,2024,1.0,0.3552915102956482,0.01,0.1,,,6.086656456305362e-08,0.1,I2_RISK, PP unavailable: Python arch package not installed.
Q_q_if_retained,S34R,"cumsum(lag(q_proxy_if_retained,1) * g_Kcap)",observed_q_weighted_path,92,1933,2024,0.6791033369432884,0.30031311811093375,0.01,0.1,,,0.06976385284778903,0.1,STALE_BLOCKED,Preserved for blocked diagnostic review only; not standard-grid authorized. PP unavailable: Python arch package not installed.
