"run_id","det_tag","include","LRinclude","p","r","q_tag","qY","qK","cell_id","status","logLik","T_eff","T_eff_common","k_gamma","k_pi","k_det","k_sigma","k_total","AIC","BIC","HQ","AICc","theta_hat","alpha_y","alpha_k","Pi_11","Pi_12","Pi_21","Pi_22","SR_norm_total","share_Y","share_K","stability_margin","unit_root_count","unstable_count","unit_root_mismatch","fail_code","fail_msg","dBIC","dAIC","dHQ"
4,"SR_const__LR_none","const","none",1,1,"K_only",0,1,"p01_K_only_const_none","computed",288.023722489409,63,57,2,3,2,3,10,-556.047444978819,-535.616932300473,-548.107451554419,-551.264836283167,0.860278640549702,0.107803155680603,0.122960420768635,0.107803155680603,-0.092740752215877,0.122960420768635,-0.105780223620261,0.414083605559473,0,1,0.0818180274857881,1,0,0,NA,NA,0,0,0
4,"SR_const__LR_none","const","none",1,1,"sym",1,1,"p01_sym_const_none","computed",288.356904306408,63,57,4,3,2,3,12,-552.713808612816,-528.197193398801,-543.185816503536,-545.622899521907,0.860278640549702,0.106568809665306,0.130969898435939,0.106568809665306,-0.0916788707038692,0.130969898435939,-0.112670606179402,0.431685125495302,0.146693042169805,0.989182061795991,0.10039840560802,1,0,0,NA,NA,7.41973890167208,3.33363636600302,4.92163505088286
4,"SR_const__LR_none","const","none",1,1,"Y_short",1,1,"p01_Y_short_const_none","computed",288.356904306408,63,57,4,3,2,3,12,-552.713808612816,-528.197193398801,-543.185816503536,-545.622899521907,0.860278640549702,0.106568809665306,0.130969898435939,0.106568809665306,-0.0916788707038692,0.130969898435939,-0.112670606179402,0.431685125495302,0.146693042169805,0.989182061795991,0.10039840560802,1,0,0,NA,NA,7.41973890167208,3.33363636600302,4.92163505088286
4,"SR_const__LR_none","const","none",1,1,"K_short",1,1,"p01_K_short_const_none","computed",288.356904306408,63,57,4,3,2,3,12,-552.713808612816,-528.197193398801,-543.185816503536,-545.622899521907,0.860278640549702,0.106568809665306,0.130969898435939,0.106568809665306,-0.0916788707038692,0.130969898435939,-0.112670606179402,0.431685125495302,0.146693042169805,0.989182061795991,0.10039840560802,1,0,0,NA,NA,7.41973890167208,3.33363636600302,4.92163505088286
4,"SR_const__LR_none","const","none",2,1,"K_only",0,2,"p02_K_only_const_none","computed",287.343192501101,62,57,4,3,2,3,12,-550.686385002202,-526.169769788187,-541.158392892922,-543.595475911293,1.17352288174224,0.0518836496055701,0.0289227642674529,0.0518836496055701,-0.0608866500004335,0.0289227642674529,-0.033941525671093,0.704161455567891,0,1,0.0221996374305446,1,0,0,NA,NA,9.44716251228613,5.36105997661707,6.94905866149691
4,"SR_const__LR_none","const","none",1,1,"Y_only",1,0,"p01_Y_only_const_none","computed",282.964117621584,63,57,2,3,2,3,10,-545.928235243167,-525.497722564822,-537.988241818768,-541.145626547515,0.860278640549702,0.0738738623354562,0.146317975983292,0.0738738623354562,-0.0635521058621022,0.146317975983292,-0.125874229466891,0.0748061443982633,1,0,0.0555708379187251,1,0,0,NA,NA,10.1192097356516,10.1192097356516,10.1192097356516
4,"SR_const__LR_none","const","none",2,1,"K_short",2,1,"p02_K_short_const_none","computed",288.863336161268,62,57,6,3,2,3,14,-549.726672322535,-521.123954572852,-538.610681528376,-539.726672322535,1.17352288174224,0.0501527298653937,0.0249249408840755,0.0501527298653937,-0.0588553760788772,0.0249249408840755,-0.0292499884535354,0.677225689428558,0.40400405119352,0.674252557739976,0.0127199353489682,1,0,0,NA,NA,14.4929777276215,6.32077265628322,9.49677002604301
4,"SR_const__LR_none","const","none",2,1,"Y_short",1,2,"p02_Y_short_const_none","computed",287.59545422485,62,57,6,3,2,3,14,-547.190908449701,-518.588190700017,-536.074917655542,-537.190908449701,1.17352288174224,0.0528112082983608,0.0274624555929661,0.0528112082983608,-0.0619751613505822,0.0274624555929661,-0.032227820027176,0.704341647570726,0.0816949521076999,0.99357021372005,0.021256881555682,1,0,0,NA,NA,17.0287416004561,8.85653652911788,12.0325338988777
4,"SR_const__LR_none","const","none",2,1,"Y_only",2,0,"p02_Y_only_const_none","computed",282.55917672655,62,57,4,3,2,3,12,-541.118353453101,-516.601738239086,-531.590361343821,-534.027444362192,1.17352288174224,0.0414747195260595,0.0282784146742302,0.0414747195260595,-0.0486715323776727,0.0282784146742302,-0.0331853666796048,0.351222768598567,1,0,0.00981587002111839,1,0,0,NA,NA,19.015194061387,14.9290915257179,16.5170902105978
4,"SR_const__LR_none","const","none",2,1,"sym",2,2,"p02_sym_const_none","computed",290.550262306948,62,57,8,3,2,3,16,-549.100524613897,-516.411704328544,-536.396535134857,-535.500524613897,1.17352288174224,0.055068954541055,0.0240070482223324,0.055068954541055,-0.0646246782275515,0.0240070482223324,-0.0281728204119965,0.689025740373694,0.335115840090589,0.918967380308481,0.0149233197772217,1,0,0,NA,NA,19.2052279719294,6.94692036492211,11.7109164195617
