"year","ECT","series"
1947,1.50895455476822,"p=1"
1948,1.54148693632977,"p=1"
1949,1.48335313819525,"p=1"
1950,1.49796382263481,"p=1"
1951,1.53505277900939,"p=1"
1952,1.51300031898967,"p=1"
1953,1.52083271197201,"p=1"
1954,1.46602816763576,"p=1"
1955,1.49376942048762,"p=1"
1956,1.45996234931644,"p=1"
1957,1.42949417014155,"p=1"
1958,1.37311143835851,"p=1"
1959,1.43575020243335,"p=1"
1960,1.44620634357092,"p=1"
1961,1.43825976835594,"p=1"
1962,1.48370160880486,"p=1"
1963,1.50589365444333,"p=1"
1964,1.52661087873058,"p=1"
1965,1.55459029211295,"p=1"
1966,1.56625227302431,"p=1"
1967,1.54131677293408,"p=1"
1968,1.54955175250439,"p=1"
1969,1.53907301664408,"p=1"
1970,1.47900465171242,"p=1"
1971,1.4614354885055,"p=1"
1972,1.48151075227344,"p=1"
1973,1.48171620500613,"p=1"
1974,1.3769409249687,"p=1"
1975,1.34088818741322,"p=1"
1976,1.36323864948438,"p=1"
1977,1.37923703310019,"p=1"
1978,1.38984422053757,"p=1"
1979,1.36208905265178,"p=1"
1980,1.30617741704728,"p=1"
1981,1.30546710058017,"p=1"
1982,1.2732799177969,"p=1"
1983,1.3014219726235,"p=1"
1984,1.35472946527101,"p=1"
1985,1.36389195955865,"p=1"
1986,1.35934584855706,"p=1"
1987,1.37538385045022,"p=1"
1988,1.39421984186808,"p=1"
1989,1.38534034095701,"p=1"
1990,1.37147174950928,"p=1"
1991,1.36320114141636,"p=1"
1992,1.36741689957545,"p=1"
1993,1.36392858396616,"p=1"
1994,1.38134445711543,"p=1"
1995,1.3906487863854,"p=1"
1996,1.39865410863716,"p=1"
1997,1.41731841742258,"p=1"
1998,1.42430047820441,"p=1"
1999,1.43453773032365,"p=1"
2000,1.43955645900586,"p=1"
2001,1.3910137984789,"p=1"
2002,1.36236593054632,"p=1"
2003,1.35998858820769,"p=1"
2004,1.353521550713,"p=1"
2005,1.34798014944482,"p=1"
2006,1.33657774060868,"p=1"
2007,1.30457008396793,"p=1"
2008,1.23030382010466,"p=1"
2009,1.21437386273215,"p=1"
2010,1.23790229968308,"p=1"
2011,1.24619019117927,"p=1"
