"year","ECT","series"
1947,0.619756665395819,"p=1"
1948,0.648072329659677,"p=1"
1949,0.587421862354159,"p=1"
1950,0.590339622487338,"p=1"
1951,0.625634019238964,"p=1"
1952,0.599879186678918,"p=1"
1953,0.604068190912389,"p=1"
1954,0.547667877522913,"p=1"
1955,0.567119135573308,"p=1"
1956,0.526429825002701,"p=1"
1957,0.492974064084457,"p=1"
1958,0.437757809843416,"p=1"
1959,0.497994346640107,"p=1"
1960,0.508993328075848,"p=1"
1961,0.500771522242114,"p=1"
1962,0.545429085854477,"p=1"
1963,0.566791425650643,"p=1"
1964,0.584768606784003,"p=1"
1965,0.609120395028503,"p=1"
1966,0.616380320234191,"p=1"
1967,0.587372684716383,"p=1"
1968,0.591300303824628,"p=1"
1969,0.577112762035627,"p=1"
1970,0.513570487857642,"p=1"
1971,0.492545700914661,"p=1"
1972,0.509731448213352,"p=1"
1973,0.504096662045334,"p=1"
1974,0.388041296712308,"p=1"
1975,0.351494979114385,"p=1"
1976,0.370645120309336,"p=1"
1977,0.382995665793905,"p=1"
1978,0.38876456509784,"p=1"
1979,0.356164797111821,"p=1"
1980,0.296287351866561,"p=1"
1981,0.293823053546267,"p=1"
1982,0.263268350014908,"p=1"
1983,0.294075146381687,"p=1"
1984,0.346981159761221,"p=1"
1985,0.355686783117183,"p=1"
1986,0.35029510838195,"p=1"
1987,0.365070764269375,"p=1"
1988,0.382691702547086,"p=1"
1989,0.373578058778132,"p=1"
1990,0.359536170380237,"p=1"
1991,0.353920641396168,"p=1"
1992,0.358475196847075,"p=1"
1993,0.354272393989121,"p=1"
1994,0.370039697422025,"p=1"
1995,0.37766699565281,"p=1"
1996,0.384406509044741,"p=1"
1997,0.401272331578345,"p=1"
1998,0.405748110785725,"p=1"
1999,0.413527892882659,"p=1"
2000,0.415872636241746,"p=1"
2001,0.365965305800059,"p=1"
2002,0.336372495282984,"p=1"
2003,0.334223009035723,"p=1"
2004,0.323956254604058,"p=1"
2005,0.314458430889523,"p=1"
2006,0.299821144544355,"p=1"
2007,0.267348353120649,"p=1"
2008,0.190278110179786,"p=1"
2009,0.180335608187043,"p=1"
2010,0.20434269827669,"p=1"
2011,0.212427892909929,"p=1"
