"year","ECT","series"
1947,0.629095479687753,"p=1"
1948,0.657179128412102,"p=1"
1949,0.596438833761067,"p=1"
1950,0.598499285249331,"p=1"
1951,0.633764250270651,"p=1"
1952,0.607820420807446,"p=1"
1953,0.611825361409144,"p=1"
1954,0.55541224268461,"p=1"
1955,0.574290805444847,"p=1"
1956,0.533146541073312,"p=1"
1957,0.499561566743274,"p=1"
1958,0.444563535247245,"p=1"
1959,0.504719816360425,"p=1"
1960,0.515884860927567,"p=1"
1961,0.507760696617393,"p=1"
1962,0.552473326274874,"p=1"
1963,0.5738869325365,"p=1"
1964,0.591755603827822,"p=1"
1965,0.61592464687345,"p=1"
1966,0.622937055252874,"p=1"
1967,0.593709496697334,"p=1"
1968,0.59739751907608,"p=1"
1969,0.583020442309815,"p=1"
1970,0.519308279383703,"p=1"
1971,0.498115133051464,"p=1"
1972,0.51517986889688,"p=1"
1973,0.509177279501337,"p=1"
1974,0.39229913444786,"p=1"
1975,0.355832196119786,"p=1"
1976,0.374835330881312,"p=1"
1977,0.387001440597794,"p=1"
1978,0.392486337578326,"p=1"
1979,0.359602039350224,"p=1"
1980,0.299513563916421,"p=1"
1981,0.297023227699037,"p=1"
1982,0.266725722245497,"p=1"
1983,0.297876052781525,"p=1"
1984,0.350869148532119,"p=1"
1985,0.359657221425226,"p=1"
1986,0.354315486837158,"p=1"
1987,0.369106224141795,"p=1"
1988,0.386746199305413,"p=1"
1989,0.377733633547742,"p=1"
1990,0.363797912175726,"p=1"
1991,0.358525109216923,"p=1"
1992,0.363228662102022,"p=1"
1993,0.359086762333037,"p=1"
1994,0.374836844302411,"p=1"
1995,0.38244454062877,"p=1"
1996,0.3891988458126,"p=1"
1997,0.406034908201508,"p=1"
1998,0.410421728858537,"p=1"
1999,0.418116634893338,"p=1"
2000,0.420358393338481,"p=1"
2001,0.370457586172859,"p=1"
2002,0.340906403979831,"p=1"
2003,0.338896636294781,"p=1"
2004,0.328432743294002,"p=1"
2005,0.318724674514708,"p=1"
2006,0.303937491497226,"p=1"
2007,0.271546458440765,"p=1"
2008,0.194362358201294,"p=1"
2009,0.185041294675087,"p=1"
2010,0.209209079426775,"p=1"
2011,0.217397982143443,"p=1"
