spec,basis,window,DSR,DLR,det_tag,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,common_p_max,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec
Q1,raw,full,none,const,SR_none__LR_const,none,const,1,0,4,runtime_fail,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,7,FALSE,FALSE,SP_Sigma0,R0_VAR_DIFF_FAIL,'x' must be a matrix,0.01999999999679858
Q1,raw,full,none,const,SR_none__LR_const,none,const,1,1,4,computed,-22.864723914887026,-23.194857696840877,574.4024474133687,4.574710978503383,97,7,0,0,8,-1093.1565176564388,-1112.2072069987103,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,1,2,4,computed,-22.89106200191242,-23.457005628119024,587.1166220803567,4.574710978503383,97,12,0,0,14,-1076.848584112691,-1110.187290461666,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,1,3,4,computed,-22.82637254531743,-23.533802078075684,590.8412499032543,4.574710978503383,97,15,0,0,18,-1056.4736511733367,-1099.3377021934477,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,2,0,4,computed,-22.019695633076175,-22.77428713468498,554.0047751488084,4.574710978503383,97,0,16,0,16,-996.7127959570198,-1034.8141746415627,7,TRUE,TRUE,SP_Sigma0,NA,NA,0.010000000002037268
Q1,raw,full,none,const,SR_none__LR_const,none,const,2,1,4,computed,-22.280285334475657,-23.373827088681495,577.0713035061201,4.564348191467836,96,7,16,0,24,-987.8240701365924,-1044.5982504170122,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,2,2,4,computed,-22.285430899407597,-23.616699121919048,588.7291611015198,4.564348191467836,96,12,16,0,30,-969.5601511084799,-1040.5278764590046,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,2,3,4,computed,-22.21863236385858,-23.6925364673534,592.3693536823679,4.564348191467836,96,15,16,0,34,-949.1207801242347,-1029.5508688548293,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,3,0,4,computed,-21.54788581632995,-23.069335213485893,562.4556934967286,4.564348191467836,96,0,32,0,32,-903.1533378259267,-978.8522448664864,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q1,raw,full,none,const,SR_none__LR_const,none,const,3,1,4,computed,-21.843709291921105,-23.713195594788694,587.18014813469,4.553876891600541,95,7,32,0,40,-898.2170387959434,-992.2052206053582,7,TRUE,TRUE,NA,NA,NA,0.01999999999679858
