spec,basis,window,DSR,DLR,det_tag,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,common_p_max,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec
Q1,raw,full,none,none,SR_none__LR_none,none,none,1,0,4,runtime_fail,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,7,FALSE,FALSE,SP_Sigma0,R0_VAR_DIFF_FAIL,'x' must be a matrix,0.040000000000873115
Q1,raw,full,none,none,SR_none__LR_none,none,none,1,1,4,computed,-22.70854138750444,-23.03867516945829,566.8275948353138,4.574710978503383,97,7,0,0,7,-1084.9628596466164,-1101.6322128211038,7,TRUE,TRUE,NA,NA,NA,0.05000000000291038
Q1,raw,full,none,none,SR_none__LR_none,none,none,1,2,4,computed,-22.55007364969505,-23.116017275901655,570.5786869978166,4.574710978503383,97,12,0,0,12,-1057.6848082401852,-1086.2608422535925,7,TRUE,TRUE,NA,NA,NA,0.01999999999679858
Q1,raw,full,none,none,SR_none__LR_none,none,none,1,3,4,computed,-22.469081363087422,-23.176510895845677,573.5126275651014,4.574710978503383,97,15,0,0,15,-1042.684547935893,-1078.404590452652,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,2,0,4,computed,-22.019695633076175,-22.77428713468498,554.0047751488084,4.574710978503383,97,0,16,0,16,-996.7127959570198,-1034.8141746415627,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,2,1,4,computed,-22.254937735277103,-23.34847948948294,575.8546187445874,4.564348191467836,96,7,16,0,23,-992.3206396500123,-1046.7292290854145,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,2,2,4,computed,-22.093696880107885,-23.424965102619336,579.5259281751341,4.564348191467836,96,12,16,0,28,-965.0135633286791,-1031.250106989169,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,2,3,4,computed,-21.987844684374526,-23.461748787869347,581.2915450671345,4.564348191467836,96,15,16,0,31,-947.7549800032239,-1021.0882961987661,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,3,0,4,computed,-21.54788581632995,-23.069335213485893,562.4556934967286,4.564348191467836,96,0,32,0,32,-903.1533378259267,-978.8522448664864,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,3,1,4,computed,-21.75966215658178,-23.629148459449368,583.1879092060689,4.553876891600541,95,7,32,0,39,-897.136142375537,-988.7746196397167,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,3,2,4,computed,-21.604086031572557,-23.713250065577018,587.1827354971327,4.553876891600541,95,12,32,0,44,-870.6078877734853,-973.9948877638417,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,3,3,4,computed,-21.509206983423425,-23.76217765611001,589.506796047449,4.553876891600541,95,15,32,0,47,-854.5452645636101,-964.9813781896727,7,TRUE,TRUE,NA,NA,NA,0.01999999999679858
Q1,raw,full,none,none,SR_none__LR_none,none,none,4,0,4,computed,-21.07301941955191,-23.373925638465867,571.064825209353,4.553876891600541,95,0,48,0,48,-810.7577414505822,-923.54355962188,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,4,1,4,computed,-21.210683241140277,-23.868994018000386,588.3218303610612,4.543294782270004,94,7,48,0,55,-798.4103449680161,-926.7624476972721,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,4,2,4,computed,-21.06139475584439,-23.96137014878269,592.6635085078295,4.543294782270004,94,12,48,0,60,-772.7088543748159,-912.7293300794588,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,4,3,4,computed,-20.958283050366852,-24.003257212952068,594.6322005237907,4.543294782270004,94,15,48,0,63,-756.0153302746961,-903.0368297645712,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,5,0,4,computed,-20.63386016534487,-23.727167251145723,581.6559723188923,4.543294782270004,94,0,64,0,64,-723.1859044875519,-872.5410785725044,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,5,1,4,computed,-20.79433069700901,-24.254702353072247,599.9985250657207,4.532599493153256,93,7,64,0,71,-713.6401108678515,-878.1824861175603,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,5,2,4,computed,-20.69403660064174,-24.398096401498165,606.6663483175253,4.532599493153256,93,12,64,0,76,-692.725268690926,-868.8551351554031,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,5,3,4,computed,-20.61644805380813,-24.466720741540467,609.8573801294921,4.532599493153256,93,15,64,0,79,-678.5570391065389,-861.6394002998769,7,TRUE,TRUE,NA,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,6,0,4,computed,-20.179219907806576,-24.07823022449755,591.7925710869977,4.532599493153256,93,0,80,0,80,-635.5773232854433,-820.9771827217348,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q1,raw,full,none,none,SR_none__LR_none,none,none,6,1,4,computed,-20.712085745072436,-24.98812494293403,627.2843671556458,4.5217885770490405,92,7,80,0,87,-660.9711070419595,-861.173128108025,7,TRUE,TRUE,NA,NA,NA,0
