spec,basis,window,DSR,DLR,det_tag,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,common_p_max,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec
Q3,ortho,full,none,none,SR_none__LR_none,none,none,1,0,6,runtime_fail,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,7,FALSE,FALSE,SP_Sigma0,R0_VAR_DIFF_FAIL,'x' must be a matrix,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,1,1,6,computed,-35.84934931012214,-36.368130967478194,938.0321255972783,4.574710978503383,97,11,0,0,11,-1799.547732585396,-1825.7424304310193,7,TRUE,TRUE,NA,NA,NA,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,1,2,6,computed,-35.70950821062561,-36.65274758763661,951.8360316748153,4.574710978503383,97,20,0,0,20,-1764.5511204238842,-1812.177843779563,7,TRUE,TRUE,NA,NA,NA,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,1,3,6,computed,-35.570464276471164,-36.84383743543602,961.103889293339,4.574710978503383,97,27,0,0,27,-1734.3945056369203,-1798.6905821670866,7,TRUE,TRUE,NA,NA,NA,0.010000000002037268
Q3,ortho,full,none,none,SR_none__LR_none,none,none,1,4,6,computed,-35.4151468303418,-36.924329833559405,965.0077706023886,4.574710978503383,97,32,0,0,32,-1707.422032523583,-1783.624789892669,7,TRUE,TRUE,NA,NA,NA,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,1,5,6,computed,-35.33404402660262,-36.98471293637188,967.9363510887914,4.574710978503383,97,35,0,0,35,-1692.4110520575266,-1775.7578179299644,7,TRUE,TRUE,NA,NA,NA,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,2,0,6,computed,-34.00278989058087,-35.70062076920068,905.6578809811161,4.574710978503383,97,0,36,0,36,-1560.8980646958887,-1646.6261667361105,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,2,1,6,computed,-34.70918123818012,-36.94381004025291,955.994286804857,4.564348191467836,96,11,36,0,47,-1586.2814388949037,-1697.4642086107256,7,TRUE,TRUE,NA,NA,NA,0.01999999999679858
Q3,ortho,full,none,none,SR_none__LR_none,none,none,2,2,6,computed,-34.62794075128511,-37.29047719630801,972.6343102953888,4.564348191467836,96,20,36,0,56,-1557.1920345475992,-1689.6651218685788,7,TRUE,TRUE,NA,NA,NA,0
Q3,ortho,full,none,none,SR_none__LR_none,none,none,2,3,6,computed,-34.54639047716327,-37.541743977814036,984.6951158097183,4.564348191467836,96,27,36,0,63,-1532.804072320861,-1681.836295556963,7,TRUE,TRUE,NA,NA,NA,0
