spec,basis,window,DSR,DLR,det_tag,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,common_p_max,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec
Q3,raw,full,const,none,SR_const__LR_none,const,none,1,0,6,computed,-41.698276648664454,-41.97898894327694,1222.634600696449,4.584967478670572,98,0,6,1,6,-2403.377737851096,-2417.759396520875,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,1,1,6,computed,-43.93604289844369,-44.73779636890304,1343.9608975577987,4.574710978503383,97,11,6,1,17,-2569.668993628713,-2610.15170848104,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,1,2,6,computed,-43.90209284645315,-45.12830403656746,1362.9005194391398,4.574710978503383,97,20,6,1,26,-2544.943813074809,-2606.8585534371914,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,1,3,6,computed,-43.80212497849454,-45.3584699505627,1374.0635662665609,4.574710978503383,97,27,6,1,33,-2518.5775767056402,-2597.16167024251,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,1,4,6,computed,-43.71002622342316,-45.502181039744066,1381.0335540919107,4.574710978503383,97,32,6,1,38,-2497.737316624903,-2588.228091000693,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,1,5,6,computed,-43.626387315588815,-45.560028038461375,1383.839133529572,4.574710978503383,97,35,6,1,41,-2482.480334061364,-2580.1151169405057,7,TRUE,TRUE,NA,NA,NA,0.01999999999679858
Q3,raw,full,const,none,SR_const__LR_none,const,none,2,0,6,computed,-42.09402976012659,-44.0748324518497,1311.8071475897414,4.574710978503383,97,0,42,1,42,-2331.460315035415,-2431.476434082341,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,2,1,6,computed,-42.77816321443487,-45.2980637784744,1356.9984662391055,4.564348191467836,96,11,42,1,53,-2346.7101635444888,-2472.0864783304155,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,2,2,6,computed,-42.69175050520218,-45.63955871219182,1373.3902230515566,4.564348191467836,96,20,42,1,62,-2317.124225841023,-2463.7908582321074,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,2,3,6,computed,-42.61556300281956,-45.89618826543707,1385.7084416067974,4.564348191467836,96,27,42,1,69,-2293.251089696107,-2456.476858002314,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,2,4,6,computed,-42.53784355641944,-46.05619528734256,1393.3887786430257,4.564348191467836,96,32,42,1,74,-2273.9620685861373,-2449.0157911174315,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,2,5,6,computed,-42.4315525654856,-46.092540177392095,1395.1333333655095,4.564348191467836,96,35,42,1,77,-2256.661360921649,-2438.811855987996,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,3,0,6,computed,-41.091585379261645,-44.80011828482926,1333.097082545955,4.564348191467836,96,0,78,1,78,-2125.658920246054,-2310.1750061574185,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,3,1,6,computed,-41.75905300341337,-46.025316617649665,1377.407575388277,4.553876891600541,95,11,78,1,89,-2140.3964028981577,-2349.520107424106,7,TRUE,TRUE,NA,NA,NA,0.01999999999679858
Q3,raw,full,const,none,SR_const__LR_none,const,none,3,2,6,computed,-41.662440411490195,-46.360123941772855,1393.310923278639,4.553876891600541,95,20,78,1,98,-2110.0708657473583,-2340.341911180425,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,3,3,6,computed,-41.60228197620768,-46.63551433008196,1406.391966722602,4.553876891600541,95,27,78,1,105,-2087.907882577433,-2334.626859827147,7,TRUE,TRUE,NA,NA,NA,0.010000000002037268
Q3,raw,full,const,none,SR_const__LR_none,const,none,3,4,6,computed,-41.463930606133026,-46.73684069114418,1411.2049688559514,4.553876891600541,95,32,78,1,110,-2063.0159796599523,-2321.483479635843,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,3,5,6,computed,-41.37758508913527,-46.79430181282855,1413.934372126344,4.553876891600541,95,35,78,1,113,-2047.7640418902297,-2313.280655501827,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,4,0,6,computed,-39.94451854564505,-45.4091708155657,1348.1406498124738,4.553876891600541,95,0,114,1,114,-1909.2730158256536,-2177.1393339824863,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,4,1,6,computed,-40.66376663690624,-46.70538203886103,1394.8716230989407,4.543294782270004,94,11,114,1,125,-1930.1220740294584,-2221.831398414131,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,4,2,6,computed,-40.734865454380966,-47.211477165276506,1418.6580940115646,4.543294782270004,94,20,114,1,134,-1915.8022914585795,-2228.5146871989486,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,4,3,6,computed,-40.664211843270515,-47.47915401667552,1431.2389060280182,4.543294782270004,94,27,114,1,141,-1892.8251298500547,-2221.8732477559656,7,TRUE,TRUE,NA,NA,NA,0.010000000002037268
Q3,raw,full,const,none,SR_const__LR_none,const,none,4,4,6,computed,-40.55736994027666,-47.613976729759855,1437.5755735483735,4.543294782270004,94,32,114,1,146,-1871.1136180040285,-2211.8301088853264,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,4,5,6,computed,-40.46595920718996,-47.667564766320076,1440.0942112691935,4.543294782270004,94,35,114,1,149,-1855.5199853136264,-2203.2374999801564,7,TRUE,TRUE,NA,NA,NA,0
Q3,raw,full,const,none,SR_const__LR_none,const,none,5,0,6,computed,-38.790943935665496,-46.04088241801125,1363.640140918967,4.543294782270004,94,0,150,1,150,-1695.7348752358262,-2045.7860644974335,7,TRUE,TRUE,SP_Sigma0,NA,NA,0
