spec,basis,window,det_tag,r_star,IC_star,p_star
Q1,ortho,fordism,SR_const__LR_none,1,-615.4281090791286,1
Q1,ortho,fordism,SR_none__LR_const,1,-624.1646940831345,1
Q1,ortho,fordism,SR_none__LR_none,0,-617.6500052352437,1
Q1,ortho,full,SR_const__LR_none,1,-1109.171953973989,1
Q1,ortho,full,SR_none__LR_const,1,-1111.1233233513287,1
Q1,ortho,full,SR_none__LR_none,0,-1108.009550297617,1
Q1,ortho,post_fordism,SR_const__LR_none,0,-780.1979123588033,1
Q1,ortho,post_fordism,SR_none__LR_const,1,-781.703772293601,1
Q1,ortho,post_fordism,SR_none__LR_none,1,-782.6420307874453,1
Q1,raw,fordism,SR_const__LR_none,1,-615.4281090791286,1
Q1,raw,fordism,SR_none__LR_const,1,-624.1646940831345,1
Q1,raw,fordism,SR_none__LR_none,0,-617.6500052352437,1
Q1,raw,full,SR_const__LR_none,1,-1109.171953973989,1
Q1,raw,full,SR_none__LR_const,1,-1111.1233233513287,1
Q1,raw,full,SR_none__LR_none,0,-1108.009550297617,1
Q1,raw,post_fordism,SR_const__LR_none,0,-780.1979123588033,1
Q1,raw,post_fordism,SR_none__LR_const,1,-781.703772293601,1
Q1,raw,post_fordism,SR_none__LR_none,1,-782.6420307874453,1
Q2,ortho,fordism,SR_const__LR_none,2,-3061.644746311335,7
Q2,ortho,fordism,SR_none__LR_const,1,-2041.939567061326,7
Q2,ortho,fordism,SR_none__LR_none,3,-4329.438414032905,7
Q2,ortho,full,SR_const__LR_none,0,-1615.3554461286933,1
Q2,ortho,full,SR_none__LR_const,0,-1622.1767256702708,1
Q2,ortho,full,SR_none__LR_none,0,-1622.1767256702708,1
Q2,ortho,post_fordism,SR_const__LR_none,3,-4767.3276847063535,7
Q2,ortho,post_fordism,SR_none__LR_const,3,-4353.312437645502,7
Q2,ortho,post_fordism,SR_none__LR_none,3,-4273.326750956538,7
Q2,raw,fordism,SR_const__LR_none,2,-913.71419701229,1
Q2,raw,fordism,SR_none__LR_const,3,-4744.732519199897,7
Q2,raw,fordism,SR_none__LR_none,1,-1912.6012269904154,7
Q2,raw,full,SR_const__LR_none,0,-1619.881357879344,1
Q2,raw,full,SR_none__LR_const,0,-1626.702637420926,1
Q2,raw,full,SR_none__LR_none,0,-1626.702637420926,1
Q2,raw,post_fordism,SR_const__LR_none,1,-2273.8466521296295,7
Q2,raw,post_fordism,SR_none__LR_const,1,-2194.543142017462,7
Q2,raw,post_fordism,SR_none__LR_none,2,-3449.494081550655,7
Q3,ortho,fordism,SR_const__LR_none,0,-2276.2404069260047,6
Q3,ortho,fordism,SR_none__LR_const,0,-1117.9310350820333,6
Q3,ortho,fordism,SR_none__LR_none,3,-4569.219935699925,6
Q3,ortho,full,SR_const__LR_none,1,-1809.2936330565992,1
Q3,ortho,full,SR_none__LR_const,1,-1821.2420412144756,1
Q3,ortho,full,SR_none__LR_none,1,-1826.3245768470174,1
Q3,ortho,post_fordism,SR_const__LR_none,4,-5757.9072230935435,6
Q3,ortho,post_fordism,SR_none__LR_const,0,-1093.6947099629206,6
Q3,ortho,post_fordism,SR_none__LR_none,5,-5367.202050356007,6
Q3,raw,fordism,SR_const__LR_none,2,-1463.1803153385981,1
Q3,raw,fordism,SR_none__LR_const,0,-1539.2016226985147,6
Q3,raw,fordism,SR_none__LR_none,2,-3484.7030755119044,6
Q3,raw,full,SR_const__LR_none,1,-2605.625243013305,1
Q3,raw,full,SR_none__LR_const,1,-2617.573651077195,1
Q3,raw,full,SR_none__LR_none,1,-2622.656186799414,1
Q3,raw,post_fordism,SR_const__LR_none,0,-1547.6532924024725,1
Q3,raw,post_fordism,SR_none__LR_const,4,-6115.710507490404,6
Q3,raw,post_fordism,SR_none__LR_none,4,-5685.318968073101,6
