spec,basis,window,det_tag,T_window,m,p_max_feasible
Q1,ortho,fordism,SR_const__LR_none,49,4,7
Q1,ortho,fordism,SR_none__LR_const,49,4,7
Q1,ortho,fordism,SR_none__LR_none,49,4,7
Q1,ortho,full,SR_const__LR_none,99,4,7
Q1,ortho,full,SR_none__LR_const,99,4,7
Q1,ortho,full,SR_none__LR_none,99,4,7
Q1,ortho,post_fordism,SR_const__LR_none,50,4,7
Q1,ortho,post_fordism,SR_none__LR_const,50,4,7
Q1,ortho,post_fordism,SR_none__LR_none,50,4,7
Q1,raw,fordism,SR_const__LR_none,49,4,7
Q1,raw,fordism,SR_none__LR_const,49,4,7
Q1,raw,fordism,SR_none__LR_none,49,4,7
Q1,raw,full,SR_const__LR_none,99,4,7
Q1,raw,full,SR_none__LR_const,99,4,7
Q1,raw,full,SR_none__LR_none,99,4,7
Q1,raw,post_fordism,SR_const__LR_none,50,4,7
Q1,raw,post_fordism,SR_none__LR_const,50,4,7
Q1,raw,post_fordism,SR_none__LR_none,50,4,7
Q2,ortho,fordism,SR_const__LR_none,49,5,7
Q2,ortho,fordism,SR_none__LR_const,49,5,7
Q2,ortho,fordism,SR_none__LR_none,49,5,7
Q2,ortho,full,SR_const__LR_none,99,5,7
Q2,ortho,full,SR_none__LR_const,99,5,7
Q2,ortho,full,SR_none__LR_none,99,5,7
Q2,ortho,post_fordism,SR_const__LR_none,50,5,7
Q2,ortho,post_fordism,SR_none__LR_const,50,5,7
Q2,ortho,post_fordism,SR_none__LR_none,50,5,7
Q2,raw,fordism,SR_const__LR_none,49,5,7
Q2,raw,fordism,SR_none__LR_const,49,5,7
Q2,raw,fordism,SR_none__LR_none,49,5,7
Q2,raw,full,SR_const__LR_none,99,5,7
Q2,raw,full,SR_none__LR_const,99,5,7
Q2,raw,full,SR_none__LR_none,99,5,7
Q2,raw,post_fordism,SR_const__LR_none,50,5,7
Q2,raw,post_fordism,SR_none__LR_const,50,5,7
Q2,raw,post_fordism,SR_none__LR_none,50,5,7
Q3,ortho,fordism,SR_const__LR_none,49,6,6
Q3,ortho,fordism,SR_none__LR_const,49,6,6
Q3,ortho,fordism,SR_none__LR_none,49,6,6
Q3,ortho,full,SR_const__LR_none,99,6,7
Q3,ortho,full,SR_none__LR_const,99,6,7
Q3,ortho,full,SR_none__LR_none,99,6,7
Q3,ortho,post_fordism,SR_const__LR_none,50,6,6
Q3,ortho,post_fordism,SR_none__LR_const,50,6,6
Q3,ortho,post_fordism,SR_none__LR_none,50,6,6
Q3,raw,fordism,SR_const__LR_none,49,6,5
Q3,raw,fordism,SR_none__LR_const,49,6,6
Q3,raw,fordism,SR_none__LR_none,49,6,6
Q3,raw,full,SR_const__LR_none,99,6,7
Q3,raw,full,SR_none__LR_const,99,6,7
Q3,raw,full,SR_none__LR_none,99,6,7
Q3,raw,post_fordism,SR_const__LR_none,50,6,6
Q3,raw,post_fordism,SR_none__LR_const,50,6,6
Q3,raw,post_fordism,SR_none__LR_none,50,6,6
