spec,basis,window,det_tag,p,share_computed,n_r_computed,min_r_computed,max_r_computed,r0_ok,r1_ok,r1_fail,T_window,T_eff,m
Q1,ortho,fordism,SR_const__LR_none,1,1,4,0,3,TRUE,TRUE,FALSE,49,48,4
Q1,ortho,fordism,SR_const__LR_none,2,1,4,0,3,TRUE,TRUE,FALSE,49,47,4
Q1,ortho,fordism,SR_const__LR_none,3,1,4,0,3,TRUE,TRUE,FALSE,49,46,4
Q1,ortho,fordism,SR_const__LR_none,4,1,4,0,3,TRUE,TRUE,FALSE,49,45,4
Q1,ortho,fordism,SR_const__LR_none,5,1,4,0,3,TRUE,TRUE,FALSE,49,44,4
Q1,ortho,fordism,SR_const__LR_none,6,1,4,0,3,TRUE,TRUE,FALSE,49,43,4
Q1,ortho,fordism,SR_const__LR_none,7,1,4,0,3,TRUE,TRUE,FALSE,49,42,4
Q1,ortho,fordism,SR_none__LR_const,1,1,4,0,3,TRUE,TRUE,FALSE,49,48,4
Q1,ortho,fordism,SR_none__LR_const,2,1,4,0,3,TRUE,TRUE,FALSE,49,47,4
Q1,ortho,fordism,SR_none__LR_const,3,1,4,0,3,TRUE,TRUE,FALSE,49,46,4
Q1,ortho,fordism,SR_none__LR_const,4,1,4,0,3,TRUE,TRUE,FALSE,49,45,4
Q1,ortho,fordism,SR_none__LR_const,5,1,4,0,3,TRUE,TRUE,FALSE,49,44,4
Q1,ortho,fordism,SR_none__LR_const,6,1,4,0,3,TRUE,TRUE,FALSE,49,43,4
Q1,ortho,fordism,SR_none__LR_const,7,1,4,0,3,TRUE,TRUE,FALSE,49,42,4
Q1,ortho,fordism,SR_none__LR_none,1,1,4,0,3,TRUE,TRUE,FALSE,49,48,4
Q1,ortho,fordism,SR_none__LR_none,2,1,4,0,3,TRUE,TRUE,FALSE,49,47,4
Q1,ortho,fordism,SR_none__LR_none,3,1,4,0,3,TRUE,TRUE,FALSE,49,46,4
Q1,ortho,fordism,SR_none__LR_none,4,1,4,0,3,TRUE,TRUE,FALSE,49,45,4
Q1,ortho,fordism,SR_none__LR_none,5,1,4,0,3,TRUE,TRUE,FALSE,49,44,4
Q1,ortho,fordism,SR_none__LR_none,6,1,4,0,3,TRUE,TRUE,FALSE,49,43,4
Q1,ortho,fordism,SR_none__LR_none,7,1,4,0,3,TRUE,TRUE,FALSE,49,42,4
Q1,raw,fordism,SR_const__LR_none,1,1,4,0,3,TRUE,TRUE,FALSE,49,48,4
Q1,raw,fordism,SR_const__LR_none,2,1,4,0,3,TRUE,TRUE,FALSE,49,47,4
Q1,raw,fordism,SR_const__LR_none,3,1,4,0,3,TRUE,TRUE,FALSE,49,46,4
Q1,raw,fordism,SR_const__LR_none,4,1,4,0,3,TRUE,TRUE,FALSE,49,45,4
Q1,raw,fordism,SR_const__LR_none,5,1,4,0,3,TRUE,TRUE,FALSE,49,44,4
Q1,raw,fordism,SR_const__LR_none,6,1,4,0,3,TRUE,TRUE,FALSE,49,43,4
Q1,raw,fordism,SR_const__LR_none,7,1,4,0,3,TRUE,TRUE,FALSE,49,42,4
