spec,basis,window,det_tag,n_cells,share_computed,n_fail,p_min,p_max,r_min,r_max,T_window,m
Q3,raw,fordism,SR_const__LR_none,42,0.7142857142857143,12,1,7,0,5,49,6
Q3,ortho,fordism,SR_const__LR_none,42,0.7380952380952381,11,1,7,0,5,49,6
Q3,ortho,fordism,SR_none__LR_const,42,0.7380952380952381,11,1,7,0,5,49,6
Q3,raw,fordism,SR_none__LR_const,42,0.7380952380952381,11,1,7,0,5,49,6
Q3,ortho,post_fordism,SR_none__LR_const,42,0.7380952380952381,11,1,7,0,5,50,6
Q3,raw,post_fordism,SR_const__LR_none,42,0.7380952380952381,11,1,7,0,5,50,6
Q3,raw,fordism,SR_none__LR_none,42,0.7619047619047619,10,1,7,0,5,49,6
Q3,ortho,post_fordism,SR_const__LR_none,42,0.7857142857142857,9,1,7,0,5,50,6
Q3,ortho,post_fordism,SR_none__LR_none,42,0.7857142857142857,9,1,7,0,5,50,6
Q3,ortho,fordism,SR_none__LR_none,42,0.8095238095238095,8,1,7,0,5,49,6
Q3,raw,post_fordism,SR_none__LR_none,42,0.8095238095238095,8,1,7,0,5,50,6
Q3,raw,post_fordism,SR_none__LR_const,42,0.8333333333333334,7,1,7,0,5,50,6
Q2,raw,fordism,SR_const__LR_none,35,0.8857142857142857,4,1,7,0,4,49,5
Q2,ortho,fordism,SR_none__LR_const,35,0.9142857142857143,3,1,7,0,4,49,5
Q2,raw,fordism,SR_none__LR_const,35,0.9142857142857143,3,1,7,0,4,49,5
Q2,raw,fordism,SR_none__LR_none,35,0.9142857142857143,3,1,7,0,4,49,5
Q2,raw,post_fordism,SR_const__LR_none,35,0.9142857142857143,3,1,7,0,4,50,5
Q2,raw,post_fordism,SR_none__LR_const,35,0.9142857142857143,3,1,7,0,4,50,5
Q2,raw,post_fordism,SR_none__LR_none,35,0.9142857142857143,3,1,7,0,4,50,5
Q2,ortho,fordism,SR_const__LR_none,35,0.9428571428571428,2,1,7,0,4,49,5
Q2,ortho,fordism,SR_none__LR_none,35,0.9428571428571428,2,1,7,0,4,49,5
Q2,ortho,post_fordism,SR_const__LR_none,35,0.9428571428571428,2,1,7,0,4,50,5
Q2,ortho,post_fordism,SR_none__LR_const,35,0.9428571428571428,2,1,7,0,4,50,5
Q2,ortho,post_fordism,SR_none__LR_none,35,0.9714285714285714,1,1,7,0,4,50,5
Q1,ortho,fordism,SR_const__LR_none,28,1,0,1,7,0,3,49,4
Q1,ortho,fordism,SR_none__LR_const,28,1,0,1,7,0,3,49,4
Q1,ortho,fordism,SR_none__LR_none,28,1,0,1,7,0,3,49,4
Q1,raw,fordism,SR_const__LR_none,28,1,0,1,7,0,3,49,4
Q1,raw,fordism,SR_none__LR_const,28,1,0,1,7,0,3,49,4
Q1,raw,fordism,SR_none__LR_none,28,1,0,1,7,0,3,49,4
Q1,ortho,full,SR_const__LR_none,28,1,0,1,7,0,3,99,4
Q1,ortho,full,SR_none__LR_const,28,1,0,1,7,0,3,99,4
Q1,ortho,full,SR_none__LR_none,28,1,0,1,7,0,3,99,4
Q1,raw,full,SR_const__LR_none,28,1,0,1,7,0,3,99,4
Q1,raw,full,SR_none__LR_const,28,1,0,1,7,0,3,99,4
Q1,raw,full,SR_none__LR_none,28,1,0,1,7,0,3,99,4
Q1,ortho,post_fordism,SR_const__LR_none,28,1,0,1,7,0,3,50,4
Q1,ortho,post_fordism,SR_none__LR_const,28,1,0,1,7,0,3,50,4
Q1,ortho,post_fordism,SR_none__LR_none,28,1,0,1,7,0,3,50,4
Q1,raw,post_fordism,SR_const__LR_none,28,1,0,1,7,0,3,50,4
Q1,raw,post_fordism,SR_none__LR_const,28,1,0,1,7,0,3,50,4
Q1,raw,post_fordism,SR_none__LR_none,28,1,0,1,7,0,3,50,4
Q2,ortho,full,SR_const__LR_none,35,1,0,1,7,0,4,99,5
Q2,ortho,full,SR_none__LR_const,35,1,0,1,7,0,4,99,5
Q2,ortho,full,SR_none__LR_none,35,1,0,1,7,0,4,99,5
Q2,raw,full,SR_const__LR_none,35,1,0,1,7,0,4,99,5
Q2,raw,full,SR_none__LR_const,35,1,0,1,7,0,4,99,5
Q2,raw,full,SR_none__LR_none,35,1,0,1,7,0,4,99,5
Q3,ortho,full,SR_const__LR_none,42,1,0,1,7,0,5,99,6
Q3,ortho,full,SR_none__LR_const,42,1,0,1,7,0,5,99,6
Q3,ortho,full,SR_none__LR_none,42,1,0,1,7,0,5,99,6
Q3,raw,full,SR_const__LR_none,42,1,0,1,7,0,5,99,6
Q3,raw,full,SR_none__LR_const,42,1,0,1,7,0,5,99,6
Q3,raw,full,SR_none__LR_none,42,1,0,1,7,0,5,99,6
