spec,basis,det_tag,T_window,m,r1_possible,p_candidate_r1,p_max_feasible_r1,n_p_r1_ok
Q1,ortho,SR_const__LR_none,50,4,TRUE,1,7,7
Q1,ortho,SR_none__LR_const,50,4,TRUE,1,7,7
Q1,ortho,SR_none__LR_none,50,4,TRUE,1,7,7
Q1,raw,SR_const__LR_none,50,4,TRUE,1,7,7
Q1,raw,SR_none__LR_const,50,4,TRUE,1,7,7
Q1,raw,SR_none__LR_none,50,4,TRUE,1,7,7
Q2,ortho,SR_const__LR_none,50,5,TRUE,1,6,6
Q2,ortho,SR_none__LR_const,50,5,TRUE,1,6,6
Q2,ortho,SR_none__LR_none,50,5,TRUE,1,7,7
Q2,raw,SR_const__LR_none,50,5,TRUE,1,7,7
Q2,raw,SR_none__LR_const,50,5,TRUE,1,7,7
Q2,raw,SR_none__LR_none,50,5,TRUE,1,6,6
Q3,ortho,SR_const__LR_none,50,6,TRUE,1,5,5
Q3,ortho,SR_none__LR_const,50,6,TRUE,1,5,5
Q3,ortho,SR_none__LR_none,50,6,TRUE,1,6,6
Q3,raw,SR_const__LR_none,50,6,TRUE,1,5,5
Q3,raw,SR_none__LR_const,50,6,TRUE,1,5,5
Q3,raw,SR_none__LR_none,50,6,TRUE,1,6,6
