ADF,PP,DF.GL,ERS.PO,KPSS
-3.81**,-2.27,-2.20,6.49*,0.08
-1.96,-1.55,-1.46,31.57,0.14*
-3.83***,-2.61*,-1.96**,1.26***,0.12
-3.83***,-2.61*,-1.96**,1.26***,0.12
-3.94**,-3.05,-1.43,8.97,0.12*
-4.08**,-2.93,-1.81,5.79*,0.10
-3.87**,-2.85,-1.99,5.03**,0.10
-3.25**,-2.45,-1.87*,1.65***,0.12
-5.10***,-2.68*,-2.98***,0.47***,0.30
-4.59***,-2.96**,-2.39**,0.60***,0.21
-3.67***,-3.11**,-2.72***,0.95***,0.14
-2.67*,-2.62*,-1.75*,1.97**,0.40*
-5.51***,-4.61***,-2.27**,0.63***,0.09
-5.51***,-4.61***,-2.27**,0.63***,0.09
-5.16***,-5.43***,-2.63***,0.76***,0.23
-5.28***,-5.90***,-2.49**,0.77***,0.14
-5.29***,-6.05***,-2.38**,0.79***,0.11
-5.30***,-5.56***,-2.44**,0.69***,0.10
-6.86***,-5.90***,-4.60***,0.37***,0.14
-7.50***,-6.06***,-3.90***,0.30***,0.09
