"year","S29C_nominal_ME_NRC","S29C_real_ME_NRC","S29C_real_ME_NRC_index_1947_100","S29C_nominal_ME_NRC_index_1947_100","S29C_ME_real_investment","S29C_ME_real_index_1947_100","S29C_NRC_real_investment","S29C_NRC_real_index_1947_100","shaikh_asset_input_diagnostic_investment","shaikh_asset_input_index_1947_100","chapter2_diagnostic_input_investment","chapter2_diagnostic_input_index_1947_100","context_note"
1901,1561,1723395.05606458,81.5708536538484,10.2744685052327,407832.614810652,44.8598317708288,1315562.44125393,109.299399671798,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1902,1909,2139967.95620989,101.28786917756,12.5649970381097,459264.436571853,50.5171107330469,1680703.51963804,139.636006594732,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1903,2147,2402038.07234246,113.692037922776,14.1315079312841,522286.528025719,57.4492694613988,1879751.54431674,156.17329051301,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1904,1940,2188551.6109976,103.587405886053,12.7690383729349,449847.342446562,49.4812709230632,1738704.26855104,144.454817802707,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1905,2070,2274409.25448655,107.651175970258,13.6246955834924,554159.769680548,60.9551888182664,1720249.484806,142.921559691079,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1906,2482,2678556.34207163,126.780059286955,16.3364707431054,723667.463935774,79.6003053979714,1954888.87813586,162.415841396069,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1907,2776,2980598.59514539,141.076168780862,18.2715724346739,827979.89116976,91.0742232931745,2152618.70397563,178.843606877802,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1908,2068,2347780.15065063,111.123929714323,13.6115316264069,461437.612139228,50.756150689197,1886342.5385114,156.720882695734,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1909,2425,2734056.54454337,129.406966494127,15.9612979661686,564301.25566163,62.0707086136334,2169755.28888174,180.267346552886,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1910,2892,3243363.95234242,153.513244320678,19.0350819456329,693967.39784832,76.3334259972538,2549396.5544941,211.808656277813,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1911,2664,2994475.82459916,141.732998710199,17.5343908378859,630945.306394454,69.401267268902,2363530.51820471,196.366556724984,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1912,3040,3266847.16237679,154.624739611497,20.0092147699599,903316.644172083,99.3609417730434,2363530.51820471,196.366556724984,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1913,3269,3441046.19511703,162.869839164436,21.5164878562496,1059060.89316727,116.492138630465,2381985.30194976,197.899814836613,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1914,2516,2675870.54394409,126.652936463181,16.5602580135589,781618.8123991,85.9747042286398,1894251.73154499,157.377993315004,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1915,2304,2359002.55015272,111.655102589752,15.1648785624959,827255.499313968,90.9945433077911,1531747.05083875,127.26042326516,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1916,3404,3380886.43813359,160.02238830546,22.4050549595208,1349542.02733969,148.44381276919,2031344.4107939,168.767910715672,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1917,4530,4316500.67834921,204.306403161207,29.8163627986573,2018880.10209109,222.068119263409,2297620.57625812,190.890634897739,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1918,5337,4912367.23865268,232.509654538014,35.1280194826565,2589700.88445485,284.855947745493,2322666.35419783,192.971485192093,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1919,5627,5284550.18322951,250.125627380516,37.036793260054,2602015.5460033,286.21050749701,2682534.63722621,222.870018368847,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1920,7131,7046818.84623792,333.536426722878,46.9360889883499,2870764.92450198,315.771782074235,4176053.92173594,346.954406974205,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
1921,5095,4966273.90504324,235.061137310137,33.535180675311,2134782.79901774,234.816916924746,2831491.1060255,235.245601698419,NA,NA,NA,NA,"D03 does not require agreement with Shaikh; Shaikh paths are diagnostic context for S29C provenance."
