"year","asset","nominal_investment","real_or_quantity_input","recovered_implicit_price","S12D_B_price","S29C_deflator","D03_deflator","absolute_difference_vs_S12D_B","relative_difference_vs_S12D_B","absolute_difference_vs_S29C","relative_difference_vs_S29C","recovery_status","notes"
1901,"ME",563,407832.614810651,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.000000000000000222044604925031,0.00000000000000160847303430149,0.000000000000000222044604925031,0.00000000000000160847303430149,"PASS","Seed year: price is carried from initialization, not directly recovered."
1902,"ME",634,459264.436571853,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,-0.0000000000000000555111512312578,-0.000000000000000402118258575371,-0.0000000000000000555111512312578,-0.000000000000000402118258575371,"PASS","Seed year: price is carried from initialization, not directly recovered."
1903,"ME",721,522286.528025719,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.0000000000000000277555756156289,0.000000000000000201059129287686,0.0000000000000000277555756156289,0.000000000000000201059129287686,"PASS","Seed year: price is carried from initialization, not directly recovered."
1904,"ME",621,449847.342446562,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.000000000000000138777878078145,0.00000000000000100529564643843,0.000000000000000138777878078145,0.00000000000000100529564643843,"PASS","Seed year: price is carried from initialization, not directly recovered."
1905,"ME",765,554159.769680548,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0,0,0,0,"PASS","Seed year: price is carried from initialization, not directly recovered."
1906,"ME",999,723667.463935774,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.0000000000000000555111512312578,0.000000000000000402118258575371,0.0000000000000000555111512312578,0.000000000000000402118258575371,"PASS","Seed year: price is carried from initialization, not directly recovered."
1907,"ME",1143,827979.89116976,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,-0.0000000000000000277555756156289,-0.000000000000000201059129287686,-0.0000000000000000277555756156289,-0.000000000000000201059129287686,"PASS","Seed year: price is carried from initialization, not directly recovered."
1908,"ME",637,461437.612139227,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.000000000000000166533453693773,0.00000000000000120635477572611,0.000000000000000166533453693773,0.00000000000000120635477572611,"PASS","Seed year: price is carried from initialization, not directly recovered."
1909,"ME",779,564301.25566163,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,-0.0000000000000000277555756156289,-0.000000000000000201059129287686,-0.0000000000000000277555756156289,-0.000000000000000201059129287686,"PASS","Seed year: price is carried from initialization, not directly recovered."
1910,"ME",958,693967.39784832,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.0000000000000000555111512312578,0.000000000000000402118258575371,0.0000000000000000555111512312578,0.000000000000000402118258575371,"PASS","Seed year: price is carried from initialization, not directly recovered."
1911,"ME",871,630945.306394454,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0,0,0,0,"PASS","Seed year: price is carried from initialization, not directly recovered."
1912,"ME",1247,903316.644172082,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.000000000000000111022302462516,0.000000000000000804236517150743,0.000000000000000111022302462516,0.000000000000000804236517150743,"PASS","Seed year: price is carried from initialization, not directly recovered."
1913,"ME",1462,1059060.89316727,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,-0.0000000000000000832667268468867,-0.000000000000000603177387863057,-0.0000000000000000832667268468867,-0.000000000000000603177387863057,"PASS","Seed year: price is carried from initialization, not directly recovered."
1914,"ME",1079,781618.812399099,0.138046830869912,0.138046830869912,0.138046830869912,0.138046830869912,0.000000000000000111022302462516,0.000000000000000804236517150743,0.000000000000000111022302462516,0.000000000000000804236517150743,"PASS","Seed year: price is carried from initialization, not directly recovered."
