"object_name","asset","stage_detected","file_path","object_type","nominal_or_real_or_price","unit","price_basis","start_year","end_year","observations","source_hash","notes"
"I_NOM_NFC_ME_DIRECT","ME","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","canonical_direct_nominal_investment","nominal","Millions of current dollars","current_cost",1901,2024,124,"130ED197A61000F9D5DA8E38F86521F59862FE04966745FBAB2E13B7AD8A9312","FAAt407 | 38 | Equipment"
"K_NET_CC_NFC_ME_VALIDATION","ME","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","current_cost_stock_validation","nominal_stock_anchor","Millions of current dollars","current_cost",1925,2024,100,"130ED197A61000F9D5DA8E38F86521F59862FE04966745FBAB2E13B7AD8A9312","FAAt401 | 38 | Equipment"
"Q_K_BEAFIXEDASSETS_ME_VALIDATION","ME","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","quantity_index_validation_only","quantity","Chain-type quantity index","chain_quantity_index",1925,2024,100,"130ED197A61000F9D5DA8E38F86521F59862FE04966745FBAB2E13B7AD8A9312","FAAt402 | 38 | Equipment"
"I_NOMINAL_DIRECT_ME","ME","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","nominal investment column","nominal","Millions of current dollars","current_cost",1901,2024,124,"9E3AC728497D7AA712968DBD8018361725E3F21FD45ECDE535F6F2757C182D77","Column nominal_investment_current_millions in S12D_B_real_investment_flows."
"I_REAL_NFC_ME_SFC_BASELINE","ME","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","real investment flow","real","millions_2017_dollars","SFC implicit price deflated",1901,2024,124,"9E3AC728497D7AA712968DBD8018361725E3F21FD45ECDE535F6F2757C182D77","Column real_investment_2017_millions in S12D_B_real_investment_flows."
"ME_S12D_B_PRICE_COLUMN","ME","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","price column used for deflation","price","index_2017_100","SFC implicit price",1901,2024,124,"9E3AC728497D7AA712968DBD8018361725E3F21FD45ECDE535F6F2757C182D77","Column sfc_implicit_price_index_2017_100; seed years are flagged in price_status."
"P_K_SFC_IMPL_NFC_ME","ME","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_sfc_implicit_price_indexes.csv","SFC implicit baseline price index","price","index_2017_100","recursive SFC recovery",1925,2024,100,"CD9CE5EF25667853AEB46BA9C8E0F3EB35D7749552E0357604D039D0A448CCA1","RECOVERED_SFC_BASELINE_PRICE"
"I_ME_REAL_2017","ME","S29C","output/US/S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION/csv/S29C_fixed_assets_price_real_investment_long.csv","derived real investment flow","real","millions_2017_dollars","S12D_B deflated nominal",1901,2024,124,"491BBD4EBA2DA6AE965904F11B265C4A5553E3FA1D00903B8BCCCAA561DBBF8E","S29C downstream consumer of S12D_B real flow."
"P_ME_2017","ME","S29C","output/US/S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION/csv/S29C_fixed_assets_price_real_investment_long.csv","derived fixed-asset deflator","price","index_2017_100","S12D_B locked SFC price",1901,2024,124,"491BBD4EBA2DA6AE965904F11B265C4A5553E3FA1D00903B8BCCCAA561DBBF8E","S29C downstream consumer of S12D_B price column."
"I_NOM_NFC_NRC_DIRECT","NRC","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","canonical_direct_nominal_investment","nominal","Millions of current dollars","current_cost",1901,2024,124,"130ED197A61000F9D5DA8E38F86521F59862FE04966745FBAB2E13B7AD8A9312","FAAt407 | 39 | Structures"
"K_NET_CC_NFC_NRC_VALIDATION","NRC","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","current_cost_stock_validation","nominal_stock_anchor","Millions of current dollars","current_cost",1925,2024,100,"130ED197A61000F9D5DA8E38F86521F59862FE04966745FBAB2E13B7AD8A9312","FAAt401 | 39 | Structures"
"Q_K_BEAFIXEDASSETS_NRC_VALIDATION","NRC","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","quantity_index_validation_only","quantity","Chain-type quantity index","chain_quantity_index",1925,2024,100,"130ED197A61000F9D5DA8E38F86521F59862FE04966745FBAB2E13B7AD8A9312","FAAt402 | 39 | Structures"
"I_NOMINAL_DIRECT_NRC","NRC","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","nominal investment column","nominal","Millions of current dollars","current_cost",1901,2024,124,"9E3AC728497D7AA712968DBD8018361725E3F21FD45ECDE535F6F2757C182D77","Column nominal_investment_current_millions in S12D_B_real_investment_flows."
"I_REAL_NFC_NRC_SFC_BASELINE","NRC","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","real investment flow","real","millions_2017_dollars","SFC implicit price deflated",1901,2024,124,"9E3AC728497D7AA712968DBD8018361725E3F21FD45ECDE535F6F2757C182D77","Column real_investment_2017_millions in S12D_B_real_investment_flows."
"NRC_S12D_B_PRICE_COLUMN","NRC","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","price column used for deflation","price","index_2017_100","SFC implicit price",1901,2024,124,"9E3AC728497D7AA712968DBD8018361725E3F21FD45ECDE535F6F2757C182D77","Column sfc_implicit_price_index_2017_100; seed years are flagged in price_status."
"P_K_SFC_IMPL_NFC_NRC","NRC","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_sfc_implicit_price_indexes.csv","SFC implicit baseline price index","price","index_2017_100","recursive SFC recovery",1931,2024,94,"CD9CE5EF25667853AEB46BA9C8E0F3EB35D7749552E0357604D039D0A448CCA1","RECOVERED_SFC_BASELINE_PRICE"
"I_NRC_REAL_2017","NRC","S29C","output/US/S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION/csv/S29C_fixed_assets_price_real_investment_long.csv","derived real investment flow","real","millions_2017_dollars","S12D_B deflated nominal",1901,2024,124,"491BBD4EBA2DA6AE965904F11B265C4A5553E3FA1D00903B8BCCCAA561DBBF8E","S29C downstream consumer of S12D_B real flow."
"P_NRC_2017","NRC","S29C","output/US/S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION/csv/S29C_fixed_assets_price_real_investment_long.csv","derived fixed-asset deflator","price","index_2017_100","S12D_B locked SFC price",1901,2024,124,"491BBD4EBA2DA6AE965904F11B265C4A5553E3FA1D00903B8BCCCAA561DBBF8E","S29C downstream consumer of S12D_B price column."
