"year","asset","S12D_B_nominal","S12D_B_price_or_deflator","S12D_B_real_or_quantity","S29C_nominal","S29C_deflator","S29C_real_investment","nominal_difference","price_difference","real_difference","bridge_status","notes"
1901,"ME",563,0.138046830869912,407832.614810651,563,0.138046830869912,407832.614810652,0,0,-0.000000000989530235528946,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1902,"ME",634,0.138046830869912,459264.436571853,634,0.138046830869912,459264.436571853,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1903,"ME",721,0.138046830869912,522286.528025719,721,0.138046830869912,522286.528025719,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1904,"ME",621,0.138046830869912,449847.342446562,621,0.138046830869912,449847.342446562,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1905,"ME",765,0.138046830869912,554159.769680548,765,0.138046830869912,554159.769680548,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1906,"ME",999,0.138046830869912,723667.463935774,999,0.138046830869912,723667.463935774,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1907,"ME",1143,0.138046830869912,827979.89116976,1143,0.138046830869912,827979.89116976,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1908,"ME",637,0.138046830869912,461437.612139227,637,0.138046830869912,461437.612139228,0,0,-0.000000000989530235528946,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1909,"ME",779,0.138046830869912,564301.25566163,779,0.138046830869912,564301.25566163,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1910,"ME",958,0.138046830869912,693967.39784832,958,0.138046830869912,693967.39784832,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1911,"ME",871,0.138046830869912,630945.306394454,871,0.138046830869912,630945.306394454,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1912,"ME",1247,0.138046830869912,903316.644172082,1247,0.138046830869912,903316.644172083,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1913,"ME",1462,0.138046830869912,1059060.89316727,1462,0.138046830869912,1059060.89316727,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1914,"ME",1079,0.138046830869912,781618.812399099,1079,0.138046830869912,781618.8123991,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1915,"ME",1142,0.138046830869912,827255.499313968,1142,0.138046830869912,827255.499313968,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1916,"ME",1863,0.138046830869912,1349542.02733969,1863,0.138046830869912,1349542.02733969,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1917,"ME",2787,0.138046830869912,2018880.10209109,2787,0.138046830869912,2018880.10209109,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1918,"ME",3575,0.138046830869912,2589700.88445485,3575,0.138046830869912,2589700.88445485,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1919,"ME",3592,0.138046830869912,2602015.5460033,3592,0.138046830869912,2602015.5460033,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1920,"ME",3963,0.138046830869912,2870764.92450197,3963,0.138046830869912,2870764.92450198,0,0,-0.0000000102445483207703,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1921,"ME",2947,0.138046830869912,2134782.79901774,2947,0.138046830869912,2134782.79901774,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1922,"ME",3010,0.138046830869912,2180419.48593261,3010,0.138046830869912,2180419.48593261,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1923,"ME",4195,0.138046830869912,3038823.83504562,4195,0.138046830869912,3038823.83504562,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1924,"ME",2987,0.138046830869912,2163758.47324941,2987,0.138046830869912,2163758.47324941,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1925,"ME",3723,0.165751066045442,2246139.39977876,3723,0.165751066045442,2246139.39977877,0,0,-0.00000000977888703346252,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1926,"ME",3311,0.175243989717178,1889365.7952798,3311,0.175243989717178,1889365.79527979,0,0,0.0000000100117176771164,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1927,"ME",2915,0.183225105851279,1590939.18186412,2915,0.183225105851279,1590939.18186412,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1928,"ME",3083,0.191216837015222,1612305.71958188,3083,0.191216837015222,1612305.71958189,0,0,-0.0000000100117176771164,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1929,"ME",3407,0.19262019995476,1768765.68542665,3407,0.19262019995476,1768765.68542665,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1930,"ME",2778,0.189328078883266,1467294.24202991,2778,0.189328078883266,1467294.24202991,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1931,"ME",1850,0.186916122457718,989748.757718044,1850,0.186916122457718,989748.757718043,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1932,"ME",1175,0.188340889928834,623868.773501062,1175,0.188340889928834,623868.773501061,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1933,"ME",1167,0.214587127078197,543835.045414787,1167,0.214587127078197,543835.045414787,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1934,"ME",1566,0.245747237114414,637240.124604496,1566,0.245747237114414,637240.124604497,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1935,"ME",1864,0.264797719173704,703933.555703037,1864,0.264797719173704,703933.555703038,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1936,"ME",2476,0.303224462214825,816556.811384773,2476,0.303224462214825,816556.811384773,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1937,"ME",3121,0.33753685745016,924639.763365942,3121,0.33753685745016,924639.763365943,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1938,"ME",2304,0.370209546678964,622350.239389684,2304,0.370209546678964,622350.239389685,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1939,"ME",2550,0.406645590668492,627081.679604101,2550,0.406645590668492,627081.679604102,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1940,"ME",3356,0.458483669433521,731978.08858634,3356,0.458483669433521,731978.08858634,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1941,"ME",4044,0.537675013141453,752127.196012379,4044,0.537675013141453,752127.196012379,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1942,"ME",3244,0.595196934772763,545029.688575011,3244,0.595196934772763,545029.688575011,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1943,"ME",2870,0.656587524330709,437108.518460738,2870,0.656587524330709,437108.518460738,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1944,"ME",3724,0.695315189234166,535584.445393993,3724,0.695315189234166,535584.445393993,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1945,"ME",5225,0.814024529826195,641872.549112937,5225,0.814024529826195,641872.549112937,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1946,"ME",6994,0.970962315133967,720316.318253301,6994,0.970962315133967,720316.3182533,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1947,"ME",9960,1.09555711880693,909126.49181145,9960,1.09555711880693,909126.491811446,0,0,0.00000000395812094211578,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1948,"ME",10802,1.27089522825572,849952.046387453,10802,1.27089522825572,849952.046387454,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1949,"ME",9459,1.31091520748717,721556.966154316,9459,1.31091520748717,721556.966154317,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1950,"ME",10436,1.52154947904867,685879.765574565,10436,1.52154947904867,685879.765574563,0,0,0.00000000209547579288483,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1951,"ME",12449,1.66204920723565,749015.128180555,12449,1.66204920723565,749015.128180555,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1952,"ME",13017,1.75164167021269,743131.44185588,13017,1.75164167021269,743131.441855881,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1953,"ME",14044,1.89487374369912,741157.559795182,14044,1.89487374369912,741157.559795181,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1954,"ME",13541,1.97837862872881,684449.366939466,13541,1.97837862872881,684449.366939465,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1955,"ME",15098,2.20645052513897,684266.419209608,15098,2.20645052513897,684266.419209607,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
