"year","K_real_ME","K_real_NRC","K_real_capacity","K_current_ME","K_current_NRC","K_current_capacity","pKN_ME","pKN_NRC","pKN_capacity"
1931,13.0671450920343,2015529.48995683,2015542.55710192,508,2375,2883,3887.61276026296,0.117835040957445,0.143038408682641
1932,14.1324211789501,1965570.06695545,1965584.19937663,446,2176,2622,3155.86405437949,0.11070579658198,0.133395455703782
1933,15.2781153150664,1884975.08299391,1884990.36110923,452,2389,2841,2958.4800918099,0.12673907583996,0.150716951057946
1934,16.806988232148,1813684.19191259,1813700.99890082,461,2379,2840,2742.90666258819,0.131169473197606,0.156585898211511
1935,19.1215845890227,1748665.54511373,1748684.66669832,461,2409,2870,2410.88806136208,0.137762192817914,0.164123358239243
1936,22.3727865080563,1687937.84249034,1687960.21527684,493,2566,3059,2203.56994790289,0.152019815860885,0.18122465045767
1937,26.8759183488854,1635668.1004292,1635694.97634755,536,2776,3312,1994.3504554598,0.169716582433293,0.20248273962396
1938,30.2776953512976,1567508.80366243,1567539.08135778,531,2727,3258,1753.76624224222,0.173970314784099,0.207841707983316
1939,34.9000874461161,1505647.84702801,1505682.74711546,536,2565,3101,1535.81277074894,0.170358560606522,0.205953080483974
1940,41.3642635658408,1455128.98214346,1455170.34640703,570,2983,3553,1378.00108321212,0.204999009476529,0.244163853996388
1941,47.7155834898397,1417480.95596375,1417528.67154723,734,3541,4275,1538.28151374549,0.249809352647879,0.301581201552264
1942,47.9751843186679,1356688.18760629,1356736.16279061,710,3409,4119,1479.9317815726,0.251273655298404,0.303596241698741
1943,47.5976085082505,1281729.08528966,1281776.68289817,715,3516,4231,1502.1763118121,0.274316939543071,0.330088700820604
1944,46.9268983426255,1207244.22755787,1207291.15445622,659,3572,4231,1404.31186222552,0.295880478735092,0.350453988201853
1945,47.6697271609179,1144556.77992999,1144604.44965715,608,3622,4230,1275.44258423713,0.316454374611414,0.369559982163884
1946,58.8372589879062,1117572.52545378,1117631.36271277,729,4660,5389,1239.01081141432,0.416975175558102,0.482180455899124
1947,72.7262195536811,1085107.139654,1085179.86587355,925,5533,6458,1271.8934184627,0.509903565998494,0.595108719124771
1948,87.5064195058059,1054506.08475976,1054593.59117927,1116,5849,6965,1275.33500548032,0.554667259348487,0.660443990771042
1949,106.36642721141,1028082.40081044,1028188.76723765,1225,5216,6441,1151.67918309904,0.507352328557344,0.626441389483812
1950,128.776581066242,987696.99747098,987825.774052046,1419,5736,7155,1101.90842795405,0.580744906047822,0.724318011125616
1951,151.076553237914,951309.194717785,951460.271271023,1609,6711,8320,1065.02297379406,0.705448873748233,0.8744453395711
1952,171.950777927427,916658.47879785,916830.429575777,1705,6989,8694,991.56283010223,0.762443173946933,0.948266955321582
1953,207.290197628205,898957.860264779,899165.150462407,1879,7013,8892,906.458685214904,0.780125555377467,0.988917330195368
1954,242.742952653418,882158.706133747,882401.449086401,1933,6944,8877,796.315600049526,0.787159946585303,1.00600469425689
1955,292.582598049656,882477.191168763,882769.773766813,2159,7752,9911,737.911281939462,0.878436301535812,1.12271628396489
1956,336.508794548339,886613.278238641,886949.78703319,2427,8997,11424,721.229293058301,1.01476034939084,1.28800977992371
1957,389.003144618526,876904.459116848,877293.462261467,2629,9548,12177,675.83001226844,1.08883013431315,1.38801900661729
1958,440.152940517492,859104.957582839,859545.110523357,2705,9867,12572,614.559111389715,1.14852090107379,1.4626341126349
1959,514.896690047283,839978.038199958,840492.934890005,2850,10286,13136,553.50909320048,1.22455582553593,1.56289237597447
