"year","asset","I_current","pKN_guardian","I_real_guardian","price_base_note","status"
1925,"ME",226,9224.11515315598,2.45009950816448,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1926,"ME",134,8355.65230725667,1.60370483443434,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1927,"ME",133,7494.40274721628,1.77465776107911,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1928,"ME",138,6661.26964948186,2.07167713156206,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1929,"ME",152,5626.08628217782,2.70170047838587,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1930,"ME",137,4662.03591602195,2.93863029946153,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1931,"ME",113,3887.61276026296,2.90666810118085,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1932,"ME",92,3155.86405437949,2.91520795619598,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1933,"ME",94,2958.4800918099,3.17730716729258,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1934,"ME",103,2742.90666258819,3.75514053776842,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1935,"ME",115,2410.88806136208,4.7700265243766,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1936,"ME",132,2203.56994790289,5.99027955185279,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1937,"ME",153,1994.3504554598,7.67167072272289,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1938,"ME",126,1753.76624224222,7.18453787996893,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1939,"ME",136,1535.81277074894,8.85524606841754,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1940,"ME",158,1378.00108321212,11.4658835849172,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1941,"ME",187,1538.28151374549,12.1564224967303,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1942,"ME",103,1479.9317815726,6.95978026031379,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1943,"ME",98,1502.1763118121,6.52386801931266,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1944,"ME",89,1404.31186222552,6.33762360014213,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1945,"ME",99,1275.44258423713,7.76201149495209,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
1946,"ME",227,1239.01081141432,18.321066927647,"D05 pKN_guardian is normalized to 2017=100; no D06 rebasing applied.","CONSTRUCTED"
