"variable_id","display_name","sector_boundary","output_concept","nominal_or_real","price_or_quantity_basis","source_status","constructibility_status","role","status","allowed_use","prohibited_use","notes"
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","NFC","GVA","real","same-boundary NFC implicit GVA deflator","present","already_validated","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","baseline realized output level for D07 level/accounting panel","productive capacity; capacity utilization; corporate or financial real residual output","S30A authorizes this as the real output baseline."
"NFC_GVA","NFC gross value added","NFC","GVA","nominal","current dollars","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","nominal NFC output/value-added accounting level","real output unless same-boundary validated deflator is used","Direct provider income-account line."
"NFC_NVA","NFC net value added","NFC","NVA","nominal","current dollars","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","nominal NFC net value-added accounting level","real output by residual deflation","Direct provider income-account line."
"CORP_GVA","Corporate gross value added","CORP","GVA","nominal","current dollars","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation and robustness level","productive-origin baseline; real CORP output unless directly validated","Corporate legal boundary is reconciliation, not clean productive-origin baseline."
"CORP_NVA","Corporate net value added","CORP","NVA","nominal","current dollars","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation and robustness level","productive-origin baseline; real CORP output unless directly validated","Corporate net value-added reconciliation line."
"FIN_GVA","Financial corporate gross value added","FIN","GVA","nominal","current dollars","present","direct_source","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","financial-sector accounting/correction candidate","productive-origin surplus baseline; silent productive output equivalence","Financial-sector value added is retained as transfer/reconciliation evidence."
"FIN_NVA","Financial corporate net value added","FIN","NVA","nominal","current dollars","present","direct_source","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","financial-sector accounting/correction candidate","productive-origin surplus baseline; silent productive output equivalence","Financial net value added is retained as transfer/reconciliation evidence."
"gva_real_or_qindex_corp","Corporate real GVA or quantity index","CORP","GVA","real","blocked residual/proxy construction","absent","blocked","blocked","BLOCKED_BOUNDARY_CONFLICT","none","residual subtraction; aggregate deflator relabeling; D07 baseline output","S30A blocks same-boundary CORP real GVA because no validated source exists."
"gva_real_or_qindex_fc","Financial corporate real GVA or quantity index","FIN","GVA","real","blocked residual/proxy construction","absent","blocked","blocked","BLOCKED_BOUNDARY_CONFLICT","none","residual subtraction; aggregate deflator relabeling; D07 baseline output","S30A blocks same-boundary financial real GVA because no validated source exists."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","NFC","deflator_or_price_support","price_index","Index 2017=100","present","same_boundary_validated","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","same-boundary NFC GVA deflation support","CORP/FIN deflator relabeling; productive capacity; capacity utilization","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_T115_VALIDATION","P_Y_NFC_GVA_T115_VALIDATION","NFC","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","diagnostic","DIAGNOSTIC_ONLY","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","Validation only | Source-native annual observation retained."
"P_Y_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","TOTAL_ECONOMY","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","Transparent macro proxy | Source-native annual observation retained."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","NONFARM_BUSINESS","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","Includes noncorporate nonfarm business | Source-native annual observation retained."
"P_Y_PROXY_BUSINESS_OUTPUT","P_Y_PROXY_BUSINESS_OUTPUT","BUSINESS_SECTOR","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","BLS productivity-program boundary | Source-native quarterly index annualized by calendar-year arithmetic mean; incomplete calendar years are excluded."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","NONFARM_BUSINESS_SECTOR","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","Excludes farms but includes noncorporate business | Source-native quarterly index annualized by calendar-year arithmetic mean; incomplete calendar years are excluded."
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","FINANCE_AND_INSURANCE_INDUSTRY","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","Does not identify financial corporate business | Source-native annual observation retained."
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","MANUFACTURING_INDUSTRY","deflator_or_price_support","price_index","Index 2017=100","present","support_or_proxy_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","diagnostic/robustness/context support only","CORP/FIN deflator relabeling; productive capacity; capacity utilization","Manufacturing is narrower than NFC | Source-native annual observation retained."
