"year","CORP_CFC","CORP_COMP","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_DIVIDENDS_NET","CORP_GVA","CORP_NET_INT","CORP_NOS","CORP_NVA","CORP_PAT","CORP_PBT","CORP_TAX","CORP_TRANSFERS_NET","CORP_UNDISTRIBUTED","I_current_ME","I_current_NRC","I_real_ME_guardian","I_real_NRC_guardian","K_current_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_real_capacity_refrozen","K_real_ME_refrozen","K_real_NRC_refrozen","NFC_CFC","NFC_COMP","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_DIVIDENDS_NET","NFC_GVA","NFC_NET_INT","NFC_NOS","NFC_NVA","NFC_PAT","NFC_PBT","NFC_RETAINED","NFC_TAX","NFC_TRANSFERS_NET","NFC_UNDISTRIBUTED","P_Y_NFC_GVA_IMPLICIT_SOURCE","pKN_capacity","pKN_ME","pKN_NRC","Y_REAL_NFC_GVA_BASELINE"
1925,,,,,,,,,,,,,,,226,,2.45009950816448,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,134,,1.60370483443434,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,,133,,1.77465776107911,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,138,,2.07167713156206,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,5228,34242,0.624785607415246,0.690669248456977,5573,54806,1381,12337,49578,7878,9027,1365,355,3663,152,,2.70170047838587,,,,,,,,5016,32147,0.632503689129365,0.701761662555393,5077,50825,1358,10709,45809,9314,10679,3741,1149,310,2815,13.3919866778387,,,,379518
1930,5080,30808,0.639461995101499,0.714835955264745,5331,48178,1538,9253,43098,2931,3671,842,354,1188,137,,2.93863029946153,,,,,,,,4872,28791,0.636138668552111,0.712877906256964,4957,45259,1606,8605,40387,3580,4422,-1751,740,306,996,12.8112297467136,,,,353276
1931,4752,25369,0.670321830576547,0.766574001329546,4070,37846,1522,4883,33094,-467,-17,498,406,-1613,113,92,2.90666810118085,78075.2476109589,690.901602187521,598.901602187521,92,78090.6529931078,15.40538214889,78075.2476109589,4560,23522,0.663881911320595,0.761944867351236,3757,35431,1778,4553,30871,68,566,-4002,450,337,-1769,11.0935078353711,0.884743020715296,3887.61276026296,0.117835040957445,319385
1932,4240,19013,0.68242345931589,0.80491935142458,2580,27861,1397,1666,23621,-2345,-2000,383,425,-3119,92,43,2.91520795619598,38841.6879039912,691.744998913426,562.624963491055,129.120035422372,116651.319038343,17.827921412213,116633.491116931,4076,17432,0.677734147194899,0.805359205359205,2396,25721,1765,1319,21645,-1695,-1312,-4275,345,352,-3539,9.48400466069822,0.59300229488708,3155.86405437949,0.11070579658198,271204
1933,4008,18002,0.669816937044203,0.787213573552562,2040,26876,1168,1399,22868,533,1021,521,404,-2734,94,13,3.17730716729258,10257.2942984181,763.015872738351,603.100130735467,159.915742002884,126197.526139191,20.3854719997967,126177.140667191,3860,16597,0.664517937219731,0.785991665088085,1981,24976,1738,1114,21116,1313,1834,-727,488,331,-3424,9.4485091057661,0.604620309194315,2958.4800918099,0.12673907583996,264338
1934,4104,21045,0.628208955223881,0.715913729759151,2507,33500,1414,4261,29396,1908,2589,744,390,-794,103,25,3.75514053776842,19059.3126514564,830.479138400969,641.410383448494,189.068754952475,144164.204861813,23.3843313809032,144140.820530433,3944,19585,0.622061999745903,0.711147421931736,2677,31484,1684,3938,27540,2411,3155,-96,681,319,-1423,10.4523000106236,0.576064730629224,2742.90666258819,0.131169473197606,301216
1935,4184,23056,0.620669233047083,0.699450899493371,2685,37147,1525,5752,32963,2768,3631,951,368,223,115,30,4.7700265243766,21776.6568507313,883.492883607732,656.940918885182,226.55196472255,164478.728739063,27.2489183307013,164451.479820732,4020,21537,0.616558357905585,0.69674226003688,3170,34931,1670,5298,30911,3261,4212,576,863,312,-717,10.6590217659965,0.537147198534923,2410.88806136208,0.137762192817914,327713
1936,4248,26274,0.614970508379365,0.682867241917039,4419,42724,1359,7838,38476,4851,6108,1409,353,298,132,43,5.99027955185279,28285.7861368216,998.938088826904,708.769305392811,290.168783434092,190907.796030181,32.1645930081474,190875.631437173,4080,24641,0.61320426040215,0.68250055395524,4298,40184,1600,7181,36104,5594,7003,1175,1257,318,-292,10.7303838841298,0.523256833717245,2203.56994790289,0.152019815860885,374488
1937,4744,30548,0.63195349510747,0.700722559926597,4538,48339,1304,8426,43595,5129,6488,1502,342,740,153,65,7.67167072272289,38299.1450028451,1154.12887238452,769.091050670536,385.037821713986,226909.630645653,38.5634855982832,226871.067160055,4556,28781,0.629079145811021,0.698652749120039,4424,45751,1590,7885,41195,5855,7357,1317,1359,326,186,11.277218790517,0.508629302820043,1994.3504554598,0.169716582433293,405694
1938,4820,27266,0.634093023255814,0.714143530644316,2918,43000,1321,6339,38180,2419,3331,1029,311,760,126,38,7.18453787996893,21842.8069450577,1203.57666672306,775.80256998376,427.774096739301,245933.368245604,44.2363726303617,245889.131872974,4632,25513,0.633989364345709,0.716456051670879,2745,40242,1524,5613,35610,3273,4302,355,912,297,135,10.696770660833,0.489391364542731,1753.76624224222,0.173970314784099,376207
1939,4824,29816,0.630053039748114,0.70156944869291,3582,47323,1336,7932,42499,5143,6473,1441,328,1245,136,40,8.85524606841754,23479.8884526785,1241.19718767192,788.0205316581,453.176656013822,266064.742988433,51.3096743735124,266013.433314059,4636,28023,0.630537992484756,0.703971663275303,3425,44443,1476,7132,39807,6013,7454,2431,1330,306,595,10.5770580913554,0.466501939990555,1535.81277074894,0.170358560606522,420183
1940,5040,32856,0.607263654006099,0.66964231121981,3782,54105,1120,11073,49065,6577,9252,2834,347,2990,158,68,11.4658835849172,33170.8919831564,1441.64857488439,836.285953535867,605.36262134852,295360.954858365,60.688337892049,295300.266520473,4844,31010,0.607110693449235,0.67071851883895,3710,51078,1335,10197,46234,7536,10370,3754,2675,317,2160,10.7731310796332,0.488097208236513,1378.00108321212,0.204999009476529,474124
1941,5584,41598,0.594639411049961,0.646222677913967,4200,69955,1000,16721,64371,9787,17139,7610,419,3492,187,117,12.1564224967303,46835.7164212816,1926.44737435723,1082.88844459691,843.558929760319,337751.479908532,70.395986360145,337681.083922172,5364,39642,0.594511097780444,0.646519668601996,4144,66680,1237,15756,61316,10761,18371,6561,7352,367,2656,11.6850845188402,0.570374221566382,1538.28151374549,0.249809352647879,570642
1942,6388,52849,0.604140469603786,0.651732642742632,4029,87478,981,21820,81090,9627,20739,11415,428,4967,103,49,6.95978026031379,19500.6515672362,1987.02033162596,1102.3759334593,884.644398166665,352138.614203094,74.4882937974273,352064.125909297,6124,50790,0.604405412159509,0.651914412968977,3761,84033,1220,20842,77909,10683,22098,6654,11112,419,4330,12.9750035898853,0.564272207443845,1479.9317815726,0.251273655298404,647653
1943,6552,64141,0.619827602868132,0.661724956153925,4208,103482,925,25979,96930,10258,23990,14074,526,6246,98,9,6.52386801931266,3280.87649818173,2126.62678578665,1167.66060180009,958.966183986563,349661.021883204,77.7312618111732,349583.290621392,6304,61991,0.621900080256822,0.663885795065113,3943,99680,1060,24744,93376,11400,25474,7192,13732,494,5515,13.836507669906,0.608196696999016,1502.1763118121,0.274316939543071,720413
1944,6748,67074,0.62530531575709,0.667283471617024,4324,107266,692,25913,100518,10059,22616,12949,672,7276,89,9,6.33762360014213,3041.76877044257,2153.86429509275,1129.1698398296,1024.69445526315,346400.806593537,80.4073418592451,346320.399251678,6496,64833,0.627959009724536,0.670122379790797,4055,103244,990,24577,96748,11414,24363,7090,12557,630,6345,14.0875319802149,0.621783856762225,1404.31186222552,0.295880478735092,732875
1945,6968,64069,0.63547276857004,0.682652658945372,4372,100821,603,21462,93853,8094,18278,10689,749,5049,99,29,7.76201149495209,9164.03827111259,2176.91351734479,1073.37262372953,1103.54089361526,348804.535593398,84.1568751894496,348720.378718208,6736,61658,0.638440192180252,0.686308993766696,4068,96576,942,20084,89840,9362,20051,4990,10184,667,4223,14.2161091173518,0.624106998391336,1275.44258423713,0.316454374611414,679342
1946,8000,69854,0.660202066025877,0.71420245994663,5149,105807,54,18179,97807,14105,22678,9104,572,3299,227,176,18.321066927647,42208.7477424602,2815.95840678821,1215.84223412468,1600.11617266354,383841.879452978,98.1300746469518,383743.749378331,7752,66853,0.663415069811751,0.718702630645352,4856,100771,660,16641,93019,15768,24872,10619,8573,475,2077,15.301416851283,0.733624588020803,1239.01081141432,0.416975175558102,658573
1947,9796,82136,0.644188764185941,0.697800470660199,5707,127503,277,24046,117707,18932,29709,11193,591,6278,285,190,22.4075379165395,37261.9476837628,3579.92229542368,1472.45705761851,2107.46523780517,413422.397515847,115.768902979168,413306.628612868,9476,78763,0.644483720777999,0.698656140506497,5359,122211,768,22780,112735,20457,31650,14750,10777,572,5305,17.3618845751693,0.865923645388964,1271.8934184627,0.509903565998494,703904
1948,11488,91111,0.623778780389284,0.677027679732491,6367,146063,7,30715,134575,20812,32493,12254,577,11511,320,219,25.0914464532776,39483.1308877394,4193.97134931765,1728.4699796307,2465.50136968695,444636.504558433,135.530662312505,444500.973896121,11120,87467,0.624581372598025,0.678454247174626,5877,140041,857,29076,128921,22987,35241,16620,11681,605,10056,18.4615242645236,0.943235948088128,1275.33500548032,0.554667259348487,758556
1949,12412,88798,0.620869516577869,0.67987137278922,6599,143022,-47,28441,130610,16354,25616,10010,555,11324,359,196,31.1718754031805,38631.9307053002,4256.3404659887,1850.44187131721,2405.8985946715,474367.345795034,160.673380093393,474206.67241494,12008,84902,0.622946489496739,0.683134459258306,6040,136291,999,26426,124283,18907,28917,12308,9262,588,9538,18.1324353881236,0.897266749855037,1151.67918309904,0.507352328557344,751642
1950,13288,98654,0.608547071813662,0.662881485761896,8051,162114,-133,35351,148826,22438,39202,17728,694,9011,411,202,37.2989251714062,34782.913788204,5005.66079171459,2105.47867182175,2900.18211989285,499581.09864985,191.075648248835,499390.023001601,12848,94387,0.609475288313768,0.664612936388345,7375,154866,932,33268,142018,24784,42512,16733,16764,601,7596,18.2423645598726,1.0019716128658,1101.90842795405,0.580744906047822,848936
1951,15136,114553,0.61656915566416,0.671254870938443,7663,185791,-222,40249,170655,18805,39909,22304,1017,9487,429,339,40.2808212175669,48054.5100595037,6168.49488603457,2379.11174970743,3789.38313632714,537382.530628227,223.385955819529,537159.144672408,14636,109808,0.618138626346099,0.673639782340636,7042,177643,1096,37834,163007,21332,43636,13669,21104,727,7865,19.8195253167735,1.14787782156284,1065.02297379406,0.705448873748233,896303
1952,16116,123015,0.630758818009814,0.687576504519007,7753,195027,-249,38565,178911,17301,34978,19107,1038,10917,417,325,42.0548236925145,42626.1275732295,6876.76922028701,2540.30465777573,4336.46456251128,569015.243257818,256.192001218301,568759.0512566,15580,117770,0.63357057934292,0.691532151518176,7053,185883,1258,35736,170303,20287,39394,12534,17677,824,8924,19.9797711843638,1.20853866425705,991.56283010223,0.762443173946933,930356
1953,17300,133985,0.640512658711947,0.698260407329428,8094,209184,-45,39431,191884,18135,36504,19944,981,10458,539,434,59.4621695165526,55632.0706338106,7543.19567969241,2764.23971614589,4778.95596354652,612893.00398731,304.949333183403,612588.054654126,16728,128198,0.644071883964771,0.703167594547898,7243,199043,1334,36232,182315,21407,41351,13313,18369,959,8327,19.9195384469119,1.23075245281289,906.458685214904,0.780125555377467,999235
1954,18340,132212,0.639122132791917,0.701296910224108,8136,206865,160,38376,188525,18189,33717,17348,719,12014,513,482,64.4216941082273,61232.790373915,8046.66243369382,2842.15604525664,5204.50638843718,661532.118005955,356.913269698581,661175.204736257,17724,125945,0.642039314043351,0.705811477247254,7357,196164,1650,35178,178440,21483,38831,13347,15528,851,9791,19.8287660847679,1.21636761310225,796.315600049526,0.787159946585303,989290
1955,19560,144625,0.620572321079935,0.677429025111129,9151,233051,140,49048,213491,23638,43753,21789,1095,16874,619,654,83.8854229702349,74450.475106343,9488.13690977303,3145.36180647511,6342.77510329792,722479.187706018,426.252028320819,722052.935677697,18912,137886,0.622858846487424,0.681039592223803,8415,221376,1700,45418,202464,27298,49087,18147,20115,979,14209,19.9833183487332,1.31327477264768,737.911281939462,0.878436301535812,1107804
