"variable_id","display_name","accounting_block","sector_boundary","source_stage","source_file","source_column","source_variable_id_if_applicable","transformation_type","transformation_formula","D07_0_contract_status","D07_consumption_status","notes"
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_real_ME_refrozen","K_real_ME_refrozen","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_real_NRC_refrozen","K_real_NRC_refrozen","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"K_real_capacity_refrozen","D06 refrozen real capacity capital","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_real_capacity_refrozen","K_real_capacity_refrozen","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_current_ME_refrozen","K_current_ME_refrozen","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_current_NRC_refrozen","K_current_NRC_refrozen","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_current_capacity_refrozen","K_current_capacity_refrozen","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"pKN_ME","D06 ME guarded capital valuation price","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","pKN_ME","pKN_ME","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"pKN_NRC","D06 NRC guarded capital valuation price","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","pKN_NRC","pKN_NRC","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","pKN_capacity","pKN_capacity","D06_authorized_refrozen_object","direct read from D06 refrozen capacity panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06-refrozen fixed-assets/capacity object consumed without rebuilding GPIM."
"I_current_ME","Current-dollar ME gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","I_current_ME","D06_authorized_refrozen_object","direct read from D06 asset-level panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06 ME I_current read without pKN, survival, or warmup revision."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","I_current","I_current_NRC","D06_authorized_refrozen_object","direct read from D06 asset-level panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06 NRC I_current read without pKN, survival, or warmup revision."
