"file","field","matched_pattern","offending_value","D11R_qomega_status"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_blocked_parked_variable_ledger.csv","variable_id","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_blocked_parked_variable_ledger.csv","notes","q_omega","q_omega remains parked and was not constructed.; No q_omega-family columns were created.","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_blocked_parked_variable_ledger.csv","variable_id","omega_","q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_elasticity_recovery_protocol_ledger.csv","protocol_item","q_omega","q_omega","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_exploitation_rate_ingredient_ledger.csv","variable_id","omega_","omega_NFC_productive_origin_GVA; omega_CORP_raw_GVA; omega_CORP_raw_NVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_regression_menu_ledger.csv","variable_id","omega_","omega_NFC_productive_origin_GVA; omega_CORP_raw_GVA; omega_CORP_raw_NVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_long.csv","variable_id","omega_","omega_NFC_productive_origin_GVA; omega_CORP_raw_GVA; omega_CORP_raw_NVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_long.csv","authoritative_variable_id","omega_","omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_long.csv","provenance_id","omega_","D10_CLEAN__omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","column_name","omega_","omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
