"variable_name","variable_group","first_available_year","last_available_year","non_missing_observations","longest_contiguous_non_missing_span","number_of_gaps","gap_years","D11_window_status"
"ACCUMULATED_Q","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"ADD_PROFITS_TO_NOS","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"ADJUSTED_SHAIKH_CORPORATE_GOS","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"ADJUSTED_SHAIKH_CORPORATE_GVA","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"ADJUSTED_SHAIKH_CORPORATE_NOS","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"all_BEA_fixed_assets","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"BUSINESS_WIDE_SHAIKH_OBJECTS","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__current_transfer_payments","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__current_transfer_receipts","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__dividends_paid","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__dividends_received","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__cfc_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__gross_investment_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__net_stock_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__net_stock_quantity_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__IPP__retirements","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
