"item","status","notes"
"D12B terminal decision authorizes D12C","PASS","confirmed from D12B contract files"
"manual RDOLS wrapper required","PASS","confirmed from D12B contract files"
"cointRegD not selected as baseline engine","PASS","confirmed from D12B contract files"
"results UI contract exists","PASS","confirmed from D12B contract files"
"q_omega parked","PASS","confirmed from D12B contract files"
"FM-OLS blocked for nonlinear/interacted baseline","PASS","confirmed from D12B contract files"
"IM-OLS blocked for nonlinear/interacted baseline","PASS","confirmed from D12B contract files"
"unrestricted DOLS interaction dynamics blocked","PASS","confirmed from D12B contract files"
"no productive-capacity reconstruction authorized","PASS","confirmed from D12B contract files"
"no utilization reconstruction authorized","PASS","confirmed from D12B contract files"
"no elasticity recovery authorized","PASS","confirmed from D12B contract files"
