"source_folder","file_name","file_path","exists","inspected","rows","columns","relevance","notes"
"D12B","D12B_BASELINE_ESTIMATION_DESIGN.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/D12B_BASELINE_ESTIMATION_DESIGN.md",TRUE,TRUE,76,,"D12B contract source",""
"D12B","D12B_RDOLS_IMPLEMENTATION_BLUEPRINT.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/D12B_RDOLS_IMPLEMENTATION_BLUEPRINT.md",TRUE,TRUE,85,,"D12B contract source",""
"D12B","D12B_RESULTS_INTERFACE_BLUEPRINT.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/D12B_RESULTS_INTERFACE_BLUEPRINT.md",TRUE,TRUE,102,,"D12B contract source",""
"D12B","D12B_D12C_API_CONTRACT.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/D12B_D12C_API_CONTRACT.md",TRUE,TRUE,89,,"D12B contract source",""
"D12B","D12B_TERMINAL_DECISION.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/D12B_TERMINAL_DECISION.md",TRUE,TRUE,23,,"D12B contract source",""
"D12B","csv/D12B_PACKAGE_SUITABILITY_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/csv/D12B_PACKAGE_SUITABILITY_LEDGER.csv",TRUE,TRUE,5,5,"D12B contract source",""
"D12B","csv/D12B_RDOLS_ENGINE_REQUIREMENTS_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/csv/D12B_RDOLS_ENGINE_REQUIREMENTS_LEDGER.csv",TRUE,TRUE,10,8,"D12B contract source",""
"D12B","csv/D12B_RESULTS_UI_REQUIREMENTS_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/csv/D12B_RESULTS_UI_REQUIREMENTS_LEDGER.csv",TRUE,TRUE,7,7,"D12B contract source",""
"D12B","csv/D12B_BASELINE_DESIGN_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/csv/D12B_BASELINE_DESIGN_LEDGER.csv",TRUE,TRUE,9,4,"D12B contract source",""
"D12B","csv/D12B_VALIDATION_CHECKS.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12B_BASELINE_ESTIMATION_DESIGN/csv/D12B_VALIDATION_CHECKS.csv",TRUE,TRUE,26,3,"D12B contract source",""
"D10","csv/D10_clean_us_source_of_truth_panel_wide.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv",TRUE,TRUE,125,72,"D10 source-of-truth source",""
