"run_id","model_id","diagnostic","value","preliminary_status"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","effective sample size","91","CONTROLLED_PRELIMINARY"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","design rank","16","CONTROLLED_PRELIMINARY"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","df residual","75","CONTROLLED_PRELIMINARY"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","missingness count","3","CONTROLLED_PRELIMINARY"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","lead/lag sample loss","3","CONTROLLED_PRELIMINARY"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","residual summary statistics","min=-0.138261686948729; q1=-0.0236161792553329; median=0.00116486036303853; mean=5.40016082064895e-19; q3=0.0268942930810981; max=0.0755348733209157; sd=0.039176777409243","CONTROLLED_PRELIMINARY"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11","condition number warning","WARN_HIGH_CONDITION_NUMBER_213963.64","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","effective sample size","89","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","design rank","22","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","df residual","67","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","missingness count","5","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","lead/lag sample loss","5","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","residual summary statistics","min=-0.0807982517370408; q1=-0.0219391751704997; median=-0.00627512165906691; mean=9.96339159350092e-19; q3=0.0238303247159926; max=0.0888491759779287; sd=0.034894252425774","CONTROLLED_PRELIMINARY"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22","condition number warning","WARN_HIGH_CONDITION_NUMBER_245601.07","CONTROLLED_PRELIMINARY"
