"function_name","implemented","purpose","allowed_scope","estimation_role","tested","notes"
"build_level_matrix",TRUE,"assemble long-run level matrix","D12C_CONTROLLED_PRELIMINARY_ONLY","pre_fit_or_metadata",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"build_base_difference_matrix",TRUE,"construct base first differences","D12C_CONTROLLED_PRELIMINARY_ONLY","pre_fit_or_metadata",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"build_restricted_lead_lag_matrix",TRUE,"generate restricted leads/lags","D12C_CONTROLLED_PRELIMINARY_ONLY","pre_fit_or_metadata",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"align_rdols_sample",TRUE,"align levels and dynamic terms","D12C_CONTROLLED_PRELIMINARY_ONLY","pre_fit_or_metadata",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"fit_manual_rdols",TRUE,"fit manual RDOLS by OLS","D12C_CONTROLLED_PRELIMINARY_ONLY","controlled_preliminary_fit",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"extract_long_run_coefficients",TRUE,"extract level coefficients","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"extract_auxiliary_dynamic_coefficients",TRUE,"extract auxiliary dynamic coefficients","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"compute_design_rank",TRUE,"compute design rank","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"compute_sample_survival",TRUE,"compute sample survival","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"new_ch2_rdols_result",TRUE,"construct S3 result object","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"print.ch2_rdols",TRUE,"contract-first print method","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"format_rdols_coef_table",TRUE,"format coefficient table","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"as_rdols_gate_table",TRUE,"format gate table","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"as_rdols_sample_table",TRUE,"format sample table","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"as_rdols_contract_table",TRUE,"format contract table","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
"write_rdols_model_card",TRUE,"write model card","D12C_CONTROLLED_PRELIMINARY_ONLY","post_fit_reporting",TRUE,"implemented in codes/US_D12C_controlled_preliminary_rdols_estimation.R"
